interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_131907	n_q4_131907	n_q1_148071	n_q4_148071	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb	sig_p05	note
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	12	11	23	6	5	6	6	0.4823220267927005	0.6191674349108037	0.13684540811810325	112.0	0.005105016420149752	0.696969696969697	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	8	3	11	5	2	3	1	0.08119727519514669	0.23735954410408708	0.1561622689089404	24.0	0.012121212121212121	1.0	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	4	4	8	4	2	0	2	0.006719770023096023	0.0673542927706331	0.06063452274753707	16.0	0.02857142857142857	1.0	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	4	4	8	4	2	0	2	0.004440438763979951	0.03146973565500536	0.02702929689102541	16.0	0.02857142857142857	1.0	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	4	4	8	4	2	0	2	0.0007636219137035309	0.020878319290882436	0.020114697377178904	16.0	0.02857142857142857	1.0	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	13	11	24	6	5	7	6	0.5292842994089334	0.72314804859317	0.19386374918423654	107.0	0.04258279751501111	0.49650349650349646	True	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	4	4	8	4	2	0	2	0.002554276717385015	0.043681363250339784	0.04112708653295477	15.0	0.05714285714285714	0.875	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	3	4	7	3	2	0	2	9.755802850124936e-05	0.00470913184247437	0.0046115738139731206	12.0	0.05714285714285714	1.0	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	10	7	17	6	3	4	4	0.02039384364508707	0.09017892919368878	0.06978508554860172	54.0	0.0702385849444673	0.5428571428571429	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	4	4	8	4	4	0	0	0.05598799577155731	0.23781814357293946	0.18183014780138215	14.0	0.11428571428571428	0.75	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	4	4	8	4	2	0	2	0.0023057481964521647	0.030874715390120683	0.02856896719366852	14.0	0.11428571428571428	0.75	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	10	6	16	6	3	4	3	0.5078588440127008	0.056396767884671385	-0.45146207612802935	15.0	0.11788211788211789	-0.5	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	4	6	10	4	4	0	2	0.019012688235455075	0.04879175582382944	0.029779067588374366	19.0	0.17142857142857143	0.5833333333333333	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	9	6	15	4	4	5	2	0.18838436385141272	0.0647319941790817	-0.12365236967233102	15.0	0.181018981018981	-0.4444444444444444	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	8	3	11	3	2	5	1	0.03972961901953881	0.22822686463790443	0.18849724561836562	19.0	0.19393939393939394	0.5833333333333333	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	4	4	8	4	2	0	2	0.011619045398811746	0.0706375746688695	0.059018529270057754	13.0	0.2	0.625	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	4	4	8	4	2	0	2	0.0002986295138477713	0.0033202622586992123	0.0030216327448514407	13.0	0.2	0.625	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	13	10	23	6	5	7	5	0.664492296987188	0.550399955704399	-0.114092341282789	44.0	0.20360201785036391	-0.32307692307692304	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	10	5	15	6	2	4	3	0.21149943980245947	0.3619395544473071	0.1504401146448476	36.0	0.20646020646020646	0.43999999999999995	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	6	5	11	0	2	6	3	0.4075657864173416	0.14104821290803393	-0.26651757350930766	8.0	0.24675324675324672	-0.4666666666666667	False	6 outgoing p<0.05 of 59 detect-gated outgoing rows (6 any direction)
