interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_131907	n_q4_131907	n_q1_148071	n_q4_148071	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	12	11	23	6	5	6	6	0.4823220267927005	0.6191674349108037	0.13684540811810325	112.0	0.005105016420149752	0.696969696969697
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	8	3	11	5	2	3	1	0.08119727519514669	0.23735954410408708	0.1561622689089404	24.0	0.012121212121212121	1.0
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	4	4	8	4	2	0	2	0.006719770023096023	0.0673542927706331	0.06063452274753707	16.0	0.02857142857142857	1.0
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	4	4	8	4	2	0	2	0.004440438763979951	0.03146973565500536	0.02702929689102541	16.0	0.02857142857142857	1.0
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	4	4	8	4	2	0	2	0.0007636219137035309	0.020878319290882436	0.020114697377178904	16.0	0.02857142857142857	1.0
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	13	11	24	6	5	7	6	0.5292842994089334	0.72314804859317	0.19386374918423654	107.0	0.04258279751501111	0.49650349650349646
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	4	4	8	4	2	0	2	0.002554276717385015	0.043681363250339784	0.04112708653295477	15.0	0.05714285714285714	0.875
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	3	4	7	3	2	0	2	9.755802850124936e-05	0.00470913184247437	0.0046115738139731206	12.0	0.05714285714285714	1.0
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	10	7	17	6	3	4	4	0.02039384364508707	0.09017892919368878	0.06978508554860172	54.0	0.0702385849444673	0.5428571428571429
CD46_JAG1	incoming	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	other	5	3	8	2	2	3	1	0.05566587384896452	0.007162023193492952	-0.04850385065547157	1.0	0.07142857142857142	-0.8666666666666667
