accession	gdstype	taxon	n_samples	title
GSE312098	Expression profiling by high throughput sequencing	Homo sapiens	12	Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling [TROP2+GSK RNA-Seq]
GPL24676		Homo sapiens	1145543	Illumina NovaSeq 6000 (Homo sapiens)
GSM9337722		Homo sapiens		CX-1 cells, Combination, 2Day, rep3
GSM9337721		Homo sapiens		CX-1 cells, Combination, 2Day, rep2
GSM9337720		Homo sapiens		CX-1 cells, Combination, 2Day, rep1
GSM9337719		Homo sapiens		CX-1 cells, GSK2606414, 2Day, rep3
GSM9337718		Homo sapiens		CX-1 cells, GSK2606414, 2Day, rep2
GSM9337717		Homo sapiens		CX-1 cells, GSK2606414, 2Day, rep1
GSM9337716		Homo sapiens		CX-1 cells, IMMU132, 2Day, rep3
GSM9337715		Homo sapiens		CX-1 cells, IMMU132, 2Day, rep2
GSM9337714		Homo sapiens		CX-1 cells, IMMU132, 2Day, rep1
GSM9337713		Homo sapiens		CX-1 cells, Control, 2Day, rep3
GSM9337712		Homo sapiens		CX-1 cells, Control, 2Day, rep2
GSM9337711		Homo sapiens		CX-1 cells, Control, 2Day, rep1
