accession	gdstype	taxon	n_samples	title
GSE207704	Expression profiling by high throughput sequencing	Homo sapiens	8	Claudin-4–adhesion signaling drives breast cancer metabolism and progression via liver X receptor β
GPL24676		Homo sapiens	1145543	Illumina NovaSeq 6000 (Homo sapiens)
GSM6310647		Homo sapiens		MCF7:CLDN4-/-_rep2
GSM6310646		Homo sapiens		MCF7:CLDN4-/-_rep1
GSM6310645		Homo sapiens		MCF7_rep2
GSM6310644		Homo sapiens		MCF7_rep1
GSM6310643		Homo sapiens		T47D:CLDN4-/-_rep2
GSM6310642		Homo sapiens		T47D:CLDN4-/-_rep1
GSM6310641		Homo sapiens		T47D_rep2
GSM6310640		Homo sapiens		T47D_rep1
