accession	gdstype	taxon	n_samples	title
GSE245459	Expression profiling by high throughput sequencing	Homo sapiens	12	Exploring the Mechanism of TACSTD2 Causing Cisplatin Resistance
GPL24676		Homo sapiens	1145543	Illumina NovaSeq 6000 (Homo sapiens)
GSM7846652		Homo sapiens		shNCDDP3
GSM7846651		Homo sapiens		shNCDDP2
GSM7846650		Homo sapiens		shNCDDP1
GSM7843084		Homo sapiens		shDDP3
GSM7843083		Homo sapiens		shDDP2
GSM7843082		Homo sapiens		shDDP1
GSM7843081		Homo sapiens		sh3
GSM7843080		Homo sapiens		sh2
GSM7843079		Homo sapiens		sh1
GSM7843078		Homo sapiens		shNC3
GSM7843077		Homo sapiens		shNC2
GSM7843076		Homo sapiens		shNC1
