accession	gdstype	taxon	n_samples	title
GSE302284	Expression profiling by high throughput sequencing	Homo sapiens	6	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy
GPL20795		Homo sapiens	41842	HiSeq X Ten (Homo sapiens)
GSM9128165		Homo sapiens		PC9_Veh
GSM9128164		Homo sapiens		PC9_Osi
GSM9128163		Homo sapiens		DFCI282_Vehicle
GSM9128162		Homo sapiens		DFCI282_Ositreated
GSM9101265		Homo sapiens		Tumor Site Sample
GSM9101264		Homo sapiens		Lymph Node Sample
