accession	gdstype	taxon	n_samples	title
GSE50927	Expression profiling by high throughput sequencing	Mus musculus	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury
GPL13112		Mus musculus	195005	Illumina HiSeq 2000 (Mus musculus)
GSM1232584		Mus musculus		Cldn4 KO VILIhigh
GSM1232583		Mus musculus		Cldn4 KO VILIlow
GSM1232582		Mus musculus		WT VILI
GSM1232581		Mus musculus		Cldn4 KO no VILI
GSM1232580		Mus musculus		WT no VILI
