accession	gdstype	taxon	n_samples	title
GSE22421	Expression profiling by array	Homo sapiens	3	Comparisons of the global gene profile between C-CPE treated- and untreated- SKOV-3 ovarian cancer cells.
GPL10555		Homo sapiens	6	BWH Human Release 3.0 oligonucleotides
GSM557402		Homo sapiens		CCPE Replicate 3
GSM557401		Homo sapiens		CCPE Replicate 2
GSM557400		Homo sapiens		CCPE Replicate 1
