accession	gdstype	taxon	n_samples	title
GSE334497	Expression profiling by high throughput sequencing	Mus musculus	10	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer
GPL21103		Mus musculus	160225	Illumina HiSeq 4000 (Mus musculus)
GSM9789687		Mus musculus		4T1, WT, rep5
GSM9789686		Mus musculus		4T1, WT, rep4
GSM9789685		Mus musculus		4T1, WT, rep3
GSM9789684		Mus musculus		4T1, WT, rep2
GSM9789683		Mus musculus		4T1, WT, rep1
GSM9789682		Mus musculus		4T1, KO, rep5
GSM9789681		Mus musculus		4T1, KO, rep4
GSM9789680		Mus musculus		4T1, KO, rep3
GSM9789679		Mus musculus		4T1, KO, rep2
GSM9789678		Mus musculus		4T1, KO, rep1
