accession	gdstype	taxon	n_samples	title
GSE222450	Expression profiling by high throughput sequencing	Mus musculus	12	SN-38, an active metabolite of irinotecan, enhances anti-PD1 treatment efficacy in head and neck squamous cell carcinoma
GPL19057		Mus musculus	328981	Illumina NextSeq 500 (Mus musculus)
GSM6923572		Mus musculus		anti-PD1 + SN-38 (rep3)
GSM6923571		Mus musculus		anti-PD1 + SN-38 (rep2)
GSM6923570		Mus musculus		anti-PD1 + SN-38 (rep1)
GSM6923569		Mus musculus		SN-38 (rep3)
GSM6923568		Mus musculus		SN-38 (rep2)
GSM6923567		Mus musculus		SN-38 (rep1)
GSM6923566		Mus musculus		anti-PD1 (rep3)
GSM6923565		Mus musculus		anti-PD1 (rep2
GSM6923564		Mus musculus		anti-PD1 (rep1)
GSM6923563		Mus musculus		Vehicle (rep3)
GSM6923562		Mus musculus		Vehicle (rep2)
GSM6923561		Mus musculus		Vehicle (rep1)
