accession	gdstype	taxon	n_samples	title
GSE309616	Expression profiling by high throughput sequencing	Homo sapiens	2	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [scRNA-seq]
GPL30173		Homo sapiens	57720	NextSeq 2000 (Homo sapiens)
GSM9270505		Homo sapiens		BCM-3887CR_110347, Basal-like triple-negative breast cancer patient-derived xenograft  [scRNA-seq]
GSM9270504		Homo sapiens		BCM-3887_110318, Basal-like triple-negative breast cancer patient-derived xenograft [scRNA-seq]
