accession	gdstype	taxon	n_samples	title
GSE309617	Expression profiling by high throughput sequencing	Homo sapiens	22	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]
GPL34284		Homo sapiens	30921	Illumina NovaSeq X Plus (Homo sapiens)
GSM9270527		Homo sapiens		WHIM30CR_109241, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270526		Homo sapiens		WHIM30CR_109239, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270525		Homo sapiens		WHIM30_109164, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270524		Homo sapiens		WHIM30_108961, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270523		Homo sapiens		BCM-7482CR_110326, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270522		Homo sapiens		BCM-7482CR_110324, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270521		Homo sapiens		BCM-7482CR_110323, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270520		Homo sapiens		BCM-7482_110317, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270519		Homo sapiens		BCM-7482_110316, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270518		Homo sapiens		BCM-7482_110315, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270517		Homo sapiens		BCM-3887CR_110350, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270516		Homo sapiens		BCM-3887CR_110347, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270515		Homo sapiens		BCM-3887CR_110175, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270514		Homo sapiens		BCM-3887_110320, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270513		Homo sapiens		BCM-3887_110319, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270512		Homo sapiens		BCM-3887_110318, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270511		Homo sapiens		BCM-2147CR_109136, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270510		Homo sapiens		BCM-2147CR_109121, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270509		Homo sapiens		BCM-2147CR_109178, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270508		Homo sapiens		BCM-2147_109076, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270507		Homo sapiens		BCM-2147_109073, Basal-like triple-negative breast cancer patient-derived xenograft
GSM9270506		Homo sapiens		BCM-2147_109176, Basal-like triple-negative breast cancer patient-derived xenograft
