accession	gdstype	taxon	n_samples	title
GSE22493	Expression profiling by array	Homo sapiens	3	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.
GPL10555		Homo sapiens	6	BWH Human Release 3.0 oligonucleotides
GSM558702		Homo sapiens		CLDN4 Replicate 3
GSM558701		Homo sapiens		CLDN4 Replicate 2
GSM558700		Homo sapiens		CLDN4 Replicate 1
