accession	gdstype	taxon	n_samples	title
GSE311016	Expression profiling by high throughput sequencing	Homo sapiens	10	Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling
GPL24676		Homo sapiens	1145543	Illumina NovaSeq 6000 (Homo sapiens)
GSM9315421		Homo sapiens		PDX-196, IMMU132, 29Day, rep5
GSM9315420		Homo sapiens		PDX-114, IMMU132, 29Day, rep4
GSM9315419		Homo sapiens		PDX-83, IMMU132, 29Day, rep3
GSM9315418		Homo sapiens		PDX-82, IMMU132, 29Day, rep2
GSM9315417		Homo sapiens		PDX-36, IMMU132, 29Day, rep1
GSM9315416		Homo sapiens		PDX-196, Control, 29Day, rep5
GSM9315415		Homo sapiens		PDX-114, Control, 29Day, rep4
GSM9315414		Homo sapiens		PDX-83, Control, 29Day, rep3
GSM9315413		Homo sapiens		PDX-82, Control, 29Day, rep2
GSM9315412		Homo sapiens		PDX-36, Control, 29Day, rep1
