section	dataset	histology	source	n_raw	has_CLDN4	has_CD8A	has_KRT8	status	n_qc	median_genes	median_umi	n_epi	epi_genes	um_per_px	pct_CLDN4_pos	pct_CD8A_pos	pct_KRT8_pos	rho_CLDN4_CD8A	p_CLDN4_CD8A	n_CLDN4_CD8A	rho_CLDN4_CD8A_epi	p_CLDN4_CD8A_epi	n_CLDN4_CD8A_epi	CD8A_high_rule	n_CD8A_high	med_nn_CD8A_high_um	rho_CLDN4_nbCD8A_epi	p_CLDN4_nbCD8A_epi	n_CLDN4_nbCD8A_epi	n_Q1	n_Q4	CLDN4_Q1	CLDN4_Q3	med_dist_Q4_um	med_dist_Q1_um	delta_dist_Q4_minus_Q1_um	mw_u_dist	p_dist_Q4_vs_Q1	med_nbCD8A_Q4	med_nbCD8A_Q1	delta_nbCD8A_Q4_minus_Q1	mw_u_nbCD8A	p_nbCD8A_Q4_vs_Q1	rho_KRT8resid_CD8A	p_KRT8resid_CD8A	n_KRT8resid_CD8A	rho_KRT8resid_CD8A_epi	p_KRT8resid_CD8A_epi	n_KRT8resid_CD8A_epi	rho_KRT8resid_nbCD8A_epi	p_KRT8resid_nbCD8A_epi	n_resid_Q1	n_resid_Q4	med_dist_residQ4_um	med_dist_residQ1_um	delta_dist_residQ4_minus_Q1_um	p_dist_residQ4_vs_Q1	med_nbCD8A_residQ4	med_nbCD8A_residQ1	delta_nbCD8A_residQ4_minus_Q1	p_nbCD8A_residQ4_vs_Q1
10x_LUSC_FFPE	10x_CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma	LUSC	https://www.10xgenomics.com/datasets/human-lung-cancer-ffpe-2-standard	3858	1	1	1	ok	3830	6203.5	13844.0	1915	KRT8,KRT19,EPCAM	0.2147402628606651	68.61618798955614	18.590078328981726	81.8537859007833	0.06420380192525496	7.0029385051364e-05	3830	0.04742838918990689	0.03795754920663104	1915	gt0	712	78.78743864580925	0.03972942019722179	0.08218636108551373	1915	478	478	0.5532725443304544	1.0552555828342576	78.78743864580925	78.78743864580963	-3.836930773104541e-13	102857.5	0.007566109464850887	0.06804804135367307	0.04743188233769981	0.02061615901597326	121903.0	0.06679826528639589	0.06462556831636584	6.27135770770735e-05	3830	0.0372978377726232	0.10274649669281316	1915	0.02253057355329956	0.32441030809889476	478	478	78.78743864580925	78.78743864580946	-2.1316282072803006e-13	0.10389126071539001	0.06689846538442047	0.05555665230889695	0.011341813075523524	0.5744502807674972
10x_NEC_11mm_FFPE	10x_CytAssist_11mm_FFPE_Human_Lung_Cancer	lung_neuroendocrine	https://www.10xgenomics.com/datasets/human-lung-cancer-11-mm-capture-area-ffpe-2-standard	6195	1	1	1	ok	6195	10087.0	66268.0	3098	KRT8,KRT19,EPCAM	0.2509158572709672	21.904761904761905	15.722356739305893	97.12671509281678	0.059257604500242714	3.052921168144049e-06	6195	0.033203145755392516	0.06462547398363831	3098	gt0	974	91.87804142331933	0.02625913346181552	0.14401515475259846	3097	774	774	0.0	0.0	91.87804142331879	91.87804142331872	7.105427357601002e-14	300914.0	0.8756796153765857	0.02061179570533199	0.020357916009241292	0.0002538796960906975	304364.0	0.5729680843002346	0.053022734006406495	2.9742966045296327e-05	6195	0.03058748127532157	0.08871776488648905	3098	0.011002541342185384	0.5404911594019061	774	774	91.87804142331888	91.89174423589557	-0.013702812576696033	0.3811008992927887	0.020083392886645554	0.01908828704162494	0.0009951058450206156	0.46405523590764086
GSE189487_TD1_IAC	GSE189487	LUAD_IAC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	4095	1	1	1	ok	4092	3683.0	8291.0	2046	KRT8,KRT18,KRT19,EPCAM	0.5	76.63734115347019	13.220918866080156	86.73020527859238	0.0013526239278104403	0.9310695474327062	4092	-0.002705308735951597	0.9026662266893559	2046	gt0	541	100.34440691936945	-0.035815681118883044	0.10532453956173	2046	511	511	1.19614343445756	1.8953748249023636	100.34440691936945	100.34440691936945	0.0	137018.5	0.16260252238869555	0.07266656108606952	0.09195638707714698	-0.019289825991077467	120566.5	0.02668172020708081	-0.004882199846382356	0.7548774149160088	4092	-0.006579877436535687	0.7661251404151188	2046	-0.034073892665238456	0.1233750292912586	511	511	100.34440691936945	100.34440691936945	0.0	0.22624504130118817	0.07450213337378386	0.08831674174808525	-0.013814608374301388	0.13494876266458522
GSE189487_TD2_IAC	GSE189487	LUAD_IAC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	4992	1	1	1	ok	4409	3130.0	6414.0	2205	KRT8,KRT18,KRT19,EPCAM	0.5	93.26377863461103	7.416647765933318	97.73191199818552	-0.010843248567938517	0.47164076956352596	4409	0.02180848634662124	0.3060188309395105	2205	gt0	327	173.65554986812256	-0.009617433151001135	0.651800874212357	2204	551	551	1.6722272829061615	2.3203626111359186	173.5	174.0	-0.5	147769.0	0.44381766316593696	0.0	0.0	0.0	148974.5	0.5699283249247944	-0.010998117628895257	0.4653331361443614	4409	0.019931278143760937	0.34953904692917354	2205	-0.01260506433705165	0.5542156322871692	551	551	173.65554986812256	174.0	-0.3444501318774371	0.5541716324568778	0.0	0.0	0.0	0.39622974718082715
GSE189487_TD3_MIA	GSE189487	LUAD_MIA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1140	1	1	1	ok	1137	2513.0	5894.0	569	KRT8,KRT18,KRT19,EPCAM	0.5	51.363236587511	9.586631486367635	58.927000879507474	-0.03644130628771899	0.21950841350781647	1137	-0.03376043666053296	0.4215296795876758	569	gt0	109	173.4041521994211	-0.029371170542080605	0.48518563605990495	567	142	142	0.0	1.3866694783484217	174.04417000278204	173.52985103377182	0.514318969010219	10765.5	0.3213653115190017	0.0	0.0	0.0	9622.5	0.5093299469008666	-0.03794596887008402	0.2010486782482406	1137	-0.03158200313506483	0.4521237096532502	569	-0.027427232542854056	0.5145482087853477	142	142	174.29381080812124	173.65554986812256	0.6382609399986734	0.19324251276243554	0.0	0.0	0.0	0.5364343094701209
GSE189487_TD5_AIS	GSE189487	LUAD_AIS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1700	1	1	1	ok	1699	3632.0	9788.0	850	KRT8,KRT18,KRT19,EPCAM	0.49999375011718505	77.5750441436139	18.48145968216598	83.6962919364332	-0.09706991689346824	6.132843863076789e-05	1699	-0.03627969810194077	0.2907320059652655	850	gt0	314	100.16111617673909	-0.037125617949749425	0.2801903201482624	848	212	212	1.1818492216809824	1.8176379761027366	100.529833103494	100.43649287064768	0.09334023284631598	21946.0	0.6764794739624662	0.08975345678284509	0.10354316955657239	-0.0137897127737273	20886.5	0.25993240208666357	-0.05661145195514858	0.01961575724931977	1699	-0.024958015311526395	0.4674175117622421	850	-0.05769853391476335	0.09312724258290858	212	212	100.5298331034948	100.52983310349423	5.684341886080801e-13	0.31480999180796687	0.07372893015756446	0.09713935479442196	-0.023410424636857496	0.02377175433127467
GSE189487_TD6_MIA	GSE189487	LUAD_MIA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	3911	1	1	1	ok	3909	3117.0	8267.0	1955	KRT8,KRT18,KRT19,EPCAM	0.5	74.44359171143515	5.014070094653364	78.38321821437708	-0.025288124293201875	0.11392122875741442	3909	-0.00911893830445157	0.6869865946170761	1955	gt0	196	200.44014069043158	-0.00985577806286226	0.663274058207982	1954	488	488	0.7585615525610089	1.4907148117644125	200.6888138387389	200.6888138387389	0.0	115169.5	0.3741096386609456	0.0	0.0	0.0	118193.0	0.8464859326458883	-0.02086929435254964	0.19205815098590914	3909	-0.008049826984578526	0.7220620273320728	1955	-0.010000288385936305	0.6586472219640643	488	488	200.6888138387389	200.6888138387389	0.0	0.2831297165733251	0.0	0.0	0.0	0.9189787217373369
GSE189487_TD8_AIS	GSE189487	LUAD_AIS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	1760	1	1	1	ok	1760	5228.5	16965.5	880	KRT8,KRT18,KRT19,EPCAM	0.49999375011718505	98.4659090909091	14.602272727272728	96.875	0.07717217242481653	0.0011949327858753024	1760	0.07835133887357373	0.02009619872338181	880	gt0	257	100.5298331034944	0.050064813562327906	0.1378136808996408	880	220	220	1.8842073385162375	2.2870463519016155	100.16111617673886	100.5298331034946	-0.368716926755738	20815.0	0.0110497511942775	0.059142525928953735	0.054177420314828244	0.004965105614125491	25878.0	0.19507155243056618	0.07394841002756021	0.0019069325450274683	1760	0.08329274167460227	0.013449263484001526	880	0.061456802737955826	0.06841937541835061	220	220	100.16111617673874	100.529833103494	-0.3687169267552548	0.0031725976132896965	0.06474372610042364	0.05515322625179733	0.00959049984862631	0.05387877378071491
GSE273378_GSM8427428_LM_SD_1216_1	GSE273378	LUAD	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273378	2401	1	1	1	ok	2400	3303.0	6557.5	1200	KRT8,KRT18,EPCAM	0.4262226146325406	64.04166666666666	13.416666666666666	67.08333333333333	0.04736538834256244	0.020313076533865566	2400	0.005743710825999702	0.8424487181169987	1200	gt0	322	146.56171420362995	0.06350063812755902	0.027896719197590385	1199	300	300	0.742249148332318	2.008337414845846	85.1165600979096	146.59889499358485	-61.48233489567525	35452.0	6.880054668546574e-06	0.05946831435472103	0.0	0.05946831435472103	49281.5	0.023615764917503834	0.039508404182864054	0.05295890609128831	2400	0.021319725016111905	0.46060492411091825	1200	0.06599254633393392	0.022300864451980873	300	300	85.1165600979094	146.59889499358493	-61.482334895675535	2.0475255423137783e-07	0.07374310901275988	0.0	0.07374310901275988	0.011184994650721135
GSE273378_GSM8427429_LM_SD_16	GSE273378	LUAD	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273378	2756	1	1	1	ok	2755	2943.0	4965.0	1378	KRT8,KRT18,EPCAM	0.4262774681599721	91.25226860254084	1.9600725952813067	95.17241379310344	-0.007828210311921609	0.6812869071934908	2755	-0.014410432388975875	0.5930108324040216	1378	gt0	54	305.1101637034174	-0.027676529124166908	0.3045822688374453	1378	344	344	1.9956901747898	2.616263940296912	305.2099042886379	293.44644915021763	11.763455138420284	65154.5	0.021648294597638052	0.0	0.0	0.0	58241.5	0.47447949100313636	-0.00568452004238353	0.765522569178082	2755	-0.0021925972439951163	0.9351886114298271	1378	-0.019243514868597485	0.475372832705392	344	344	305.209904288638	293.4464491502177	11.763455138420284	0.037252466144562825	0.0	0.0	0.0	0.5819614337345498
