gene	present_after_collapse	collapse_probe
LCP2	1	205269_at
LSP1	1	203523_at
FYB	1	211795_s_at
PLEK	1	203471_s_at
HCK	1	208018_s_at
IL10RA	1	204912_at
LILRB1	1	211336_x_at
NCKAP1L	1	209734_at
LAIR1	1	210644_s_at
NCF2	1	209949_at
CYBB	1	203923_s_at
PTPRC	1	212587_s_at
IL7R	1	226218_at
LAPTM5	1	201721_s_at
CD53	1	203416_at
EVI2B	1	211742_s_at
SLA	1	203761_at
ITGB2	1	202803_s_at
GIMAP4	1	219243_at
MYO1F	1	213733_at
HCLS1	1	202957_at
MNDA	1	204959_at
IL2RG	1	204116_at
CD48	1	204118_at
AOAH	1	205639_at
CCL5	1	1405_i_at
LTB	1	207339_s_at
GMFG	1	204220_at
GIMAP6	1	219777_at
GZMK	1	206666_at
LST1	1	214574_x_at
GPR65	1	214467_at
LILRB2	1	210146_x_at
WIPF1	1	202664_at
CD37	1	204192_at
BIN2	1	219191_s_at
FCER1G	1	204232_at
IKZF1	1	227346_at
TYROBP	1	204122_at
FGL2	1	227265_at
FLI1	1	204236_at
IRF8	1	204057_at
ARHGAP15	0	
SH2B3	1	203320_at
TNFRSF1B	1	203508_at
DOCK2	1	213160_at
CD2	1	205831_at
ARHGEF6	1	209539_at
CORO1A	1	209083_at
LY96	1	206584_at
LYZ	1	213975_s_at
ITGAL	1	1554240_a_at
TNFAIP3	1	202644_s_at
RNASE6	1	213566_at
TGFB1	1	203085_s_at
PSTPIP1	1	211178_s_at
CST7	1	210140_at
RGS1	1	216834_at
FGR	1	208438_s_at
SELL	1	204563_at
MICAL1	1	218376_s_at
TRAF3IP3	1	213888_s_at
ITGA4	1	213416_at
MAFB	1	218559_s_at
ARHGDIB	1	201288_at
IL4R	1	203233_at
RHOH	1	236293_at
HLA-DPA1	1	211990_at
NKG7	1	213915_at
NCF4	1	207677_s_at
LPXN	1	216250_s_at
ITK	1	211339_s_at
SELPLG	1	209879_at
HLA-DPB1	1	201137_s_at
CD3D	1	213539_at
CD300A	1	209933_s_at
IL2RB	1	205291_at
ADCY7	1	203741_s_at
PTGER4	1	204897_at
SRGN	1	201859_at
CD247	1	210031_at
CCR7	1	206337_at
MSN	1	200600_at
ALOX5AP	1	204174_at
PTGER2	1	206631_at
RAC2	1	213603_s_at
GBP2	1	202748_at
VAV1	1	206219_s_at
CLEC2B	1	209732_at
P2RY14	1	206637_at
NFKBIA	1	201502_s_at
S100A9	1	203535_at
IFI30	0	
MFSD1	1	218109_s_at
RASSF2	1	203185_at
TPP1	1	200743_s_at
RHOG	1	203175_at
CLEC4A	1	219947_at
GZMB	1	210164_at
PVRIG	1	219812_at
S100A8	1	202917_s_at
CASP1	1	211368_s_at
BCL2A1	1	205681_at
HLA-E	1	200905_x_at
KLRB1	1	214470_at
GNLY	1	37145_at
RAB27A	1	209515_s_at
IL18RAP	1	207072_at
TPST2	1	204079_at
EMP3	1	203729_at
GMIP	1	218913_s_at
LCK	1	204891_s_at
IL32	1	203828_s_at
PTPRCAP	1	204960_at
LGALS9	1	203236_s_at
CCDC69	1	1553102_a_at
SAMHD1	1	235529_x_at
TAP1	1	202307_s_at
GBP1	1	202270_at
CTSS	1	202902_s_at
GZMH	1	210321_at
ADAM8	1	205180_s_at
GLRX	1	206662_at
PRF1	1	214617_at
CD69	1	209795_at
HLA-B	1	209140_x_at
HLA-DMA	1	217478_s_at
CD74	1	209619_at
KLRK1	0	
PTPRE	1	221840_at
HLA-DRA	1	208894_at
VNN2	1	205922_at
TCIRG1	1	204158_s_at
RABGAP1L	1	203020_at
CSTA	1	204971_at
ZAP70	1	214032_at
HLA-F	1	221875_x_at
HLA-G	1	211529_x_at
CD52	1	34210_at
CD302	0	
CD27	1	206150_at
