gene	named_probe	collapse_probe	named_equals_collapse	n_mapped_probes	named_mean	collapse_mean
CLDN4	201428_at	201428_at	1	2	9.5073621875	9.052892272727274
CD8A	205758_at	205758_at	1	1	8.238375000000001	8.333837272727271
CD274	227458_at	227458_at	1	2	8.5647115625	9.37624196969697
CD274	223834_at	227458_at	0	2	5.4478353125000005	9.37624196969697
CD274	227458_at	227458_at	1	2	8.5647115625	9.37624196969697
