gene	class	present	collapse_probe	named_probe
CLDN4	primary	1	201428_at	201428_at
CD8A	primary	1	205758_at	205758_at
CD274	primary	1	227458_at	227458_at
EPCAM	epithelial	1	201839_s_at	
KRT8	epithelial	1	209008_x_at	
KRT18	epithelial	1	201596_x_at	
KRT19	epithelial	1	201650_at	
CDH1	epithelial	1	201131_s_at	
KRT7	epithelial	1	209016_s_at	
