contrast	n	spearman_rho	spearman_p	note	unit
CLDN4_vs_palantir_pseudotime	6	-0.7142857142857143	0.11078717201166179		patient
CLDN4_vs_fate_dest_0	6	0.14285714285714288	0.7871720116618076		patient
CLDN4_vs_fate_dest_1	6				patient
CLDN4_vs_fate_dest_2	6	0.48571428571428577	0.3287230320699708		patient
CLDN4_vs_fate_dest_3	6	-0.6546536707079772	0.15830242337545788		patient
barrier_no_cldn4_vs_palantir_pseudotime	6	-0.4285714285714286	0.3965014577259473		patient
barrier_no_cldn4_vs_fate_dest_0	6	-0.3714285714285715	0.4684781341107872		patient
barrier_no_cldn4_vs_fate_dest_1	6				patient
barrier_no_cldn4_vs_fate_dest_2	6	0.14285714285714288	0.7871720116618076		patient
barrier_no_cldn4_vs_fate_dest_3	6	0.13093073414159545	0.8047261622231062		patient
ifn_isg_vs_palantir_pseudotime	6	-0.7714285714285715	0.07239650145772594		patient
ifn_isg_vs_fate_dest_0	6	-0.028571428571428574	0.9571545189504373		patient
ifn_isg_vs_fate_dest_1	6				patient
ifn_isg_vs_fate_dest_2	6	0.6	0.208		patient
ifn_isg_vs_fate_dest_3	6	-0.6546536707079772	0.15830242337545788		patient
CLDN4_vs_palantir_pseudotime	4683	-0.4006325965537607	4.2278944143963675e-180		cell_exploratory
CLDN4_vs_fate_dest_0	4683	-0.1903876800253528	1.803034448211783e-39		cell_exploratory
CLDN4_vs_fate_dest_1	4683				cell_exploratory
CLDN4_vs_fate_dest_2	4683	0.14644418953432317	7.257076642516254e-24		cell_exploratory
CLDN4_vs_fate_dest_3	4683	-0.24399553095394996	1.9392442965114968e-64		cell_exploratory
barrier_no_cldn4_vs_palantir_pseudotime	4683	-0.35468804161625817	7.11455155973369e-139		cell_exploratory
barrier_no_cldn4_vs_fate_dest_0	4683	-0.37050490054789614	2.5586068470291136e-152		cell_exploratory
barrier_no_cldn4_vs_fate_dest_1	4683				cell_exploratory
barrier_no_cldn4_vs_fate_dest_2	4683	0.26404863619933905	1.5216846477288208e-75		cell_exploratory
barrier_no_cldn4_vs_fate_dest_3	4683	-0.0571338071920906	9.155079996042833e-05		cell_exploratory
ifn_isg_vs_palantir_pseudotime	4683	-0.39045903884070343	2.1662134219852745e-170		cell_exploratory
ifn_isg_vs_fate_dest_0	4683	-0.34270461778790706	3.452177351208884e-129		cell_exploratory
ifn_isg_vs_fate_dest_1	4683				cell_exploratory
ifn_isg_vs_fate_dest_2	4683	0.48502270844244183	5.780844790726508e-275		cell_exploratory
ifn_isg_vs_fate_dest_3	4683	-0.35942972573928506	7.971940805074534e-143		cell_exploratory
