Sample	dest_0	dest_1	dest_2	dest_3
BD_immune01	0	0	568	0
BD_immune02	9	0	1	0
BD_immune03	7	0	739	0
BD_immune04	49	0	2	0
BD_immune05	0	1356	3	0
BD_immune06	0	0	1	0
BD_immune07	6	0	3203	0
BD_immune08	17	0	0	0
BD_immune09	0	0	164	0
BD_immune10	0	0	189	0
BD_immune12	4	0	3	299
BD_immune13	3	0	0	0
BD_immune15	3	0	1	0
