leiden	n_cells	n_samples	mean_CLDN4	mean_barrier_no_cldn4	mean_ifn_isg	mean_pseudotime	majority_destiny
0	573	3	2.0138788720716683	0.8643605951430057	0.17032478064678386	0.4233039354048947	dest_2
1	64	8	0.3180793718882616	0.27313244582387175	0.4437709594606495	0.2291446963251523	dest_2
2	827	1	1.5457649302439653	0.7986811777592158	0.6733787354827773	0.3142267431489353	dest_2
3	1237	1	1.4889606298588218	0.8419083188216874	0.6503271492624422	0.30989874850120835	dest_2
4	454	2	2.585870415626605	0.8980842959102174	0.7309601678965564	0.300138061908363	dest_2
5	634	1	1.940820154641311	0.8187203366901888	0.4916209149809668	0.30882065702923844	dest_2
6	739	3	1.0157819495795883	0.6227042963266641	0.3473091433391483	0.4744079443302005	dest_2
7	1356	1	0.8603077653698747	0.9020668439020345	0.5146447534742121	0.001001736189621923	dest_1
8	187	2	1.0166594758388454	0.6119467365455281	0.21261453587896964	0.3840662480072128	dest_2
9	100	8	1.591286475097388	0.6399521495389296	0.5683301206723631	0.47792498117091275	dest_0
10	157	1	1.886695005604889	0.8445889703600848	0.6286225710685069	0.3600434364849308	dest_2
11	299	1	0.5943735506612238	0.739057532521364	0.17193133560358878	0.9970874007919328	dest_3
