item	n
GEO pre-treatment FPKM columns	32
Unique tumours (1 column = 1 tumour)	32
CLDN4 + CD274 + HLA-A/B/C non-NA	32
CD8A non-NA (partial covariate)	32
HLA-I genes in the mean-z	HLA-A,HLA-B,HLA-C
GSEA Q4 vs Q1 (other leftover; not used here)	8 vs 8
RECIST / DCB on this page	0
