dataset	unit_id	histology	program	tier	expect	n_cells_fit	n_genes	before	after	delta_cldn4	delta_cldn4_single	delta_control	perm_p	stable_sign	control_gene	kd_like
GSE123902	LX255B	LUAD	IFN	primary	up	198	205	0.22104677353866695	0.2189206337674953	-0.0021261397711716404	-0.0024765081493509	-0.004592831045130508	0.024390243902439025	True	GSTP1	False
GSE123902	LX255B	LUAD	MHC_I_APM	primary	up	198	20	0.682988649729336	0.6752452565426338	-0.007743393186702203	-0.007813161119450806	-0.009016007761527684	0.024390243902439025	True	GSTP1	False
GSE123902	LX255B	LUAD	chemokine	primary	up	198	14	0.12670790605434273	0.12607487764298536	-0.0006330284113573693	-0.00021001366742077029	0.006326955476916713	0.8780487804878049	True	GSTP1	False
GSE123902	LX255B	LUAD	barrier_ligands	primary	down	198	14	0.23644942091987872	0.22741391421400473	-0.009035506705874009	-0.009662783238405321	-0.014584752049945962	0.024390243902439025	True	GSTP1	True
GSE123902	LX255B	LUAD	chemokine_ligands	secondary	up	198	10	0.13737041986218096	0.13540516012649023	-0.00196525973569073	-0.0017222024577373761	0.0036501558299679208	0.14634146341463414	True	GSTP1	False
GSE123902	LX255B	LUAD	TJ_broad	secondary	down	198	164	0.19198566919967638	0.18938204414412327	-0.002603625055553108	-0.002802220091821666	-0.00276152616901552	0.024390243902439025	True	GSTP1	True
GSE123902	LX653	LUAD	IFN	primary	up	139	210	0.27494290864125975	0.2717925922633755	-0.0031503163778842744	-0.002786112692713237	-0.0023757680983841163	0.024390243902439025	True	GAPDH	False
GSE123902	LX653	LUAD	MHC_I_APM	primary	up	139	21	0.73449456414009	0.7297845577540041	-0.00471000638608583	-0.00467437443138959	-0.010896170310030304	0.14634146341463414	True	GAPDH	False
GSE123902	LX653	LUAD	chemokine	primary	up	139	19	0.09199485300495437	0.09153914062130405	-0.00045571238365031105	-0.00035887899414650695	-0.002997150614008996	0.8048780487804879	True	GAPDH	False
GSE123902	LX653	LUAD	barrier_ligands	primary	down	139	16	0.337128966441093	0.32836466562857936	-0.008764300812513658	-0.009146908699680179	0.0004399745155509894	0.024390243902439025	True	GAPDH	True
