gene	programs	n_patients	median_beta_cldn4	mean_beta_cldn4
ABCC8	TJ_broad	22	-3.8169898256244085e-05	0.0003203485908391295
ACTB	TJ_broad	61	0.005452294406735869	0.0034051082403993346
ACTG1	TJ_broad	61	0.008841858430469588	0.013934623097057041
ACTN1	TJ_broad	61	0.00351708434133016	0.003282482236464827
ACTN4	TJ_broad	61	0.01583034472014436	0.016394162149477663
ACTR2	TJ_broad	61	0.002779297187388893	0.0013388360168345042
ACTR3	TJ_broad	61	0.003806889721924403	0.0022534602784092493
ACTR3B	TJ_broad	60	0.0007076569995955952	0.000591305732862182
ACTR3C	TJ_broad	61	0.001084757714626207	0.001125129935908384
ADAR	IFN	61	0.0054741425521121784	0.006376439961971083
AFDN	TJ_broad	42	0.012620542842614206	0.01657297119106328
AMOT	TJ_broad	55	0.0016652013031182254	0.0018250213104478428
AMOTL1	TJ_broad	56	0.00011233172164391245	-7.168014788736357e-05
AMOTL2	TJ_broad	61	0.003956521942791311	0.005811474096344766
APC	TJ_broad	61	0.0010226376275483855	0.0011386945027066343
APOL6	IFN	61	0.003788876860692041	0.004580038920318132
ARHGAP17	TJ_broad	61	0.0006177209553081993	0.001227409605991825
ARHGEF18	TJ_broad	46	0.0001379068621041797	0.00149247329984067
ARHGEF2	TJ_broad	61	0.001196630357821662	0.001803631110359462
ARID5B	IFN	61	0.0004276550869460313	-0.0007120561787916365
ARL2	TJ_broad	61	0.0027581250458985833	0.0028980927404394633
ARL4A	IFN	61	0.007395260974400406	0.007453229082679553
ARPC1A	TJ_broad	61	0.004877255057048638	0.007797401739230567
ARPC1B	TJ_broad	61	0.005927369923135683	0.003547182380427978
ARPC2	TJ_broad	61	-0.001607446828727955	-0.004273146400820457
ARPC3	TJ_broad	61	0.004565832653510649	0.0034218021896189788
ARPC4	TJ_broad	61	0.0004437130772436223	-0.0005877986855788976
ARPC5	TJ_broad	61	0.00041037507942139165	0.0010033618242378246
ARPC5L	TJ_broad	61	0.0037016533393839104	0.005993579521431141
AUTS2	IFN	59	0.0027224489934136844	0.003747316398371885
B2M	IFN,MHC_I_APM	61	0.006707920458189065	0.009533767278650369
BANK1	IFN	61	2.08223520530906e-06	-0.0004658925506578685
BATF2	IFN	56	0.0002567752765544356	0.0008959017900711556
BPGM	IFN	61	0.0030213590816926036	0.003204191729254673
BST2	IFN	61	0.005392332404396296	0.005199985777203836
BTG1	IFN	61	0.00016640205285889967	-0.004440950187256273
BVES	TJ_broad	37	5.6649162051961184e-05	0.00020874923580338275
C1R	IFN	60	0.0002804508011764052	-0.00011964460100386023
C1S	IFN	57	1.1728004387892328e-06	-0.000564832218139727
CACNA1D	TJ_broad	55	0.00038464055833326043	0.0008763998213811001
CALR	MHC_I_APM	61	0.016962629854233788	0.01915073911148616
CANX	MHC_I_APM	61	0.010803530598685693	0.013429732013919258
CASP1	IFN	59	-0.0007597322874090236	-0.001012589159486423
CASP3	IFN	61	0.001135274533306253	0.0009764616479670589
CASP4	IFN	61	0.002723633789814963	0.003660677925509652
CASP7	IFN	61	0.0012660125850159324	0.001918939401727229
CASP8	IFN	61	0.0015271367638557023	0.0007141114875064082
CCL19	chemokine,chemokine_ligands	23	-0.0005631262779787811	-0.001384979169829913
CCL2	IFN,chemokine,chemokine_ligands	57	0.0001490928392276616	0.0003824265530210179
CCL21	chemokine,chemokine_ligands	21	-0.000848470492604689	-0.0028927622244197863
CCL22	chemokine,chemokine_ligands	42	9.620592868034494e-05	0.00016156134175818434
CCL3	chemokine,chemokine_ligands	60	-0.0024285516203914875	-0.0047926815533784976
CCL4	chemokine,chemokine_ligands	61	-0.0011685550674972172	-0.006472879590071883
CCL5	IFN,chemokine,chemokine_ligands	61	-0.003780277392110864	-0.007808209983581622
CCL7	IFN	20	-0.0003971858623751625	-0.0005970906717185391
CCL8	chemokine,chemokine_ligands	29	-0.00011755867273732798	-0.0005723668462242936
CCND1	TJ_broad	61	0.0112215162329542	0.013580794889491881
CCR5	chemokine	43	-0.0002769703750176337	-0.0005336914770589258
CCR7	chemokine	48	-0.0008064125783266249	-0.003507112606397935
CCRL2	IFN	56	-0.00021768667281979722	-0.0004224799960700693
CD1A	TJ_broad	25	1.2167400448046442e-05	-0.00023466115310342368
CD1B	TJ_broad	14	-0.00013088613604147865	-0.0006927232272949433
CD1C	TJ_broad	34	-0.0002176356249855005	-0.0006526778837832539
CD1D	TJ_broad	33	-0.00018428781358411126	-0.0003923348700506445
CD1E	TJ_broad	23	-0.00023169726911106118	-0.0008389080011398392
CD274	IFN	54	0.00010779788206774275	0.0007560828883297397
CD38	IFN	56	0.0002258117490021046	0.00018208503394521598
CD40	IFN	61	0.0011517487158816857	0.0017013031261986949
CD47	IFN	61	0.018885984069261362	0.018848229645358046
CD69	IFN	59	-0.0032228744284348446	-0.013005224485970477
CD74	IFN	61	0.009297561642088087	0.013126526464148462
CD86	IFN	54	-0.0005670268605671382	-0.0016624129551507452
CDC42	TJ_broad	61	0.0052645574543981055	0.004516717435157665
CDH1	barrier_ligands,TJ_broad	61	0.01914242016836613	0.02352131150488508
CDH5	TJ_broad	34	-0.00013001121238649115	-0.0026560462933609497
CDK4	TJ_broad	61	0.0020811216354529117	0.0016826812763555644
CDKN1A	IFN	61	0.007297762086477836	0.009432151045582404
CFB	IFN	59	0.002290312285709508	0.006318393936344046
CFH	IFN	60	0.0036857713959825007	0.006235117632429424
CFTR	TJ_broad	41	0.0003290887867045351	0.0013308544986773369
CGN	barrier_ligands,TJ_broad	61	0.007594043042716314	0.01073004481308313
CGNL1	TJ_broad	58	0.001228950696741149	0.0017646596939904816
CIITA	IFN	59	-0.00020267361282501586	-0.0006734376061418951
CLDN1	barrier_ligands,TJ_broad	60	0.005972627206719863	0.012161741789420233
CLDN10	TJ_broad	48	0.00024377205561393382	0.0041700201025594436
CLDN11	TJ_broad	49	-8.37765498488676e-05	2.8217664837666943e-07
CLDN12	TJ_broad	61	0.003814340235004686	0.004160120708046668
CLDN14	TJ_broad	25	-0.00010152228910034162	3.11001207331742e-05
CLDN15	TJ_broad	61	0.0007495582129686859	0.0008505632531980745
CLDN16	TJ_broad	42	0.00029119842838453574	0.0011678970804531838
CLDN17	TJ_broad	1	-0.03258123442629156	-0.03258123442629156
CLDN18	TJ_broad	26	0.0010847660178395276	0.006075083449153076
CLDN19	TJ_broad	17	4.6721143458328376e-05	5.190625887637197e-05
CLDN2	TJ_broad	33	9.6977149638498e-05	0.0003686270101561833
CLDN20	TJ_broad	6	-0.00011733198616085407	-0.00011070358357721268
CLDN22	TJ_broad	13	0.00017223993491266148	0.00023677795620236336
CLDN23	TJ_broad	60	0.0034311993507197824	0.0051117894261522535
CLDN25	TJ_broad	2	0.0005289722507963791	0.0005289722507963791
CLDN3	barrier_ligands,TJ_broad	61	0.040761157867694395	0.048038831180646294
CLDN34	TJ_broad	14	0.00011504228406724728	0.00037414810783594426
CLDN5	TJ_broad	39	-0.00041140077935428654	-0.0056720103676252305
CLDN6	TJ_broad	39	0.0003719312022557835	0.0038266497487099357
CLDN7	barrier_ligands,TJ_broad	61	0.03331854156224627	0.04108814043266552
CLDN8	TJ_broad	40	0.0006555019643050795	0.002470850170454038
CLDN9	TJ_broad	56	0.001707706629778692	0.0036587259231342724
CMKLR1	IFN	33	-0.00019985562461819007	-0.0007145171945982775
CMPK2	IFN	60	0.0005997023184636787	0.0007323890139872128
CMTR1	IFN	61	0.0009055947332112733	0.0008862199871440053
CNP	IFN	61	0.002852946458396659	0.0022017715946713195
CRB3	TJ_broad	61	0.008639024138105609	0.009448776603129106
CSF1	IFN	60	0.0005488273959766284	0.00023347175010414464
CSF2RB	IFN	43	-0.0003618389930889269	-0.0013542111815312585
CTTN	TJ_broad	61	0.008513073321115469	0.010434281150620879
CX3CL1	chemokine,chemokine_ligands	55	0.0022699323870395832	0.003910290805585997
CXCL10	IFN,chemokine,chemokine_ligands	53	-7.624323219124539e-05	-0.0005309679559936085
CXCL11	IFN,chemokine,chemokine_ligands	31	4.3874564161275984e-05	0.00041482896529542926
CXCL13	chemokine,chemokine_ligands	53	-0.00020601957749652266	-0.0008318447314379881
CXCL16	chemokine,chemokine_ligands	61	0.004808402734931799	0.007163249499747551
CXCL8	chemokine,chemokine_ligands	61	0.0038872789607858524	0.010463604445813117
CXCL9	IFN,chemokine,chemokine_ligands	39	-7.518788304623264e-05	-0.0004264646716718122
CXCR3	chemokine	53	-0.0005011352568138179	-0.001676786112648403
CXCR4	chemokine	61	-0.005177524045880384	-0.012831727779444316
