matrix	a	b	n	spearman_rho	spearman_p
HiSeqV2	TACSTD2	CLDN4	515	0.4597517150956402	2.68425122314192e-28
HiSeqV2	TACSTD2	estimate_purity	515	-0.005611713986772454	0.8989074659838221
HiSeqV2	TACSTD2	absolute_purity	502	0.007390157000782001	0.8688112903914171
HiSeqV2	CLDN4	estimate_purity	515	0.0816227659072956	0.06418340624243725
HiSeqV2	CLDN4	absolute_purity	502	0.04774313228172003	0.28568106159579865
HiSeqV2	estimate_purity	absolute_purity	502	0.658904445723204	8.065896203307869e-64
HiSeqV2	estimate_purity	aran_estimate_purity	511	0.9999991456339161	0.0
HiSeqV2	absolute_purity	aran_absolute_purity	352	0.9229757426813187	3.30691645095348e-147
HiSeqV2	estimate_purity	LeukocyteFraction_methylation	513	-0.7265610778323891	2.5310086858362805e-85
HiSeqV2	absolute_purity	LeukocyteFraction_methylation	500	-0.772071850631388	4.2501727835574775e-100
HiSeqV2	ESTIMATE_Immune_score	estimate_purity	515	-0.9259323718013482	4.467551277281246e-219
HiSeqV2	ESTIMATE_Immune_score	absolute_purity	502	-0.6163121438986883	7.706521485873724e-54
HiSeqV2	CYT_GZMA_PRF1	estimate_purity	515	-0.6258075588558771	2.4379949132122756e-57
HiSeqV2	CYT_GZMA_PRF1	absolute_purity	502	-0.4669920793110635	1.479918420640693e-28
HiSeqV2	CD8_score	absolute_purity	502	-0.4295165551048932	5.937079798870497e-24
HiSeqV2	GEP18	absolute_purity	502	-0.5816922119416524	8.716672729756537e-47
STAR_TPM	TACSTD2	CLDN4	516	0.5389480184453354	3.2579613977586523e-40
STAR_TPM	TACSTD2	estimate_purity	515	0.0418229514879381	0.3435256426678349
STAR_TPM	TACSTD2	absolute_purity	503	0.043067877423543094	0.3350680049038762
STAR_TPM	CLDN4	estimate_purity	515	0.14083564901651918	0.0013539702060670063
STAR_TPM	CLDN4	absolute_purity	503	0.08747241162692661	0.0499163251285115
STAR_TPM	estimate_purity	absolute_purity	502	0.658904445723204	8.065896203307869e-64
STAR_TPM	estimate_purity	aran_estimate_purity	511	0.9999991456339161	0.0
STAR_TPM	absolute_purity	aran_absolute_purity	352	0.9229757426813187	3.30691645095348e-147
STAR_TPM	estimate_purity	LeukocyteFraction_methylation	513	-0.7265610778323891	2.5310086858362805e-85
STAR_TPM	absolute_purity	LeukocyteFraction_methylation	501	-0.7720323319338293	2.802226979007386e-100
STAR_TPM	ESTIMATE_Immune_score	estimate_purity	515	-0.9259323718013482	4.467551277281246e-219
STAR_TPM	ESTIMATE_Immune_score	absolute_purity	502	-0.6163121438986883	7.706521485873724e-54
STAR_TPM	CYT_GZMA_PRF1	estimate_purity	515	-0.606276811921427	5.272049233789861e-53
STAR_TPM	CYT_GZMA_PRF1	absolute_purity	503	-0.4512137569903645	1.3437722676623767e-26
STAR_TPM	CD8_score	absolute_purity	503	-0.41896697112051506	8.453233700679249e-23
STAR_TPM	GEP18	absolute_purity	503	-0.5417858580537558	1.0318246050207918e-39
