sample	CCL5	CD2	CD27	CD274	CD276	CD3E	CD68	CD8A	CD8B	CLDN4	CMKLR1	CTLA4	CXCL10	CXCL9	CXCR6	FOXP3	GZMA	GZMB	HAVCR2	HLA-DQA1	HLA-DRB1	HLA-E	IDO1	IFNG	LAG3	MS4A1	NKG7	PDCD1	PDCD1LG2	PRF1	PSMB10	STAT1	TACSTD2	TIGIT	CYT_GZMA_PRF1	CD8_score	GEP18	ESTIMATE_Stromal_score	ESTIMATE_Immune_score	ESTIMATE_score	estimate_purity	absolute_purity	aran_estimate_purity	aran_absolute_purity	aran_lump_purity	aran_ihc_purity	aran_cpe_purity	LeukocyteFraction_methylation	CIBERSORT_CD8_T	CIBERSORT_Tregs	CIBERSORT_NK_activated	CIBERSORT_Macrophage_M1	CIBERSORT_Macrophage_M2	Wolf_LymphocyteInfiltration	Wolf_MacrophageCSF1	Wolf_IFNgamma	Wolf_TGFbeta	Wolf_WoundHealing_CSR
TCGA-05-4244-01	8.5675	8.1887	6.003	8.034	10.6474	7.6131	12.5261	7.15	5.63	13.9765	7.9305	5.9151	7.8388	8.1449	6.5736	5.6716	6.3511	5.9151	9.3944	12.2648	13.8391	12.9781	6.1027	2.4693	4.5873	3.8693	6.3262	4.2058	6.4752	6.1671	10.1575	12.1987	12.9704	5.9481	6.2591	6.390000000000001	8.55158888888889	-470.99	933.74	462.76	0.782008163028133	0.44	0.782	0.44		0.8	0.7019	0.246925701467734	0.0455604096596519	0.0066896925387262	0.0	0.0153019750545362	0.374714811369116	0.2229	0.6623	0.1597	0.0097	0.059
TCGA-05-4249-01	8.2825	8.9282	8.0391	6.1004	11.3372	7.9539	11.9628	6.9276	5.3773	13.9391	8.6354	5.2118	7.6826	8.9358	6.2048	6.7285	5.8088	5.9731	9.3565	12.8307	13.7648	13.3215	8.0896	1.3839	5.9126	7.382	6.0452	5.7582	6.5553	7.4151	9.5799	12.9195	12.3143	6.66	6.61195	6.15245	8.896772222222221	-0.14	1033.35	1033.21	0.7271395208445183	0.49	0.7271	0.49		0.8	0.64	0.251680895420399	0.0309554391249817	0.0310055530584665	0.0359970252128401	0.017159271138972	0.285952393766167	0.9536	0.7904	0.0124	0.2006	-0.1325
TCGA-05-4250-01	10.4705	8.9408	7.6026	8.6625	11.3956	9.0648	12.5684	9.9113	7.5674	14.8158	8.6871	6.5003	9.6004	11.7447	8.108	5.4198	8.8201	9.0414	9.6566	9.9553	11.9271	13.9938	10.6998	5.2657	7.6649	4.5371	8.9242	8.2003	7.0075	9.2116	11.0742	13.6713	12.5866	7.0296	9.01585	8.73935	9.918333333333331	263.1	1184.84	1447.95	0.6840254444072377	0.5	0.684	0.5		0.85	0.637	0.238785071941152	0.240335662341504	0.0	0.0305608946468917	0.0591228606381221	0.352205324809581					
TCGA-05-4382-01	9.7399	8.2947	9.3005	6.8858	11.8595	8.5582	13.7568	7.411	5.2694	13.8596	10.3019	6.4768	10.6885	11.7174	7.9259	7.675	7.2905	8.3644	10.2273	13.2707	14.6915	13.8172	7.9692	3.2653	7.6532	6.2185	6.7986	6.4053	8.5582	7.5052	10.088	13.0368	13.064	7.0692	7.39785	6.340199999999999	9.894138888888888	1205.42	1641.81	2847.24	0.5208678804718619	0.21	0.5209	0.23		0.7	0.381	0.460245263790876	0.0580216874222749	0.0148308857139193	0.0	0.0541598926843921	0.500164546294949	1.3548	1.2892	0.3913	0.6156	-0.0135
TCGA-05-4384-01	8.536	7.516	6.6806	5.0608	10.6971	7.3903	12.781	6.856	4.4032	12.5602	9.3039	5.0869	6.9938	7.8949	6.5143	5.3842	6.0655	5.8684	8.86	10.2127	12.1747	12.9888	5.838	1.7839	4.7364	4.4442	6.4552	4.523	6.1172	7.3093	9.6841	12.2165	11.9826	4.863	6.6874	5.6296	8.157233333333332	-75.43	767.77	692.34	0.760564190395058	0.49	0.7606	0.48	0.7249	0.7	0.6937	0.199447264558554	0.0671945670345153	0.0113223957864985	0.0479484557261213	0.0103586896966541	0.44523423715236	0.1829	0.6438	-0.1574	0.0162	-0.2755
TCGA-05-4389-01	10.9539	9.9115	7.9621	6.71	10.9502	9.7141	12.4425	10.2236	8.4345	13.0411	9.2811	7.0503	10.0536	11.5938	8.8105	7.6392	8.7398	8.6523	9.5757	10.8269	12.4501	14.0927	10.4328	5.0968	8.0208	6.5945	8.9433	6.9945	7.5014	8.9344	10.8885	13.4698	12.4865	7.232	8.8371	9.329049999999999	10.019083333333333	-397.74	1456.58	1058.84	0.7245516785208518	0.48	0.7246	0.48		0.75	0.6365	0.336175972654457	0.168626386897094	0.0438936061480673	0.0855348971254854	0.0920590907549915	0.227874967858831	1.6249	0.9496	0.4598	-0.1812	0.1405
TCGA-05-4390-01	7.345	7.1185	7.658	5.8054	10.3429	6.7503	11.7114	6.3023	6.653	13.6111	7.3164	5.9011	7.4698	8.8521	5.6305	5.1545	4.6593	7.4594	8.3406	10.0926	11.9552	11.9924	6.4037	1.1873	5.2736	5.2736	4.5845	4.287	5.7206	6.7841	9.2803	11.1555	12.1225	4.9844	5.7217	6.47765	7.816411111111112	124.48	76.91	201.39	0.8053391864500227	0.57	0.8053	0.57	0.735	0.7267	0.7245	0.189849228096592	0.0599962731471761	0.0015421659620178	0.0	0.044809737817841	0.379015928764088	0.4356	0.2115	-0.0153	0.1018	0.1485
TCGA-05-4395-01	11.0803	8.1818	6.0168	5.9211	10.943	7.604	12.3253	7.649	5.3855	13.7728	7.6079	5.9464	9.775	10.0571	7.1131	5.4038	8.8046	8.2303	8.9912	12.0535	12.6549	12.9092	7.3735	2.8958	6.532	3.4146	8.1964	5.5182	6.6978	8.6406	10.9664	12.9636	13.8468	5.7942	8.7226	6.517250000000001	9.029433333333332	-620.75	854.14	233.39	0.8025457278160916	0.61	0.8025	0.61		0.775	0.7424	0.202136549112715	0.10710448603293	0.0	0.113847194501001	0.0758493970940705	0.412987680678732	0.3167	0.3337	0.5977	0.1311	0.2735
TCGA-05-4396-01	7.7771	7.2823	6.3018	4.6149	11.0411	7.2682	10.9861	6.1447	3.7958	12.9442	7.3101	4.9693	8.2882	8.8844	6.1752	5.787	5.7967	5.6077	6.9343	10.4903	12.1845	13.4814	5.9637	2.9678	5.0375	5.491	5.9282	4.3186	5.4415	6.6041	9.5552	12.376	12.5302	5.63	6.2004	4.97025	8.018755555555554	-714.18	-204.96	-919.14	0.8915374392163	0.82	0.8915	0.77	0.8442	0.75	0.8575	0.118303025375866	0.115542410740359	0.0156987709335796	0.0077844609585055	0.0447286162000211	0.347948295833306	-0.1143	-0.2088	-0.0151	-0.0432	-0.2715
TCGA-05-4397-01	10.8707	6.8534	5.6744	5.1835	12.5128	7.0986	12.6113	6.9364	5.2351	11.8123	8.4438	5.5184	10.9947	10.2977	5.9481	6.0683	6.4007	7.2797	8.8701	10.3615	13.5746	13.8178	9.9674	0.9134	6.7086	3.2651	6.5236	4.8605	6.9519	7.6327	10.4767	12.7486	12.1637	5.1658	7.0167	6.08575	9.009105555555557	-688.16	463.66	-224.49	0.8408012579919222	0.87	0.8408	0.87		0.75	0.7943	0.144997129835141	0.0800612402607888	0.0461370151779303	0.0341842099304691	0.0861413320724766	0.336466259049981					
