accession,decision,in_scope,cldn4_search_files,title,organisms,queries,description,pride_url
PXD003651,other_claudin_mention,False,,CLDN3 in prostate cancer exosomes,Homo sapiens (human); Bos taurus (bovine),claudin,"Exosomes are an emerging source for biomarkers in various diseases. Prostate cancer is the most frequent cancer in men in industrialized countries. The only biomarker widely used is prostate specific antigen with its clinical relevance suffering from low specificity. To identify novel biomarker candidates for prostate cancer we isolated exosomes from the supernatant of malignant PC3 and benign PNT1A cells, grown under standard culture conditions, using sequential centrifugation and ultracentrifugation. Not to alter the cellular growth conditions an FBS-containing medium was used. As control this medium was also subjected to exosomen isolation. Exosome and control samples were analyzed on an LTQ-Orbitrap XL mass spectrometer and subsequently between 441 and 843 proteins per sample were iden",https://www.ebi.ac.uk/pride/archive/projects/PXD003651
PXD005292,other_claudin_mention,False,,N-Linked Glycoprotein Profiles of Human Breast Claudin-Low Malignant Cell Lines,Homo sapiens (human),claudin,"Secreted proteins and transmembrane proteins with extracellular domains are frequently glycosylated; this group of proteins includes those that participate in the various intercellular junctions and signaling pathways of an epithelium.  In this study we characterized the differences in glycoprotein expression between claudin-low and other breast cell lines using a dataset of 26 breast cell lines in which the glycoproteins were identified and quantitated by liquid chromatography/ tandem mass spectrometry.  Our goals are to characterize the glycoproteome of a set of claudin-low lines, compare them to basal, luminal and non-malignant cells and to identify drugs that may be especially effective on these cell lines. These five claudin-low malignant breast cells (BT549, HS578T, MDAMB157, MDAMB23",https://www.ebi.ac.uk/pride/archive/projects/PXD005292
PXD005295,other_claudin_mention,False,,N-Linked Glycoprotein Profiles of Human Breast Basal Malignant Cell Lines,Homo sapiens (human),claudin,"Secreted proteins and transmembrane proteins with extracellular domains are frequently glycosylated; this group of proteins includes those that participate in the various intercellular junctions and signaling pathways of an epithelium.  In this study we characterized the differences in glycoprotein expression between claudin-low and other breast cell lines using a dataset of 26 breast cell lines in which the glycoproteins were identified and quantitated by liquid chromatography/ tandem mass spectrometry.  Our goals are to characterize the glycoproteome of a set of claudin-low lines, compare them to basal, luminal and non-malignant cells and to identify drugs that may be especially effective on these cell lines. These nine basal malignant breast cells (HCC1143, HCC1395, HCC1937, HCC1954, HC",https://www.ebi.ac.uk/pride/archive/projects/PXD005295
PXD005339,other_claudin_mention,False,,N-Linked Glycoprotein Profiles of Human Breast Normal/Benign Cell Lines,Homo sapiens (human),claudin,"Secreted proteins and transmembrane proteins with extracellular domains are frequently glycosylated; this group of proteins includes those that participate in the various intercellular junctions and signaling pathways of an epithelium.  In this study we characterized the differences in glycoprotein expression between claudin-low and other breast cell lines using a dataset of 26 breast cell lines in which the glycoproteins were identified and quantitated by liquid chromatography/ tandem mass spectrometry.  Our goals are to characterize the glycoproteome of a set of claudin-low lines, compare them to basal, luminal and non-malignant cells and to identify drugs that may be especially effective on these cell lines. These five non-malignant breast cells (3 normal from 3 donors: HMEpC-p3, HMEC-p",https://www.ebi.ac.uk/pride/archive/projects/PXD005339
PXD005390,other_claudin_mention,False,,N-Linked Glycoprotein Profiles of Human Breast Luminal Malignant Cell Lines,Homo sapiens (human),claudin,"Secreted proteins and transmembrane proteins with extracellular domains are frequently glycosylated; this group of proteins includes those that participate in the various intercellular junctions and signaling pathways of an epithelium.  In this study we characterized the differences in glycoprotein expression between claudin-low and other breast cell lines using a dataset of 26 breast cell lines in which the glycoproteins were identified and quantitated by liquid chromatography/ tandem mass spectrometry.  Our goals are to characterize the glycoproteome of a set of claudin-low lines, compare them to basal, luminal and non-malignant cells and to identify drugs that may be especially effective on these cell lines. These seven luminal malignant breast cells (BT474, HCC1428, MCF7, SKBR3, SUM185",https://www.ebi.ac.uk/pride/archive/projects/PXD005390
PXD006406,other_claudin_mention,False,,MHC class I loaded ligands from breast cancer cell lines: A potential HLA-I-typed antigen collection,Homo sapiens (human),claudin,"We sought to build a catalog of epitopes presented by breast cancers using a renewable resource of well-characterized breast cancer cell lines. Starting from 70 breast cancer cell lines, we measured MHC class I abundance and used pre-existing RNAseq data to identify either HLA-A*02 or MHC class I-positive cell lines. For 20 of these cell lines, we used “reverse” immunogenetics, in which MHC class I-loaded peptides are recovered and their sequences are determined by mass spectrometry. We identified more than 2,700 unique MHC class I-bound peptides from a panel of basal, luminal, and claudin-low subtype of cell lines. HLA-A*02 binding prediction across all tested cell lines revealed a model which described the distribution of HLA-A*02-binding peptides and allowed us to identify those peptide",https://www.ebi.ac.uk/pride/archive/projects/PXD006406
PXD010395,keyword_false_positive,False,,Proteomic analysis identifies highly expressed plasma membrane proteins for detection and therapeutic targeting of specific breast cancer subtypes,Homo sapiens (human),claudin,"In recent years, there has been an emphasis on personalizing breast cancer treatment in order to avoid the debilitating side effects caused by broad-spectrum chemotherapeutic drug treatment. Development of personalized medicine requires the identification of proteins that are expressed by individual tumors. Herein, we reveal the identity of plasma membrane proteins that are overexpressed in estrogen receptor α-positive, HER2-positive, and triple negative breast cancer cells. The proteins we identified are involved in maintaining protein structure, intracellular homeostasis, and cellular architecture; enhancing cell proliferation and invasion; and influencing cell migration. These proteins may be useful for breast cancer detection and/or treatment.",https://www.ebi.ac.uk/pride/archive/projects/PXD010395
PXD010908,other_claudin_mention,False,,Phosphorylation of claudin-11 - Mass spectrometry analysis confirmed the phosphorylation of human claudin-11 at tyrosine 191 and tyrosine 192,Homo sapiens (human),claudin,Mass spectrometry analysis confirmed the phosphorylation of human claudin-11 at tyrosine 191 and tyrosine 192,https://www.ebi.ac.uk/pride/archive/projects/PXD010908
PXD014367,keyword_false_positive,False,,Candida albicans (DAY286 yeast) extracellular vesicle and whole cell lysate proteomes,Candida albicans (yeast),claudin,"We performed proteomic analysis of extracellular vesicles (EVs) and whole cell lysates (WCL) isolated from the same liquid culture (strain = DAY286, n = 3). This data set is the first label-free quantitative comparative study of the proteins in C. albicans EVs and their parent planktonic (yeast-form) cells. We identified proteins enriched in EVs versus WCL by comparing their LFQ intensities across all samples. After linking these results with EV enrichment data from other strains, we proposed a suite of putative EV marker proteins which were useful for multiple C. albicans strains and morphologies.",https://www.ebi.ac.uk/pride/archive/projects/PXD014367
PXD014388,keyword_false_positive,False,,Candida albicans (ATCC90028 and ATCC10231 yeast) extracellular vesicle and whole cell lysate proteomes,Candida albicans (yeast),claudin,"We performed proteomic analysis of extracellular vesicles (EVs) and whole cell lysates (WCL) isolated from the same liquid culture. This was implemented for two different C. albicans strains, ATCC90028 (n = 3) and ATCC10231 (n = 3). This data set is the first label-free quantitative comparative study of the proteins in C. albicans EVs and their parent planktonic (yeast-form) cells. We identified proteins enriched in EVs versus WCL by comparing their LFQ intensities across all samples. After linking these results with EV enrichment data from other strains, we proposed a suite of putative EV marker proteins which were useful for multiple C. albicans strains and morphologies.",https://www.ebi.ac.uk/pride/archive/projects/PXD014388
