rank,accession,protein,av_n_psm_opn
1,345800559,vesicle-associated membrane protein 2,101.37585453257593
2,345797882,transgelin-2,67.388519492109438
3,73980912,vesicle-associated membrane protein 5,64.648528168473291
4,345806493,synaptobrevin homolog YKT6-like,63.401105706573702
5,308081450,CD44 antigen precursor,57.861267190095319
6,50979156,ras-related protein Rab-7a,56.665696243893123
7,57108129,synaptosomal-associated protein 23 isoform 2,56.420945253096818
8,345795509,coxsackievirus and adenovirus receptor homolog,47.160285923663992
9,345793345,integrin beta-1,43.602381809404008
10,73982228,catenin delta-1 isoform 4,40.341583492313717
11,50978770,claudin-3,36.635177257216107
12,345794237,plasmolipin,35.261995364201461
13,73983790,4F2 cell-surface antigen heavy chain,35.172216638409843
14,147898773,carcinoembryonic antigen-related cell adhesion molecule 1 precursor,34.47260978989064
15,345799149,integrin alpha-2,32.564212927064482
16,73987612,basigin,28.242897554504633
17,345799451,clathrin interactor 1 isoform 1,27.943644456434143
18,73950452,MARCKS-related protein,27.351010993907668
19,74003604,claudin-1,25.690137497837188
20,50979052,annexin A13,25.499382551386077
21,345779489,protein NDRG1,24.560617856860077
22,345804801,brain-specific angiogenesis inhibitor 1-associated protein 2 isoform 2,24.427184014735097
23,73947234,neutral amino acid transporter B(0) isoform 1,23.36528865106369
24,345792359,epidermal growth factor receptor kinase substrate 8 isoform 1,22.542140727665458
25,359318941,acyl-protein thioesterase 2-like,21.910027306618996
26,50978954,occludin,21.351022051777111
27,345807298,"SLIT and NTRK-like family, member 4 isoform 2",21.137906044511897
28,345796449,claudin-16,20.768991846664516
29,359321818,neuroblast differentiation-associated protein AHNAK,18.816971096047226
30,66472883,podocalyxin precursor,17.477832124732675
31,73947369,poliovirus receptor-related protein 2 isoform 2,17.087107288613218
32,73992599,breast carcinoma-amplified sequence 1,16.490687390204194
33,345780352,septin-7 isoform 1,16.260969111917731
34,73967439,tubulin beta-2C chain isoform 1,16.205519604903373
35,55741705,ras-related protein Rab-1A,16.091540758403514
36,73996013,synaptosomal-associated protein 29,16.034717231141862
37,345800139,claudin-7,15.908323047939842
38,73998466,STE20-like kinase isoform 1,15.85549569424256
39,73946797,annexin A1,15.845589605744673
40,359319613,claudin-4-like,15.575439735296206
41,147904030,carcinoembryonic antigen-related cell adhesion molecule 28 precursor,15.272611398481908
42,74010356,synaptobrevin homolog YKT6-like,15.183616731151732
43,345789091,sodium bicarbonate cotransporter 3,14.743883674481527
44,345804799,brain-specific angiogenesis inhibitor 1-associated protein 2 isoform 1,13.882881397604292
45,345807425,ephrin-B1,13.864827619623794
46,73981117,vang-like protein 1 isoform 1,13.609435486482244
47,73949154,USP6 N-terminal like,13.405687737965737
48,68158924,UDP-galactose translocator,13.369451035452276
49,359320122,fermitin family homolog 2,13.226855378386519
50,345805020,adapter molecule crk isoform 2,12.992813382895706
51,73973432,ras-related protein Rab-23,12.373207204583279
52,359320259,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,12.170767908381336
53,73999120,tyrosine-protein kinase Lyn isoform 1,12.080422348425866
54,73998757,pleckstrin homology domain-containing family A member 1 isoform 5,11.566563571098218
55,345800504,myb-binding protein 1A isoform 4,11.538422621582473
56,50979136,sodium/potassium-transporting ATPase subunit alpha-1 precursor,11.255093983475721
57,359320726,"solute carrier family 12 member 2, partial",10.942025922286128
58,345781192,ephrin type-A receptor 1,10.629635075727519
59,345778644,tubulin beta chain,10.612518521481128
60,50950177,annexin A2,10.524136037130315
61,73995130,polyubiquitin-C isoform 2,10.431757473230144
62,50978890,integrin beta-3 precursor,10.249908090557977
63,359321812,serine/threonine-protein kinase MARK2 isoform 2,10.248399495315011
64,345799029,gamma-synuclein,10.233770520901926
65,345786729,guanine nucleotide-binding protein-like 3,10.215513560886974
66,345802848,membrane cofactor protein,10.135617174812536
67,345784434,thioredoxin-like 1,9.8680701754847888
68,345797117,Golgi reassembly-stacking protein 2,9.7099671201408579
69,50950163,band 4.1-like protein 5,9.6878988187393578
70,50979026,tyrosine-protein kinase Yes,9.6810353591121086
71,73982819,coronin-1B isoform 1,9.6139558748069298
72,74003992,tubulin beta-2A chain,9.4396219927445078
73,73958089,28 kDa heat- and acid-stable phosphoprotein,9.3494234428010508
74,345801304,BAI1-associated protein 2-like 1 isoform 1,9.2533239027943566
75,345776847,cdc42 effector protein 1,9.2174334372889692
76,73965920,junction plakoglobin isoform 10,9.0889901573711018
77,50979327,equilibrative nucleoside transporter 1,8.9971514465144562
78,50978674,superoxide dismutase [Cu-Zn],8.9864134189232594
79,50978772,claudin-2,8.8496843777916361
80,73946134,A-kinase anchor protein 12,8.7449206510665523
81,345803763,leucine-rich repeat transmembrane protein FLRT2,8.5635619239383427
82,73948978,vimentin isoform 12,8.5261878553115533
83,73954046,serine/threonine-protein kinase 10,8.4963574357443292
84,73964747,rho GDP-dissociation inhibitor 1 isoform 2,8.4305013857114499
85,345798663,secretory carrier-associated membrane protein 1 isoform 2,8.4166635412357564
86,50979218,protein 4.1,8.3935134872347028
87,73950854,ephrin type-A receptor 2 isoform 1,8.3221152505170544
88,359322436,ras-related protein Rab-6A,8.1984061682624407
89,345790319,probable palmitoyltransferase ZDHHC20 isoform 1,8.137895011344316
90,73991940,proto-oncogene tyrosine-protein kinase Src isoform 5,7.7037724657370532
91,345804148,WD repeat-containing protein 20 isoform 6,7.6710139532290018
92,345800726,large neutral amino acids transporter small subunit 1 isoform 2,7.6159483815714664
93,359320868,sorting nexin-3 isoform 2,7.5422859142609697
94,345799449,clathrin interactor 1 isoform 3,7.4388326520644261
95,307938303,"actin, cytoplasmic 1",7.3740765300981073
96,304376299,sodium/myo-inositol cotransporter,7.1894183139891652
97,345776969,protein FAM83F,7.1398082832155119
98,359318970,protocadherin-1-like isoform 2,7.1136902847308701
99,50950235,receptor-binding cancer antigen expressed on SiSo cells,6.971284143479564
100,345792156,tubulin alpha-1A chain isoform 10,6.8546839295024453
101,274326247,testin,6.8360535062854568
102,73997796,tubby-related protein 3,6.8346998670780934
103,73980368,vesicle-associated membrane protein 8 isoform 2,6.8026526161534768
104,354548804,ADP-ribosylation factor 1,6.7466269212249408
105,73982676,src substrate cortactin isoform 1,6.540891268074958
106,73981384,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform 2,6.5267918341606412
107,57095034,protein FAM83B,6.1692704074740075
