ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
CDH1	ITGAE+ITGB7	other	32	15	17	0.15150150656700134	0.1472238955902867	0.4786194779444486	0.3313955823541619	1.0	0.90625	3.259629011154175e-09	3.5529956221580505e-07
CD55	ADGRE5	other	37	18	19	0.1253889799118042	0.1469005963488205	0.7452292157387411	0.5983286193899207	1.0	0.972972972972973	1.1088559404015541e-08	5.414088567097981e-07
F11R	ITGAL+ITGB2	other	28	12	16	0.14672160893678665	0.15594943187066487	0.5244617965072393	0.3685123646365745	1.0	0.9642857142857143	1.4901161193847656e-08	5.414088567097981e-07
ICAM1	SPN	other	32	17	15	0.10451122000813484	0.11463405800168402	0.5176721411990002	0.40303808319731615	1.0	0.875	7.869675755500793e-08	1.6242265701293945e-06
APP	CD74	other	38	18	20	0.06299267709255219	0.11219237176211257	1.2321783433619298	1.1199859715998173	1.0	0.9736842105263158	8.274218998849392e-08	1.6242265701293945e-06
CDH1	KLRG1	other	26	10	16	0.15487588569521904	0.1586859219779189	0.4912145693714802	0.3325286473935613	1.0	0.8846153846153846	8.940696716308594e-08	1.6242265701293945e-06
APP	SORL1	other	27	11	16	0.08231741935014725	0.14042189330966384	0.5687142155236669	0.428292322214003	1.0	0.9629629629629629	1.4901161193847656e-07	2.3203236716134205e-06
ALCAM	CD6	other	35	17	18	0.044105684384703636	0.08871037677994796	0.4500701085797378	0.36135973179978986	1.0	0.9428571428571428	5.779438652098179e-07	7.014346515966786e-06
HLA-E	KLRD1	MHC_I	34	16	18	0.13879568874835968	0.12730969247572563	0.8508970246595495	0.7235873321838239	1.0	1.0	5.791662260890007e-07	7.014346515966786e-06
PTGES	PTGER4	other	25	12	13	0.022674486972391605	0.030864885635674	0.3249308540672064	0.2940659684315324	1.0	0.6	1.1324882507324219e-06	1.2344121932983398e-05
ICAM1	ITGAL	other	25	12	13	0.12117615342140198	0.12520849280059337	0.46619354113936423	0.34098504833877086	1.0	0.88	3.2782554626464844e-06	2.8590572653159212e-05
ICAM1	ITGAL+ITGB2	other	25	12	13	0.12117615342140198	0.12520849280059337	0.46619354113936423	0.34098504833877086	1.0	0.88	3.2782554626464844e-06	2.8590572653159212e-05
ITGAV+ITGB1	ADGRE5	other	38	18	20	0.029807448387145996	0.04077812887140011	0.40481458579827295	0.36403645692687286	1.0	0.868421052631579	3.4098848118446767e-06	2.8590572653159212e-05
IGFBP3	TMEM219	other	27	14	13	0.0969042181968689	0.14094583208120806	0.5551281683146954	0.41418233623348727	1.0	0.7777777777777778	4.5746564865112305e-06	3.561696835926601e-05
PLAUR	ITGA4+ITGB1	other	26	9	17	0.08880433812737465	0.11099189537792252	0.46004823609613454	0.349056340718212	1.0	0.8846153846153846	5.036592483520508e-06	3.6599238713582355e-05
NECTIN2	TIGIT	other	18	0	18	0.16273023933172226	0.15990036529385382	0.5393584149165286	0.37945804962267476	1.0	0.8888888888888888	7.62939453125e-06	5.1975250244140625e-05
LPAR2	ADGRE5	other	37	17	20	0.01084916666150093	0.014340537940026135	0.33710811531322227	0.32276757737319617	0.972972972972973	0.5675675675675675	1.1849304428324103e-05	7.597495192278395e-05
ICAM4	ITGAL+ITGB2	other	17	10	7	0.025882503017783165	0.042841836454018074	0.24545152310062857	0.2026096866466105	1.0	0.5294117647058824	1.52587890625e-05	9.164057279887952e-05
PODXL2	SELL	other	26	12	14	0.01766225602477789	0.03565318388147996	0.3573057431584367	0.3216525592769568	1.0	0.7307692307692307	1.5974044799804688e-05	9.164057279887952e-05
LIPA	RORA	other	34	16	18	0.012146804481744766	0.015007479883292141	0.3279171712586985	0.31290969137540636	1.0	0.8823529411764706	1.722655724734068e-05	9.38847369980067e-05
JAG1	CD46	other	22	7	15	0.020746103953570127	0.03635135157541795	0.2627496565268798	0.22639830495146188	1.0	0.6363636363636364	3.337860107421875e-05	0.0001732508341471354
