cohort	patient_id	n_samples	samples	n_malig	n_cldn4_high	n_cldn4_low	n_T_NK	mean_cldn4_malig	eligible_paired
GSE131907	P3013	1	NS_13	1352	434	918	1780	1.2590223550796509	True
GSE131907	P3004	1	NS_04	1229	267	962	131	1.3547914028167725	True
GSE131907	P1006	1	EBUS_06	1186	409	777	611	1.2913167476654053	True
GSE131907	P3019	1	NS_19	755	133	622	370	1.018040657043457	True
GSE131907	P1011	1	BRONCHO_11	203	70	133	809	1.392881155014038	True
GSE131907	P1058	1	BRONCHO_58	460	50	410	1546	0.9481318593025208	True
GSE131907	P1012	1	EBUS_12	257	62	195	328	1.3514907360076904	True
GSE131907	P3017	1	NS_17	1112	826	286	410	2.1043753623962402	True
GSE131907	P3002	1	NS_02	181	18	163	977	0.8218572735786438	True
GSE131907	P1028	1	EBUS_28	4640	3552	1088	232	2.2467188835144043	True
GSE131907	P3016	1	NS_16	79	0	79	385	0.07498374581336975	False
GSE131907	P1010	1	EBUS_10	367	91	276	1530	1.2945740222930908	True
GSE131907	P1049	1	EBUS_49	114	16	98	1126	0.7394811511039734	True
GSE131907	P3007	1	NS_07	5108	2716	2392	166	1.7547770738601685	True
GSE131907	P1019	1	EBUS_19	217	111	106	1427	1.74746572971344	True
GSE131907	P1051	1	EBUS_51	1285	234	1051	1143	1.1968406438827515	True
GSE131907	P1013	1	EBUS_13	376	0	376	1150	0.0006799165275879204	False
GSE131907	P1015	1	EBUS_15	256	54	202	479	0.8119832873344421	True
GSE131907	P3012	1	NS_12	2811	1435	1376	22	1.687066912651062	True
GSE131907	P3006	1	NS_06	83	31	52	383	1.161139965057373	True
GSE131907	P3003	1	NS_03	2713	1883	830	145	1.9987878799438477	True
GSE205335	P1006	2	EBUS-06-3P,EFFUSION-06-3P	1282	735	547	2998	1.338077425956726	True
GSE205335	P1017	2	EBUS-17-5P,LM-17-5P	2186	1141	1045	2370	1.446833848953247	True
GSE205335	P1018	1	EBUS-18-5P	1180	704	476	2546	1.4567127227783203	True
GSE205335	P1027	1	EBUS-27-5P	1318	999	319	2619	2.1198792457580566	True
GSE205335	P1037	1	EBUS-37-3P	3671	885	2786	611	0.9543756246566772	True
GSE205335	P1062	1	EBUS-62-5P	188	75	113	1934	0.9858523607254028	True
GSE205335	P1063	2	BRONCHO-63-5P,EBUS-63-5P	131	41	90	3144	0.7369170188903809	True
GSE205335	P1076	2	EBUS-76-3P,NECK-05-3P	849	310	539	2089	0.9238031506538391	True
GSE205335	P1079	1	EBUS-79-5P	543	202	341	501	0.9667482972145081	True
GSE205335	P1084	1	EBUS-84-5P	196	157	39	2350	2.256213903427124	True
GSE205335	P1089	1	EBUS-89-3P	1063	899	164	272	2.1514415740966797	True
GSE205335	P1119	1	EBUS-119-3P	1222	261	961	621	0.5610693097114563	True
GSE205335	P1016	2	EBUS-16-5P,LM-16-5P	5336	2965	2371	763	1.4550707340240479	True
GSE205335	P1115	1	LM-115-3P	3769	2597	1172	271	1.622982144355774	True
GSE205335	P1015	1	EBUS-15-3P	291	88	203	473	0.7684376239776611	True
GSE205335	P1025	1	EBUS-25-3P	980	717	263	128	1.694045066833496	True
GSE205335	P1056	2	EBUS-56-3P,LM-56-3P	2386	733	1653	1354	0.8104878067970276	True
GSE205335	P1072	1	EBUS-72-5P	406	135	271	586	0.9359386563301086	True
GSE205335	P0031	2	LUNG-N31-3P,LUNG-T31-3P	319	117	202	5182	0.9488405585289001	True
GSE205335	P4001	1	PCNB-01-5P	27	6	21	1801	0.7331695556640625	False
GSE205335	P1030	1	EBUS-30-5P	603	357	246	140	1.6170852184295654	True
GSE205335	P1090	1	EBUS-90-5P	566	132	434	247	0.6880064606666565	True
