ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-E,HLA-E,2.4881473,0.9215,KLRK1,KLRK1,0.508615,0.3045,T,T,1.4983811,0.0
APP,APP,0.96158713,0.714,CD74,CD74,1.935722,0.7925,Malig_CLDN4high,T,1.4486545,0.0
HLA-E,HLA-E,2.4881473,0.9215,KLRC2,KLRC2,0.18702137,0.108,T,T,1.3375843,0.0
HLA-E,HLA-E,2.4881473,0.9215,KLRC2,KLRC2_KLRD1,0.18702137,0.108,T,T,1.3375843,0.0
APP,APP,0.5650974,0.4855,CD74,CD74,1.935722,0.7925,Malig_CLDN4low,T,1.2504097,0.0
MDK,MDK,1.6017305,0.835,SORL1,SORL1,0.34901762,0.253,Malig_CLDN4high,T,0.97537404,0.0
MDK,MDK,1.6017305,0.835,SORL1,SORL1,0.20767091,0.327,Malig_CLDN4high,Malig_CLDN4high,0.9047007,0.0
APP,APP,0.96158713,0.714,CD74,CD74,0.8408947,0.422,Malig_CLDN4high,Malig_CLDN4low,0.90124094,0.0
MDK,MDK,1.6017305,0.835,SORL1,SORL1,0.13380659,0.196,Malig_CLDN4high,Malig_CLDN4low,0.8677685,0.0
APP,APP,0.96158713,0.714,CD74,CD74,0.7654475,0.398,Malig_CLDN4high,Malig_CLDN4high,0.8635173,0.42
LTB,LTB,1.2748632,0.5415,LTBR,LTBR,0.36983064,0.452,T,Malig_CLDN4high,0.8223469,0.0
LCK,LCK,1.1032916,0.6345,CD8B,CD8A_CD8B,0.50948733,0.2535,T,T,0.80638945,0.0
LTB,LTB,1.2748632,0.5415,LTBR,LTBR,0.33267528,0.3815,T,Malig_CLDN4low,0.80376923,0.0
CD58,CD58,0.22348413,0.1755,CD2,CD2,1.3113148,0.677,T,T,0.7673995,0.0
CD58,CD58,0.11121909,0.231,CD2,CD2,1.3113148,0.677,Malig_CLDN4high,T,0.71126693,0.0
APP,APP,0.5650974,0.4855,CD74,CD74,0.8408947,0.422,Malig_CLDN4low,Malig_CLDN4low,0.702996,1.0
CD58,CD58,0.07640586,0.1315,CD2,CD2,1.3113148,0.677,Malig_CLDN4low,T,0.69386035,0.0
LGALS9,LGALS9,0.24444133,0.288,CD44,CD44,1.1334174,0.6365,Malig_CLDN4low,T,0.6889293,0.0
MDK,MDK,1.0209042,0.6195,SORL1,SORL1,0.34901762,0.253,Malig_CLDN4low,T,0.6849609,0.0
APP,APP,0.5650974,0.4855,CD74,CD74,0.7654475,0.398,Malig_CLDN4low,Malig_CLDN4high,0.6652725,1.0
CLEC2D,CLEC2D,0.7160513,0.4635,KLRB1,KLRB1,0.6128555,0.275,T,T,0.6644534,0.0
LGALS9,LGALS9,0.17989676,0.233,CD44,CD44,1.1334174,0.6365,Malig_CLDN4high,T,0.65665704,0.0
LGALS9,LGALS9,0.155765,0.13,CD44,CD44,1.1334174,0.6365,T,T,0.6445912,0.0
FGFR2,FGFR2,0.1474267,0.2135,CD44,CD44,1.1334174,0.6365,Malig_CLDN4high,T,0.64042205,0.0
TGFB1,TGFB1,0.9492771,0.519,EGFR,EGFR,0.32007256,0.3815,T,Malig_CLDN4high,0.63467485,0.0
HBEGF,HBEGF,0.122258596,0.177,CD44,CD44,1.1334174,0.6365,Malig_CLDN4high,T,0.62783796,0.0
HLA-E,HLA-E,0.7381643,0.5975,KLRK1,KLRK1,0.508615,0.3045,Malig_CLDN4high,T,0.62338966,1.0
MDK,MDK,1.0209042,0.6195,SORL1,SORL1,0.20767091,0.327,Malig_CLDN4low,Malig_CLDN4high,0.61428756,0.0
FGFR2,FGFR2,0.08708632,0.1025,CD44,CD44,1.1334174,0.6365,Malig_CLDN4low,T,0.61025184,0.0
ITGAL,ITGAL_ITGB2,0.441809,0.3135,ICAM3,ICAM3,0.7547209,0.506,T,T,0.59826493,0.0
HLA-E,HLA-E,0.6834608,0.535,KLRK1,KLRK1,0.508615,0.3045,Malig_CLDN4low,T,0.59603786,1.0
MDK,MDK,1.0209042,0.6195,SORL1,SORL1,0.13380659,0.196,Malig_CLDN4low,Malig_CLDN4low,0.5773554,0.06
ITGAL,ITGAL_ITGB2,0.441809,0.3135,F11R,F11R,0.68512577,0.655,T,Malig_CLDN4high,0.5634674,0.0
TGFB1,TGFB1,0.9492771,0.519,TGFBR3,TGFBR3,0.17044732,0.128,T,T,0.5598622,0.0
TGFB1,TGFB1,0.9492771,0.519,EGFR,EGFR,0.16170871,0.184,T,Malig_CLDN4low,0.5554929,0.0
SELL,SELL,0.5245763,0.286,SELPLG,SELPLG,0.56392926,0.3885,T,T,0.54425275,0.0
TGFB1,TGFB1,0.9492771,0.519,ITGB6,ITGAV_ITGB6,0.11639849,0.1695,T,Malig_CLDN4high,0.5328378,0.0
TGFB1,TGFB1,0.9492771,0.519,TGFBR2,TGFBR1_TGFBR2,0.08945106,0.1655,T,Malig_CLDN4high,0.51936406,0.0
TGFB1,TGFB1,0.9492771,0.519,TGFBR3,TGFBR3,0.070526846,0.127,T,Malig_CLDN4high,0.509902,0.0
TGFB1,TGFB1,0.9492771,0.519,ACVR1,ACVR1_TGFBR2,0.0690104,0.147,T,Malig_CLDN4high,0.50914377,0.0
CEACAM6,CEACAM6,0.6938561,0.393,CEACAM5,CEACAM5,0.30825618,0.2,Malig_CLDN4high,Malig_CLDN4high,0.50105613,0.0
SIRPG,SIRPG,0.25686365,0.199,CD47,CD47,0.7254359,0.651,T,Malig_CLDN4high,0.49114978,0.0
LGALS9,LGALS9,0.24444133,0.288,CD47,CD47,0.7254359,0.651,Malig_CLDN4low,Malig_CLDN4high,0.48493862,0.0
HLA-E,HLA-E,0.7381643,0.5975,KLRC2,KLRC2,0.18702137,0.108,Malig_CLDN4high,T,0.46259284,1.0
HLA-E,HLA-E,0.7381643,0.5975,KLRC2,KLRC2_KLRD1,0.18702137,0.108,Malig_CLDN4high,T,0.46259284,1.0
CLEC2B,CLEC2B,0.7252188,0.453,KLRF1,KLRF1,0.19321302,0.1075,T,T,0.45921588,0.0
KLRF1,KLRF1,0.19321302,0.1075,CLEC2B,CLEC2B,0.7252188,0.453,T,T,0.45921588,0.0
LGALS9,LGALS9,0.17989676,0.233,CD47,CD47,0.7254359,0.651,Malig_CLDN4high,Malig_CLDN4high,0.45266634,0.0
LGALS9,LGALS9,0.155765,0.13,CD47,CD47,0.7254359,0.651,T,Malig_CLDN4high,0.44060045,0.0
IGF2,IGF2,0.5591953,0.3035,IGF2R,IGF2R,0.32058996,0.243,Malig_CLDN4high,T,0.43989262,0.0
HLA-E,HLA-E,0.6834608,0.535,KLRC2,KLRC2,0.18702137,0.108,Malig_CLDN4low,T,0.43524107,1.0
HLA-E,HLA-E,0.6834608,0.535,KLRC2,KLRC2_KLRD1,0.18702137,0.108,Malig_CLDN4low,T,0.43524107,1.0
TIGIT,TIGIT,0.42895097,0.2485,NECTIN2,NECTIN2,0.43279606,0.4835,T,Malig_CLDN4high,0.4308735,0.0
SEMA4D,SEMA4D,0.4289536,0.323,PLXNB2,PLXNB2,0.4323501,0.4975,T,Malig_CLDN4high,0.43065184,0.0
ITGAL,ITGAL_ITGB2,0.441809,0.3135,F11R,F11R,0.40735745,0.413,T,Malig_CLDN4low,0.42458323,0.0
SIRPG,SIRPG,0.25686365,0.199,CD47,CD47,0.5846576,0.4215,T,T,0.42076063,0.0
SPN,SPN,0.5244476,0.3655,ICAM1,ICAM1,0.3130533,0.2635,T,Malig_CLDN4high,0.41875046,0.0
JAG1,JAG1,0.21384265,0.306,CD46,CD46,0.62139124,0.623,Malig_CLDN4high,Malig_CLDN4high,0.41761693,0.0
TNFSF12,TNFSF12,0.24925865,0.209,TNFRSF12A,TNFRSF12A,0.5855754,0.53,T,Malig_CLDN4high,0.41741702,0.0
LGALS9,LGALS9,0.24444133,0.288,CD47,CD47,0.5846576,0.4215,Malig_CLDN4low,T,0.41454947,0.0
NECTIN1,NECTIN1,0.19269595,0.288,CD96,CD96,0.63594973,0.425,Malig_CLDN4high,T,0.41432285,0.0
JAG1,JAG1,0.18034817,0.236,CD46,CD46,0.62139124,0.623,Malig_CLDN4low,Malig_CLDN4high,0.4008697,0.0
PVR,PVR,0.15679725,0.285,CD96,CD96,0.63594973,0.425,Malig_CLDN4high,T,0.39637348,0.0
IGF2,IGF2,0.5591953,0.3035,IGF1R,IGF1R,0.23335701,0.3535,Malig_CLDN4high,Malig_CLDN4high,0.39627615,0.0
NECTIN1,NECTIN1,0.15323699,0.222,CD96,CD96,0.63594973,0.425,Malig_CLDN4low,T,0.39459336,0.0
IGF2,IGF2,0.5591953,0.3035,IGF2R,IGF2R,0.22743984,0.365,Malig_CLDN4high,Malig_CLDN4high,0.39331755,0.0
CEACAM6,CEACAM6,0.6938561,0.393,CEACAM1,CEACAM1,0.091063686,0.1415,Malig_CLDN4high,Malig_CLDN4high,0.3924599,0.0
LGALS9,LGALS9,0.17989676,0.233,CD47,CD47,0.5846576,0.4215,Malig_CLDN4high,T,0.3822772,0.94
FN1,FN1,0.15790841,0.1415,ITGA4,ITGA4_ITGB1,0.5993868,0.393,Malig_CLDN4high,T,0.37864763,0.0
