ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
HLA-F	KIR3DL2	MHC_I	3	1	2	0.02633005380630493	0.04141357478996118	0.24138276651501656	0.19996919172505537	1.0	0.6666666666666666	0.25	0.296195652173913
HLA-C	CD8A	MHC_I	35	17	18	0.11203157901763916	0.12854263058730533	1.3433919563889503	1.214849325801645	1.0	1.0	9.993941057473421e-05	0.00041897675971715496
HLA-B	CD8A	MHC_I	35	17	18	0.11836230754852295	0.12731865665742328	1.4227130615285464	1.2953944048711232	1.0	1.0	0.0002624634653329849	0.0008940161787904799
HLA-A	CD8A	MHC_I	35	17	18	0.12197637557983398	0.13647411550794328	1.469103166248117	1.332629050740174	1.0	1.0	8.433760376647115e-05	0.0003830332837727231
HLA-A	CD8B	MHC_I	31	14	17	0.13217175006866455	0.14200166156215052	1.3978568791381774	1.255855217576027	1.0	1.0	0.00045317597687244415	0.0014528288670322474
HLA-E	KLRC1	MHC_I	13	8	5	0.1372033953666687	0.1359861372755124	0.7006742484294451	0.5646881111539327	1.0	1.0	0.000244140625	0.000858429939516129
HLA-C	CD8B	MHC_I	31	14	17	0.1372314691543579	0.13372825951345504	1.2917374189822906	1.1580091594688353	1.0	1.0	0.0004954077303409576	0.0014999845168656772
HLA-E	KLRC1+KLRD1	MHC_I	12	7	5	0.13840951025485992	0.14558887419601282	0.7188192196190357	0.5732303454230229	1.0	1.0	0.00048828125	0.0014999845168656772
HLA-E	KLRD1	MHC_I	34	16	18	0.13879568874835968	0.12730969247572563	0.8508970246595495	0.7235873321838239	1.0	1.0	5.791662260890007e-07	7.014346515966786e-06
HLA-B	CD8B	MHC_I	31	14	17	0.15071022510528564	0.13324219060520973	1.3937668348512342	1.2605246442460245	1.0	1.0	0.0010653818026185036	0.002977605550908125
HLA-E	KLRC3+KLRD1	MHC_I	6	0	6	0.15928645431995392	0.14231746395428976	0.645609907185038	0.5032924432307482	1.0	1.0	0.0625	0.08847402597402598
HLA-E	KLRC2	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.786661334335804	0.6144194160898526	1.0	1.0	0.0001220703125	0.00047520228794642856
HLA-E	KLRC2+KLRD1	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.7857882971564929	0.6135463789105415	1.0	1.0	0.0001220703125	0.00047520228794642856
HLA-E	KLRK1	MHC_I	19	0	19	0.17394709587097168	0.12654430105497963	0.8122839017918235	0.6857396007368439	1.0	1.0	0.014068603515625	0.02643927212419181
HLA-B	KIR3DL2	MHC_I	3	1	2	0.1844584047794342	0.20025554299354553	1.0533307865262032	0.8530752435326576	1.0	1.0	0.25	0.296195652173913
CCL5	CCR5	T_recruit	5	2	3	-0.08409994095563889	-0.06536977849900723	0.16115042567253113	0.22652020417153834	0.6	1.0	0.125	0.16615853658536583
CCL5	CCR1	T_recruit	4	2	2	-0.049774862825870514	-0.04829053161665797	0.13503114506602287	0.18332167668268085	0.5	1.0	0.25	0.296195652173913
CCL4	CCR5	T_recruit	4	3	1	-0.029959287494421005	-0.054134820587933064	0.2654852168634534	0.31962003745138645	0.75	1.0	0.125	0.16615853658536583
CXCL10	CXCR3	T_recruit	6	4	2	-0.012480097822844982	-0.033786340461423	0.2562451426250239	0.29003148308644694	0.8333333333333334	0.5	0.5625	0.6070544554455446
CCL3	CCR5	T_recruit	4	3	1	-0.005149289965629578	-0.01524866558611393	0.26544053480029106	0.280689200386405	0.75	1.0	0.625	0.6614077669902912
CXCL16	CXCR6	T_recruit	21	10	11	0.03125545382499695	0.041443453392102605	0.32038539630316554	0.27894194291106295	1.0	0.8571428571428571	0.0011758804321289062	0.0032042741775512693
CX3CL1	CX3CR1	T_recruit	7	4	3	0.0363877285271883	0.0426019500674946	0.24580611102283	0.20320416095533542	1.0	0.42857142857142855	0.015625	0.027920081967213115
