ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
IFNG	IFNGR1	IFN	3	1	2	-0.06256782077252865	-0.05125950090587139	0.1097653079777956	0.161024808883667	0.3333333333333333	1.0	0.25	0.296195652173913
HLA-F	KIR3DL2	MHC_I	3	1	2	0.02633005380630493	0.04141357478996118	0.24138276651501656	0.19996919172505537	1.0	0.6666666666666666	0.25	0.296195652173913
HLA-C	CD8A	MHC_I	35	17	18	0.11203157901763916	0.12854263058730533	1.3433919563889503	1.214849325801645	1.0	1.0	9.993941057473421e-05	0.00041897675971715496
HLA-B	CD8A	MHC_I	35	17	18	0.11836230754852295	0.12731865665742328	1.4227130615285464	1.2953944048711232	1.0	1.0	0.0002624634653329849	0.0008940161787904799
HLA-A	CD8A	MHC_I	35	17	18	0.12197637557983398	0.13647411550794328	1.469103166248117	1.332629050740174	1.0	1.0	8.433760376647115e-05	0.0003830332837727231
HLA-A	CD8B	MHC_I	31	14	17	0.13217175006866455	0.14200166156215052	1.3978568791381774	1.255855217576027	1.0	1.0	0.00045317597687244415	0.0014528288670322474
HLA-E	KLRC1	MHC_I	13	8	5	0.1372033953666687	0.1359861372755124	0.7006742484294451	0.5646881111539327	1.0	1.0	0.000244140625	0.000858429939516129
HLA-C	CD8B	MHC_I	31	14	17	0.1372314691543579	0.13372825951345504	1.2917374189822906	1.1580091594688353	1.0	1.0	0.0004954077303409576	0.0014999845168656772
HLA-E	KLRC1+KLRD1	MHC_I	12	7	5	0.13840951025485992	0.14558887419601282	0.7188192196190357	0.5732303454230229	1.0	1.0	0.00048828125	0.0014999845168656772
HLA-E	KLRD1	MHC_I	34	16	18	0.13879568874835968	0.12730969247572563	0.8508970246595495	0.7235873321838239	1.0	1.0	5.791662260890007e-07	7.014346515966786e-06
HLA-B	CD8B	MHC_I	31	14	17	0.15071022510528564	0.13324219060520973	1.3937668348512342	1.2605246442460245	1.0	1.0	0.0010653818026185036	0.002977605550908125
HLA-E	KLRC3+KLRD1	MHC_I	6	0	6	0.15928645431995392	0.14231746395428976	0.645609907185038	0.5032924432307482	1.0	1.0	0.0625	0.08847402597402598
HLA-E	KLRC2	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.786661334335804	0.6144194160898526	1.0	1.0	0.0001220703125	0.00047520228794642856
HLA-E	KLRC2+KLRD1	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.7857882971564929	0.6135463789105415	1.0	1.0	0.0001220703125	0.00047520228794642856
HLA-E	KLRK1	MHC_I	19	0	19	0.17394709587097168	0.12654430105497963	0.8122839017918235	0.6857396007368439	1.0	1.0	0.014068603515625	0.02643927212419181
HLA-B	KIR3DL2	MHC_I	3	1	2	0.1844584047794342	0.20025554299354553	1.0533307865262032	0.8530752435326576	1.0	1.0	0.25	0.296195652173913
LCK	CD8A+CD8B	MHC_I_partial	9	5	4	0.0003137495368719101	-0.1115389745682478	0.24636540013468927	0.35790437470293707	0.5555555555555556	0.7777777777777778	0.65234375	0.6837064302884615
MICA	HCST+KLRK1	MHC_I_partial	13	0	13	0.023229654878377914	0.02823767990160447	0.3388328065092747	0.31059512660767025	1.0	0.6923076923076923	0.000244140625	0.000858429939516129
HLA-F	VSIR	MHC_I_partial	17	0	17	0.02633005380630493	0.05776194888441002	0.45433391915524707	0.39657197027083707	1.0	0.8823529411764706	0.0201568603515625	0.03380150428185096
CEACAM5	CD8A	MHC_I_partial	23	10	13	0.06073635071516037	0.12453174578916767	0.650042949811272	0.5255112040221043	1.0	0.7391304347826086	8.845329284667969e-05	0.0003856563568115234
HLA-E	VSIR	MHC_I_partial	20	0	20	0.171937495470047	0.12379494570195675	0.7553036451339722	0.6315086994320154	1.0	1.0	0.009435653686523438	0.01836582592555455
CCL5	CCR5	T_recruit	5	2	3	-0.08409994095563889	-0.06536977849900723	0.16115042567253113	0.22652020417153834	0.6	1.0	0.125	0.16615853658536583
CCL5	CCR1	T_recruit	4	2	2	-0.049774862825870514	-0.04829053161665797	0.13503114506602287	0.18332167668268085	0.5	1.0	0.25	0.296195652173913
