gene,lineage,compartment,n_cells,mean_lognorm,median_lognorm,pct_expressing
CLDN4,Alveolar,other,1346,1.3130831718444824,1.4698551893234253,67.4591381872214
CLDN4,Malignant,malignant,5728,1.1902570724487305,1.363197922706604,62.04608938547486
CLDN4,Plasma,immune,811,0.1804923266172409,0.0,13.686806411837239
CLDN4,Endothelial,other,1226,0.10036780685186386,0.0,6.688417618270799
CLDN4,Fibroblasts,other,1224,0.09582430124282837,0.0,7.352941176470589
CLDN4,B,immune,1749,0.07958769798278809,0.0,3.8879359634076613
CLDN4,Mono/Macro,immune,8581,0.07573672384023666,0.0,6.362894767509614
CLDN4,CD8Tex,immune,7691,0.06867020577192307,0.0,3.406579118450136
CLDN4,Treg,immune,3663,0.06638509780168533,0.0,3.276003276003276
CLDN4,CD8T,immune,2492,0.05787796899676323,0.0,2.7287319422150884
CLDN4,CD4Tconv,immune,5219,0.05651450902223587,0.0,2.7399885035447404
CLDN4,Mast,immune,488,0.05225745961070061,0.0,3.483606557377049
EPCAM,Malignant,malignant,5728,1.8537291288375854,2.196183204650879,79.76606145251397
EPCAM,Alveolar,other,1346,1.221429705619812,1.3990767002105713,68.64784546805349
EPCAM,Plasma,immune,811,0.1852380633354187,0.0,14.426633785450061
EPCAM,B,immune,1749,0.1180461123585701,0.0,5.660377358490567
EPCAM,CD8Tex,immune,7691,0.10019589960575104,0.0,4.771811207905344
EPCAM,Fibroblasts,other,1224,0.09851162135601044,0.0,7.434640522875817
EPCAM,Treg,immune,3663,0.09654022008180618,0.0,4.504504504504505
EPCAM,Endothelial,other,1226,0.09482892602682114,0.0,6.36215334420881
EPCAM,CD8T,immune,2492,0.07787413895130157,0.0,3.651685393258427
EPCAM,Mono/Macro,immune,8581,0.07513975352048874,0.0,5.78021209649225
EPCAM,CD4Tconv,immune,5219,0.0719841793179512,0.0,3.3531327840582485
EPCAM,Mast,immune,488,0.0627816841006279,0.0,3.6885245901639343
PTPRC,Treg,immune,3663,2.0330514907836914,2.4607760906219482,76.03057603057604
PTPRC,CD4Tconv,immune,5219,2.018362283706665,2.439140558242798,77.44778693236252
PTPRC,CD8Tex,immune,7691,1.965864658355713,2.4183249473571777,75.1267715511637
PTPRC,CD8T,immune,2492,1.9316521883010864,2.4170656204223633,73.11396468699839
PTPRC,B,immune,1749,1.0646562576293945,0.0,45.62607204116638
PTPRC,Mono/Macro,immune,8581,1.0485061407089233,1.227055311203003,62.26547022491551
PTPRC,Mast,immune,488,0.47481483221054077,0.0,25.40983606557377
PTPRC,Plasma,immune,811,0.28502094745635986,0.0,19.97533908754624
PTPRC,Endothelial,other,1226,0.18366391956806183,0.0,9.38009787928222
PTPRC,Alveolar,other,1346,0.12208078801631927,0.0,8.841010401188708
PTPRC,Fibroblasts,other,1224,0.11628567427396774,0.0,6.209150326797386
PTPRC,Malignant,malignant,5728,0.058148741722106934,0.0,4.748603351955307
TACSTD2,Malignant,malignant,5728,1.4148037433624268,1.600761890411377,59.30516759776536
TACSTD2,Alveolar,other,1346,1.394841194152832,1.5330872535705566,68.7221396731055
TACSTD2,Plasma,immune,811,0.2559654116630554,0.0,18.865598027127003
TACSTD2,Endothelial,other,1226,0.20008616149425507,0.0,12.64274061990212
TACSTD2,Mono/Macro,immune,8581,0.13188202679157257,0.0,9.754107912830673
TACSTD2,Fibroblasts,other,1224,0.12770643830299377,0.0,8.986928104575163
TACSTD2,CD8T,immune,2492,0.12301947921514511,0.0,5.497592295345104
TACSTD2,Mast,immune,488,0.12031325697898865,0.0,6.352459016393443
TACSTD2,CD4Tconv,immune,5219,0.09578210115432739,0.0,4.5602605863192185
TACSTD2,B,immune,1749,0.09468542784452438,0.0,4.631217838765009
TACSTD2,CD8Tex,immune,7691,0.07095427066087723,0.0,3.367572487322845
TACSTD2,Treg,immune,3663,0.047241270542144775,0.0,2.375102375102375
