geneset,gene,in_matrix,used_in_score
core_TJ,CLDN1,True,True
core_TJ,CLDN2,True,True
core_TJ,CLDN3,True,True
core_TJ,CLDN4,True,True
core_TJ,CLDN5,True,True
core_TJ,CLDN6,True,True
core_TJ,CLDN7,True,True
core_TJ,CLDN8,True,True
core_TJ,CLDN9,True,True
core_TJ,CLDN10,True,True
core_TJ,CLDN11,True,True
core_TJ,CLDN12,True,True
core_TJ,CLDN14,True,True
core_TJ,CLDN15,True,True
core_TJ,CLDN16,True,True
core_TJ,CLDN17,True,True
core_TJ,CLDN18,True,True
core_TJ,CLDN19,True,True
core_TJ,CLDN20,True,True
core_TJ,CLDN23,True,True
core_TJ,OCLN,True,True
core_TJ,MARVELD2,True,True
core_TJ,MARVELD3,True,True
core_TJ,TJP1,True,True
core_TJ,TJP2,True,True
core_TJ,TJP3,True,True
core_TJ,SYMPK,True,True
core_TJ,CGN,True,True
core_TJ,CGNL1,True,True
core_TJ,F11R,True,True
core_TJ,JAM2,True,True
core_TJ,JAM3,True,True
core_TJ,PARD3,True,True
core_TJ,PARD6A,True,True
core_TJ,PARD6B,True,True
core_TJ,PRKCZ,True,True
core_TJ,PRKCI,True,True
core_TJ,INADL,False,False
core_TJ,PATJ,False,False
core_TJ,MPP5,True,True
core_TJ,CRB3,True,True
core_TJ,AMOT,True,True
core_TJ_no_CLDN4,CLDN1,True,True
core_TJ_no_CLDN4,CLDN2,True,True
core_TJ_no_CLDN4,CLDN3,True,True
core_TJ_no_CLDN4,CLDN5,True,True
core_TJ_no_CLDN4,CLDN6,True,True
core_TJ_no_CLDN4,CLDN7,True,True
core_TJ_no_CLDN4,CLDN8,True,True
core_TJ_no_CLDN4,CLDN9,True,True
core_TJ_no_CLDN4,CLDN10,True,True
core_TJ_no_CLDN4,CLDN11,True,True
core_TJ_no_CLDN4,CLDN12,True,True
core_TJ_no_CLDN4,CLDN14,True,True
core_TJ_no_CLDN4,CLDN15,True,True
core_TJ_no_CLDN4,CLDN16,True,True
core_TJ_no_CLDN4,CLDN17,True,True
core_TJ_no_CLDN4,CLDN18,True,True
core_TJ_no_CLDN4,CLDN19,True,True
core_TJ_no_CLDN4,CLDN20,True,True
core_TJ_no_CLDN4,CLDN23,True,True
core_TJ_no_CLDN4,OCLN,True,True
core_TJ_no_CLDN4,MARVELD2,True,True
core_TJ_no_CLDN4,MARVELD3,True,True
core_TJ_no_CLDN4,TJP1,True,True
core_TJ_no_CLDN4,TJP2,True,True
core_TJ_no_CLDN4,TJP3,True,True
core_TJ_no_CLDN4,SYMPK,True,True
core_TJ_no_CLDN4,CGN,True,True
core_TJ_no_CLDN4,CGNL1,True,True
core_TJ_no_CLDN4,F11R,True,True
core_TJ_no_CLDN4,JAM2,True,True
core_TJ_no_CLDN4,JAM3,True,True
core_TJ_no_CLDN4,PARD3,True,True
core_TJ_no_CLDN4,PARD6A,True,True
core_TJ_no_CLDN4,PARD6B,True,True
core_TJ_no_CLDN4,PRKCZ,True,True
core_TJ_no_CLDN4,PRKCI,True,True
core_TJ_no_CLDN4,INADL,False,False
core_TJ_no_CLDN4,PATJ,False,False
core_TJ_no_CLDN4,MPP5,True,True
core_TJ_no_CLDN4,CRB3,True,True
core_TJ_no_CLDN4,AMOT,True,True
core_TJ_meanexpr,CLDN1,True,True
core_TJ_meanexpr,CLDN2,True,True
core_TJ_meanexpr,CLDN3,True,True
core_TJ_meanexpr,CLDN4,True,True
core_TJ_meanexpr,CLDN5,True,True
core_TJ_meanexpr,CLDN6,True,True
core_TJ_meanexpr,CLDN7,True,True
core_TJ_meanexpr,CLDN8,True,True
core_TJ_meanexpr,CLDN9,True,True
core_TJ_meanexpr,CLDN10,True,True
core_TJ_meanexpr,CLDN11,True,True
core_TJ_meanexpr,CLDN12,True,True
core_TJ_meanexpr,CLDN14,True,True
core_TJ_meanexpr,CLDN15,True,True
core_TJ_meanexpr,CLDN16,True,True
core_TJ_meanexpr,CLDN17,True,True
core_TJ_meanexpr,CLDN18,True,True
core_TJ_meanexpr,CLDN19,True,True
core_TJ_meanexpr,CLDN20,True,True
core_TJ_meanexpr,CLDN23,True,True
core_TJ_meanexpr,OCLN,True,True
core_TJ_meanexpr,MARVELD2,True,True
core_TJ_meanexpr,MARVELD3,True,True
core_TJ_meanexpr,TJP1,True,True
core_TJ_meanexpr,TJP2,True,True
core_TJ_meanexpr,TJP3,True,True
core_TJ_meanexpr,SYMPK,True,True
core_TJ_meanexpr,CGN,True,True
core_TJ_meanexpr,CGNL1,True,True
core_TJ_meanexpr,F11R,True,True
core_TJ_meanexpr,JAM2,True,True
core_TJ_meanexpr,JAM3,True,True
core_TJ_meanexpr,PARD3,True,True
core_TJ_meanexpr,PARD6A,True,True
core_TJ_meanexpr,PARD6B,True,True
core_TJ_meanexpr,PRKCZ,True,True
core_TJ_meanexpr,PRKCI,True,True
