stratum	covariates	method	outcome	cut	predictor_cut	k	effect	fe	se	p	I2	ci_low	ci_high	tau2	neg	npos	cohorts	eligible	q
all	KRT5_KRT6A	spearman	CD3D	0.25	expression	2	-0.13295466737393513	-0.1427805885429375	0.03727016585176574	0.00036064876418472714	0.4846785762578484	-0.20600285014123057	-0.05990648460663969	0.005180200703472609	7	1	8	True	0.005072196328804991
all	KRT5_KRT6A	spearman	CD3E	0.25	expression	2	-0.11126495977648836	-0.12500863733641043	0.04523328496600158	0.013901338603145066	0.6485719932941929	-0.19992056921228854	-0.022609350340688172	0.010207804915890743	7	1	8	True	0.047968293200561216
all	KRT5_KRT6A	spearman	CD3G	0.25	expression	2	-0.12206539792769441	-0.13417737437532556	0.04329486866816274	0.004811405594768767	0.6138445491846017	-0.206921781232685	-0.03720901462270383	0.008834603248217002	6	2	8	True	0.0238568208189919
all	KRT5_KRT6A	spearman	CD8A	0.25	expression	2	-0.13960932354421765	-0.15253873418403144	0.048454022397097944	0.003960709385082743	0.7014764713283588	-0.23457746234862675	-0.04464118473980855	0.012715694518190936	7	1	8	True	0.021131381870340735
all	KRT5_KRT6A	spearman	CD8B	0.25	expression	2	-0.13049241497356365	-0.13373253575164254	0.035695090064829564	0.00025642866098724314	0.44059308250670626	-0.2004535059255431	-0.060531324021584204	0.004331242431528451	7	1	8	True	0.0042542015113346205
all	KRT5_KRT6A	spearman	CD3_mean	0.25	expression	2	-0.12583010398957917	-0.13810718587564286	0.04271167207818966	0.003218754128020344	0.6062546471772299	-0.20954344298231595	-0.04211676499684239	0.008495765920907856	7	1	8	True	0.01861739265695242
all	KRT5_KRT6A	spearman	CD3_z	0.25	expression	2	-0.1258502571205415	-0.13809054856557318	0.0425211145511156	0.003079266588775792	0.602189528327776	-0.20919011022323009	-0.042510404017852874	0.00836077305048153	7	1	8	True	0.018106664151033593
all	KRT5_KRT6A	spearman	CD3_rank	0.25	expression	2	-0.12395763678980998	-0.1365901612586753	0.04318228317590129	0.004097363632685724	0.6145262286500092	-0.2085933565847864	-0.03932191699483355	0.008802598560675457	7	1	8	True	0.021557518161842273
all	KRT5_KRT6A	spearman	CD3_pc1	0.25	expression	2	-0.12575594635913492	-0.13797227753706504	0.04250057675015934	0.0030871593879470667	0.6017994980517245	-0.2090555461116276	-0.04245634660664224	0.00834727343954314	7	1	8	True	0.01813120089244678
all	KRT5_KRT6A	spearman	CD8_mean	0.25	expression	2	-0.14587981865236158	-0.15454496821881514	0.04517321594434763	0.0012407489023266917	0.6537357832574657	-0.23441769496913345	-0.05734194233558969	0.01026558261367103	7	1	8	True	0.01017718261639257
all	KRT5_KRT6A	spearman	CD8_z	0.25	expression	2	-0.14526950329626823	-0.15257054192207406	0.04407142841645059	0.00097992239592797	0.6358329044304424	-0.2316479157397465	-0.05889109085278996	0.00950130295914144	7	1	8	True	0.008831968684638824
all	KRT5_KRT6A	spearman	CD8_rank	0.25	expression	2	-0.14018128528043688	-0.14720390438157785	0.04170550582421652	0.0007759963018281414	0.5915294478343365	-0.22192257465292672	-0.058439995907947045	0.007910561773393698	7	1	8	True	0.007796676277769709
all	KRT5_KRT6A	spearman	CD8_pc1	0.25	expression	2	-0.14526950329626823	-0.15257054192207406	0.04407142841645059	0.00097992239592797	0.6358329044304424	-0.2316479157397465	-0.05889109085278996	0.00950130295914144	7	1	8	True	0.008831968684638824
all	KRT5_KRT6A	spearman	CD3CD8_mean	0.25	expression	2	-0.13723230720649388	-0.14658876737813298	0.041558088362712825	0.0009593632784638645	0.586131035924876	-0.21868466366374417	-0.05577995074924359	0.0077737899794132065	7	1	8	True	0.008745397486803783
all	KRT5_KRT6A	spearman	CD3CD8_z	0.25	expression	2	-0.1375026797816735	-0.1467015865520059	0.041824539685189406	0.0010104252313898562	0.5910889067198799	-0.21947727123461094	-0.05552808832873604	0.007939221885821503	7	1	8	True	0.008989860957782777
all	KRT5_KRT6A	spearman	CD3CD8_rank	0.25	expression	2	-0.1302960299631445	-0.14074084249746274	0.042516308988767265	0.0021795187766036595	0.604170531401442	-0.2136264643367049	-0.04696559558958409	0.008387396363149977	7	1	8	True	0.014375628137754844
all	KRT5_KRT6A	spearman	CD3CD8_pc1	0.25	expression	2	-0.135811097001124	-0.1454590502074166	0.0420758786234618	0.0012476091764343355	0.5959609243225379	-0.2182783037209879	-0.05334389028126013	0.00810159498711656	7	1	8	True	0.010213960716801869
all	KRT5_KRT6A	spearman	CD3D	0.25	residual	2	-0.15525285299572458	-0.16700636055957505	0.037186399132384584	2.9799884507982618e-05	0.4872015409163299	-0.2281368560099299	-0.08236884998151929	0.0051800577154468425	7	1	8	True	0.0016898644693913703
all	KRT5_KRT6A	spearman	CD3E	0.25	residual	2	-0.1303718260398951	-0.14673689680828514	0.044478662420445896	0.0033775380144332253	0.6408758534419863	-0.2175484024644842	-0.043195249615306006	0.00974700686886516	7	1	8	True	0.019179036688389585
all	KRT5_KRT6A	spearman	CD3G	0.25	residual	2	-0.13532038553861495	-0.15220276733865357	0.04454353330481764	0.0023820485556476684	0.6405445289325044	-0.22262410656021792	-0.04801666451701196	0.009767068317840421	7	1	8	True	0.015255184168149291
all	KRT5_KRT6A	spearman	CD8A	0.25	residual	2	-0.16294653582693325	-0.1778891513039376	0.04720829955289337	0.000557169581182265	0.6895981855416978	-0.2554731027219826	-0.0704199689318839	0.011867981459984502	7	1	8	True	0.006460837465049208
all	KRT5_KRT6A	spearman	CD8B	0.25	residual	2	-0.13867024607112455	-0.145636122069832	0.03624482048132364	0.00013027784898323122	0.46016074032963833	-0.2097087888406386	-0.06763170330161052	0.004660312983720878	7	1	8	True	0.003101258766844226
