stratum	covariates	method	outcome	k	effect	fe	se	p	I2	ci_low	ci_high	tau2	neg	npos	cohorts	eligible	q
all	KRT5_KRT6A	spearman	CD3D	2	-0.10728516388993393	-0.11208651602393079	0.02540564937429773	2.243168589664406e-05	0.5703619429261171	-0.15620442597912232	-0.0578408603484364	0.002828567102399305	7	1	8	True	0.0007449465596810114
all	KRT5_KRT6A	spearman	CD3E	2	-0.09066960629125452	-0.09791118477409907	0.03026884196827593	0.002666955129601208	0.6981095353243629	-0.1491247343166992	-0.03158295581460001	0.004927116875958723	7	1	8	True	0.012781446170910885
all	KRT5_KRT6A	spearman	CD3G	2	-0.09795533570559335	-0.10415909946510987	0.030418047989988088	0.0012350358068005042	0.7011066616746319	-0.15658968932117187	-0.03863293808553054	0.0049978883287016595	7	1	8	True	0.0073807088658965295
all	KRT5_KRT6A	spearman	CD8A	2	-0.11367242834406022	-0.11946284610517888	0.03245041806466501	0.0004345452327899235	0.7379192114728629	-0.17591832369905394	-0.050521162816461004	0.0059991859106445404	7	1	8	True	0.003575206054944852
all	KRT5_KRT6A	spearman	CD8B	2	-0.10211660231673134	-0.10467071102069367	0.02379672535588053	1.6607245199737724e-05	0.5108235259389868	-0.14801906298300305	-0.0557751212079649	0.002224969275844518	7	1	8	True	0.0006462063632164612
all	KRT5_KRT6A	spearman	CD3_mean	2	-0.10149643754452009	-0.10740244251682483	0.028718535223270652	0.0003905475277993486	0.6641833229044715	-0.1568293484906954	-0.045528339066715044	0.00421409572760342	7	1	8	True	0.003367922166761513
all	KRT5_KRT6A	spearman	CD3_z	2	-0.10127427882524685	-0.10724856304003005	0.029034535867833753	0.00046515063094317455	0.671535694970847	-0.15721449615238647	-0.044686240115135	0.0043561177608562665	7	1	8	True	0.0037394359802362703
all	KRT5_KRT6A	spearman	CD3_rank	2	-0.10111013613907786	-0.10716461026356285	0.029089648060051893	0.00048714065420081516	0.6727938965674346	-0.1571581018526248	-0.04441292484866065	0.0043810613730282345	7	1	8	True	0.003839384630933056
all	KRT5_KRT6A	spearman	CD3_pc1	2	-0.10124508630016137	-0.10720778445779519	0.02905362514155784	0.00047096869378671975	0.6719722980261876	-0.1572222197420153	-0.04461946428271271	0.004364751655774017	7	1	8	True	0.0037627354349226445
all	KRT5_KRT6A	spearman	CD8_mean	2	-0.11645955903145097	-0.12091949201016843	0.030626625155460937	0.00013351025882729514	0.705223698289999	-0.17519140104468317	-0.056901778278870684	0.005097450559325484	7	1	8	True	0.0017710338121711652
all	KRT5_KRT6A	spearman	CD8_z	2	-0.11485087819541522	-0.11923716904149642	0.029897571905794982	0.00011408318681097513	0.6904576935663479	-0.17222431048133596	-0.0567008558801279	0.004752649085825104	7	1	8	True	0.0015980772808481397
