outcome	cohort	expected_rho	got_rho	abs_diff	n
CD8_mean	BLCA	-0.218597	-0.21859723159056782	2.3159056780630571e-07	406
CD8_mean	BRCA	-0.147181	-0.14718105622697258	5.622697257789966e-08	1095
CD8_mean	CESC	0.080593	0.08059341527794409	4.1527794408802166e-07	304
CD8_mean	KIRC	-0.074849	-0.07484889517709589	1.0482290410673833e-07	533
CD8_mean	LUAD	-0.142577	-0.14257678080240951	2.191975904952681e-07	516
CD8_mean	LUSC	-0.141121	-0.14112087181271693	1.281872830660724e-07	501
CD8_mean	PAAD	-0.260992	-0.26099202850274283	2.8502742832614558e-08	178
CD8_mean	STAD	-0.039386	-0.03938568585879585	3.141412041468561e-07	412
CD3_mean	BLCA	-0.159745	-0.15974537300916122	3.730091612252906e-07	406
CD3_mean	BRCA	-0.149325	-0.1493252387860844	2.387860843777734e-07	1095
CD3_mean	CESC	0.07972	0.07971966637864739	3.336213526133891e-07	304
CD3_mean	KIRC	-0.043927	-0.04392704991956238	4.9919562379596716e-08	533
CD3_mean	LUAD	-0.104046	-0.10404600886763105	8.867631046127755e-09	516
CD3_mean	LUSC	-0.094443	-0.09444335623922598	3.5623922597927127e-07	501
CD3_mean	PAAD	-0.250227	-0.250226700414703	2.9958529695894853e-07	178
CD3_mean	STAD	-0.10667	-0.10667000400214088	4.002140882586325e-09	412
