gene,patient,n_malignant,n_immune,mean_malignant,mean_immune
TACSTD2,p1,1078,8136,1.0163564682006836,0.012963569723069668
TACSTD2,p2,75,1953,0.010483468882739544,0.006037019193172455
TACSTD2,p3,799,6019,1.5163187980651855,0.008009841665625572
TACSTD2,p4,232,2942,1.679552435874939,0.007261010352522135
TACSTD2,p5,790,1240,1.3427822589874268,0.09020296484231949
TACSTD2,p6,391,2755,1.187212347984314,0.02613239362835884
TACSTD2,p7,630,3010,0.9550907015800476,0.016966650262475014
CLDN4,p1,1078,8136,0.45251521468162537,0.01011610683053732
CLDN4,p2,75,1953,0.6396524906158447,0.003704628674313426
CLDN4,p3,799,6019,1.1044294834136963,0.005591264460235834
CLDN4,p4,232,2942,1.3457804918289185,0.006085345987230539
CLDN4,p5,790,1240,1.3010151386260986,0.014152859337627888
CLDN4,p6,391,2755,0.7779611349105835,0.008269412443041801
CLDN4,p7,630,3010,0.8235909342765808,0.004133999347686768
EPCAM,p1,1078,8136,0.6621630191802979,0.003253950271755457
EPCAM,p2,75,1953,0.5527552366256714,0.004312325734645128
EPCAM,p3,799,6019,1.1566047668457031,0.005134514532983303
EPCAM,p4,232,2942,1.7332074642181396,0.00331040658056736
EPCAM,p5,790,1240,0.8456746339797974,0.008190706372261047
EPCAM,p6,391,2755,0.7746546864509583,0.003685161704197526
EPCAM,p7,630,3010,0.8339216709136963,0.00411556102335453
PTPRC,p1,1078,8136,0.11018306016921997,1.589461088180542
PTPRC,p2,75,1953,0.004736090544611216,1.549238681793213
PTPRC,p3,799,6019,0.1646611988544464,1.3205983638763428
PTPRC,p4,232,2942,0.04495744779706001,1.3832266330718994
PTPRC,p5,790,1240,0.038448940962553024,0.8325825333595276
PTPRC,p6,391,2755,0.05141828581690788,1.1302591562271118
PTPRC,p7,630,3010,0.03709489479660988,1.0213114023208618
