gene,lineage,compartment,n_cells,mean_lognorm,median_lognorm,pct_expressing
CLDN4,Malignant,malignant,3995,0.8964436650276184,0.48751139640808105,50.26282853566959
CLDN4,NK,immune,1481,0.01903209649026394,0.0,1.1478730587440917
CLDN4,Fibroblasts,other,712,0.011253656819462776,0.0,0.5617977528089888
CLDN4,DC,immune,1128,0.009137001819908619,0.0,0.6205673758865249
CLDN4,Mono/Macro,immune,7032,0.00850595161318779,0.0,0.7536973833902162
CLDN4,B,immune,3320,0.0076715596951544285,0.0,0.42168674698795183
CLDN4,CD4Tconv,immune,6757,0.00670707318931818,0.0,0.3699866804795027
CLDN4,Plasma,immune,1140,0.00511516910046339,0.0,0.3508771929824561
CLDN4,Neutrophils,immune,3345,0.004167386330664158,0.0,0.20926756352765324
CLDN4,Mast,immune,616,0.0027380839455872774,0.0,0.16233766233766234
CLDN4,CD8Tex,immune,1236,0.002684256760403514,0.0,0.16181229773462785
CLDN4,Endothelial,other,417,0.0,0.0,0.0
EPCAM,Malignant,malignant,3995,0.8955802917480469,0.7273160815238953,51.96495619524405
EPCAM,DC,immune,1128,0.009843951091170311,0.0,0.8865248226950355
EPCAM,Endothelial,other,417,0.009478405117988586,0.0,0.4796163069544364
EPCAM,Fibroblasts,other,712,0.009094620123505592,0.0,0.7022471910112359
EPCAM,Mast,immune,616,0.006784513592720032,0.0,0.487012987012987
EPCAM,Mono/Macro,immune,7032,0.0052468073554337025,0.0,0.469283276450512
EPCAM,Plasma,immune,1140,0.004986980929970741,0.0,0.2631578947368421
EPCAM,B,immune,3320,0.004917865619063377,0.0,0.24096385542168677
EPCAM,CD4Tconv,immune,6757,0.0038723591715097427,0.0,0.20719254106852156
EPCAM,CD8Tex,immune,1236,0.002740011550486088,0.0,0.16181229773462785
EPCAM,Neutrophils,immune,3345,0.0013433365384116769,0.0,0.05979073243647235
EPCAM,NK,immune,1481,0.0,0.0,0.0
PTPRC,NK,immune,1481,2.158029794692993,2.384369373321533,84.33490884537474
PTPRC,CD8Tex,immune,1236,1.8779494762420654,2.212299346923828,73.86731391585761
PTPRC,CD4Tconv,immune,6757,1.6420844793319702,2.0688393115997314,65.96122539588575
PTPRC,Neutrophils,immune,3345,1.6365841627120972,2.12520694732666,59.73094170403588
PTPRC,DC,immune,1128,1.1227201223373413,1.2738721370697021,62.056737588652474
PTPRC,B,immune,3320,1.0929471254348755,0.0,48.28313253012048
PTPRC,Mono/Macro,immune,7032,1.0809955596923828,1.1801282167434692,61.575654152445956
PTPRC,Mast,immune,616,0.5330734252929688,0.0,31.655844155844154
PTPRC,Plasma,immune,1140,0.24911794066429138,0.0,16.228070175438596
PTPRC,Fibroblasts,other,712,0.0991220772266388,0.0,5.8988764044943816
PTPRC,Malignant,malignant,3995,0.08384881168603897,0.0,5.331664580725907
PTPRC,Endothelial,other,417,0.07754206657409668,0.0,4.556354916067146
TACSTD2,Malignant,malignant,3995,1.207589030265808,1.2404018640518188,58.748435544430535
TACSTD2,DC,immune,1128,0.2296120971441269,0.0,10.99290780141844
TACSTD2,Endothelial,other,417,0.050075795501470566,0.0,3.357314148681055
TACSTD2,Plasma,immune,1140,0.012024533934891224,0.0,0.7894736842105263
TACSTD2,Mono/Macro,immune,7032,0.011961674317717552,0.0,0.9101251422070534
TACSTD2,Fibroblasts,other,712,0.011101576499640942,0.0,0.8426966292134831
TACSTD2,B,immune,3320,0.0067307185381650925,0.0,0.3614457831325301
TACSTD2,Neutrophils,immune,3345,0.0036581421736627817,0.0,0.17937219730941703
TACSTD2,Mast,immune,616,0.0036477604880928993,0.0,0.3246753246753247
TACSTD2,CD4Tconv,immune,6757,0.0033159595914185047,0.0,0.17759360663016133
TACSTD2,NK,immune,1481,0.002677731914445758,0.0,0.1350438892640108
TACSTD2,CD8Tex,immune,1236,0.0013956346083432436,0.0,0.08090614886731393
