case_id	cohort	CLDN4_protein	ImmuneScore	CD274_RNA	CD274_protein	quartile	tacstd2_gate
11LU013	LUAD	24.2288100347116	7328.733	8.8224	22.1905549523789	Q4	none
11LU016	LUAD	23.1247733514201	8959.895	11.0916	23.6227767261129	Q3	none
11LU022	LUAD	22.6898994877278	7824.536	9.6819	22.1425474415594	Q1	none
11LU035	LUAD	23.7962370228291	9197.404	10.3717	22.3013959184687	Q4	none
C3L-00001	LUAD	22.2505932145858	7303.39	8.7313	21.6110161204245	Q1	none
C3L-00009	LUAD		8803.27	8.3724	22.036008171369		none
C3L-00080	LUAD	22.8925375144422	7241.276	7.6211	21.9290057079637	Q2	none
C3L-00083	LUAD		9412.821	7.1975	21.9208115756465		none
C3L-00093	LUAD	22.6538741788685	9279.385	9.4095	21.0399017334299	Q1	none
C3L-00094	LUAD		7797.116	8.1923	22.3718334789389		none
C3L-00095	LUAD	22.7377013762395	9895.047	9.0619	21.4691146071279	Q1	none
C3L-00140	LUAD	23.6406399698345	7657.542	8.4525	22.0398704995838	Q4	none
C3L-00144	LUAD		8814.897	9.0217	22.1682807694851		none
C3L-00263	LUAD	23.553764737516	10419.327	9.452	21.8567014049715	Q4	none
C3L-00279	LUAD	23.2860645112057	9568.736	9.2969	22.2392233804118	Q3	none
C3L-00368	LUAD	23.0710721901358	8590.971	8.5624	21.6571384273681	Q2	none
C3L-00412	LUAD	23.3303204083114	9397.489	9.0021	21.5795801062089	Q4	none
C3L-00422	LUAD		8202.736	8.3547	21.7842866153717		none
C3L-00510	LUAD	23.1292447486031	6027.041	7.922	21.9983458014509	Q3	none
C3L-00604	LUAD		7529.111	8.2026	21.6980563649497		none
C3L-00893	LUAD	24.6759156789237	7770.22	8.0721	22.0498480972363	Q4	none
C3L-00913	LUAD	22.2374648973275	9537.491	9.8218	22.1133142049458	Q1	none
C3L-00973	LUAD	23.9705222145823	9864.86	8.6822	22.1553492327097	Q4	none
C3L-01330	LUAD	23.9091447507019	7885.714	8.4817	24.188758573108	Q4	none
C3L-01632	LUAD	23.2057692073973	6697.275	7.4247	20.9343231955155	Q3	none
C3L-01682	LUAD	22.5812742648168	9994.354	10.2217	22.2607652832459	Q1	none
C3L-01683	LUAD	22.9576002640105	11247.81	10.8017	23.50704582564	Q2	none
C3L-01862	LUAD	22.8498798230815	8435.346	8.4323	21.8135173358701	Q2	none
C3L-01889	LUAD		6086.455	7.013	21.5887484905379		none
C3L-01890	LUAD	23.2027895420681	6649.477	6.7243	21.607775142067	Q3	none
C3L-01924	LUAD	23.2693463646084	8816.864	9.7518	22.6411925169336	Q3	none
C3L-02219	LUAD	23.1144638152865	9474.976	8.8821	22.8723584067634	Q3	none
C3L-02345	LUAD	23.0881877526733	8658.056	8.6117	21.5824311000751	Q3	none
C3L-02348	LUAD	21.4349671016967	9193.413	8.4924	21.8938849295202	Q1	none
C3L-02350	LUAD	22.9163465657716	9532.847	8.0329	21.5176355525669	Q2	none
