Seq	Sample description
58929	P1_10 ml_PE
58930	P1_40 ml_PE
58754	P1_400 ml_PE
60245	P1_cells
61986	P10_cells
61985	P10_400 ml_PE
61987	P11_collection 1_400 ml_PE
62937	P11_collection 2_cells
62936	P11_collection 2_400 ml_PE
64433	P11_collection 3_cells
64432	P11_collection 3_400 ml_PE
62938	P11_cell line
61989	P12_cells
61988	P12_400 ml_PE
61991	P13_collection 1_cells
61990	P13_collection 1_400 ml_PE
61993	P13_collection 2_cells
61992	P13_collection 2_400 ml_PE
62940	P13_collection 3_cells
62939	P13_collection 3_400 ml_PE
64435	P13_cell line
64434	P13_medium
62941	P13_plasma
61995	P14_cells
61994	P14_400 ml_PE
58931	P2_10 ml_PE
58932	P2_40 ml_PE
58756	P2_400 ml_PE
61996	P2_cells
59492	P3_10 ml_PE
59712	P3_100 ml_PE
59493	P3_40 ml_PE
59713	P3_400 ml_PE
61997	P3_cell line
60246	P3_cells
60247	P4_cells
59785	P4_400 ml_PE
60248	P5_cells
59786	P5_400 ml_PE
60249	P6_cells
59787	P6_400 ml_PE
61980	P7_400 ml_PE
61982	P8_cells
61981	P8_400 ml_PE
61984	P9_cells
61983	P9_400 ml_PE
60239	P1_80% ACN_PE
60240	P2_80% ACN_PE
60241	P3_80% ACN_PE
60242	P4_80% ACN_PE
60243	P5_80% ACN_PE
60244	P6_80% ACN_PE
72717	P7_80% ACN_PE
72718	P8_80% ACN_PE
72719	P9_80% ACN_PE
72720	P10_80% ACN_PE
72721	P11_80% ACN_PE
72722	P12_80% ACN_PE
72723	P13_80% ACN_PE
72724	P14_80% ACN_PE
