sample	TACSTD2	CD8A	CD3E	CD2	GZMA	GZMB	PRF1	NKG7	IFNG	CXCL9	CXCL10	CD274	PDCD1	CTLA4	LAG3	TIGIT	HAVCR2	IDO1	FOXP3	MS4A1	CD68	CYT_GZMA_PRF1	purity	LeukocyteFraction_methylation	CIBERSORT_CD8_T	CIBERSORT_Tregs	CIBERSORT_NK_activated	CIBERSORT_Macrophage_M1	CIBERSORT_Macrophage_M2	Wolf_LymphocyteInfiltration	Wolf_MacrophageCSF1	Wolf_IFNgamma	Wolf_TGFbeta	Wolf_WoundHealing_CSR
TCGA-69-7978-01	13.4099	9.773	10.1306	9.8129	8.8849	8.8726	9.4367	9.0533	5.627	12.3381	10.8679	9.4672	8.4148	7.3904	9.0741	8.706	10.2277	11.222	8.2243	8.2886	13.4948	9.1608	0.2	0.491265890141564	0.147150957301692	0.0604243792748342	0.0208613982355593	0.0806515457414103	0.315565228615603					
TCGA-62-8399-01	11.815	7.8585	7.384	6.7452	6.2094	7.6944	7.7985	6.6506	1.3294	8.5171	7.3742	6.4279	4.9128	4.78	5.5238	5.4632	6.9751	8.9075	5.0089	5.5705	11.2857	7.00395	0.5	0.212846965348724	0.124452309976282	0.0	0.0328228266155965	0.0	0.218402351592401	0.3551	0.1411	0.06	0.2362	-0.0525
TCGA-78-7539-01	12.1829	9.4463	9.9501	9.748	8.6186	7.672	8.3881	8.5957	4.6185	11.3019	10.4459	6.1155	7.1447	6.5052	7.7412	7.6824	8.9199	9.4005	6.838	6.6976	12.2727	8.503350000000001	0.52	0.268870999188288	0.167503487306496	0.0486777752826268	0.0447345814375585	0.0815529584627655	0.225200798622025	1.4659	0.8955	0.4653	-0.2825	-0.2
TCGA-73-4658-01	12.4766	8.4664	9.2411	8.9587	7.4349	7.5143	7.6361	7.401	3.6447	10.4797	9.3134	9.0617	6.5131	7.3045	6.9624	7.5368	10.2805	8.0597	7.6258	4.8389	13.0389	7.5355	0.29	0.388598726446778	0.0671719373161182	0.0099554562423996	0.0149516023619374	0.0420819249866261	0.290273477891622	1.2308	1.3083	0.2607	0.6292	-0.019
TCGA-44-6775-01	13.3396	7.1936	8.1711	8.3602	6.1935	6.721	6.6575	5.2988	1.3302	9.1366	8.7703	6.2897	5.2988	6.821	6.7416	7.5135	9.943	9.9169	8.3959	5.755	13.2278	6.4254999999999995	0.27	0.40523675880191196	0.023045038481066298	0.014906179591528033	0.0018547359672241668	0.009181365688977166	0.33754057198464865	0.9586	1.1413	0.1952	0.7537	-0.005
TCGA-44-2655-01	12.9585	7.0921	8.6636	8.7363	6.7851	5.5733	6.6428	6.0387	1.3526	8.3256	6.7783	4.9318	5.1046	5.6719	5.1474	6.331	8.2479	7.0363	5.9375	9.3414	11.7617	6.7139500000000005	0.33	0.394396540716171	0.0379850348585344	0.008866076586108	0.0358690862212816	0.0098383894213434	0.241183403935413	1.3521	0.5359	0.1311	-0.0925	0.0655
TCGA-44-3398-01	12.3358	8.1523	8.74	9.4306	8.4828	8.1653	7.9016	8.3203	2.4013	8.7813	8.896	7.752	4.973	7.1045	6.0743	6.2388	10.3414	11.3017	6.4646	8.2771	12.9899	8.1922	0.19	0.345958657637225	0.0596584457824486	0.0	0.0247422158868275	0.0047407737641418	0.304653959559978					
TCGA-62-8397-01	12.9923	5.6621	7.2557	7.141	5.0495	3.9633	10.6461	4.5171	0.0	4.4221	3.9633	5.1117	4.3203	4.7696	4.0924	5.3369	8.019	4.3203	5.4316	4.4221	11.9635	7.8478	0.69	0.125877302760996	0.0709242750694637	0.0383958535217251	0.0513739906288851	0.0	0.265760257684963	0.1257	0.4886	-0.171	-0.1011	-0.339
TCGA-53-A4EZ-01	11.0072	7.3565	7.6012	7.1877	6.674	6.4714	6.118	6.4193	1.5691	9.0904	7.6215	4.5977	5.7993	5.4813	5.9899	6.1504	7.6157	7.4729	4.8454	8.2954	10.7537	6.396000000000001	0.47	0.316971962412052	0.203262758497233	0.0458904640209277	0.0	0.0152329011793816	0.221325750001024	0.5279	-0.0961	0.0927	-0.563	0.1185
TCGA-50-7109-01	12.2356	8.8716	9.1556	9.3216	8.6219	8.7023	8.3578	7.6345	5.1111	11.032	9.4315	4.6672	6.3921	5.9966	7.4199	6.9713	8.2778	11.5218	5.8207	7.6781	11.4584	8.48985	0.44	0.28620711309214	0.12331210402466	0.0137693883514652	0.0119754800337796	0.0749310164566356	0.204729456465258	1.3986	0.4287	0.0089	0.052	0.0385
TCGA-38-6178-01	12.5327	6.3038	7.9827	7.273	5.4562	6.1219	7.5013	5.3772	0.0	8.648	7.0618	4.3576	6.5277	5.5066	5.8758	6.1851	8.3008	9.798	5.3124	7.0104	11.6741	6.47875	0.32	0.309406366207896	0.0374146371073578	0.0032188087077273	0.0	0.0299899283874421	0.331523312588776	0.4771	0.2338	0.2485	0.5333	-0.0735
TCGA-86-8056-01	12.5018	7.1603	7.9175	8.1622	6.0321	6.0772	7.0055	6.0244	2.0419	8.8852	8.0998	6.0167	5.0081	6.009	5.0235	6.3587	8.9594	7.5418	6.1168	7.9623	11.8702	6.5188	0.37	0.269073099634165	0.0486038966475721	0.0	0.0225959218430845	0.0309273433698791	0.318393914030402	0.8277	0.7387	-0.0485	-0.107	-0.2755
TCGA-55-1592-01	13.7366	6.9209	7.4997	7.5671	6.1735	5.0416	6.9496	6.1517	1.2346	9.4255	8.5726	5.9134	4.014	4.6949	6.0493	5.3784	9.3317	7.4559	5.876	5.4694	12.9018	6.56155	0.49	0.231461388091279	0.0416866979464101	0.0028463399116786	0.004284586393315	0.0414764608191794	0.28613779553906	0.5601	0.7511	0.1325	0.0852	0.0005
TCGA-86-A4JF-01	12.6501	8.1811	8.2029	7.8203	8.069	8.6329	8.6944	7.95	3.3648	10.3586	10.1291	8.0353	5.9674	6.1313	8.0328	6.2282	9.4309	9.5828	6.3115	6.3508	12.3554	8.3817	0.25	0.354275609263653	0.0989163280533814	0.0	0.076707208357314	0.103978208248331	0.275960802060068	0.8778	0.6061	0.4055	-0.0222	0.173
TCGA-69-7974-01	12.1696	8.1152	8.5274	8.2633	8.2866	8.1736	9.1872	8.0447	4.197	11.8735	11.0005	8.6475	6.5161	6.2301	8.1514	7.3586	10.0728	8.4628	6.7067	7.8654	13.0351	8.7369	0.29	0.319967280282831	0.0881893798018026	0.0128750799785418	0.0436386364955192	0.0442406324737163	0.497619075808239					
TCGA-86-A456-01	12.5731	8.0095	8.7113	8.5522	7.37	6.5062	7.6073	6.7317	2.5189	9.9649	9.0084	6.7156	5.8376	6.9406	7.6462	6.8912	9.5297	8.3343	6.3042	6.4192	12.7173	7.48865	0.36	0.350795675790203	0.0586274527694339	0.0018713337903971	0.0236949093170047	0.0477313806106302	0.363171007005121	0.7419	0.9091	0.5864	0.024	-0.117
TCGA-97-8547-01	12.7219	5.2965	7.4248	7.6886	4.4886	3.454	8.8011	4.4886	1.7216	8.4556	7.5	5.751	4.6292	6.361	4.9484	6.514	8.7685	10.0006	7.6463	1.3403	12.3197	6.64485	0.48	0.246419931261334	0.0157618105162747	0.0522951140582254	0.0113932803308963	0.0052007002213561	0.304638790551095	-0.1155	0.6237	0.0687	0.7887	-0.0835
