dataset	unit_id	patient_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	mal_CLDN4_pct	mal_CLDN4_mean_log1p	malig_def	batch	n_model_cells	n_scanvi_malignant	latent_CLDN4_scanvi	n_seed_malignant	latent_CLDN4_seed	latent_CLDN4	latent_call
GSE123902	LX255B	LX255B	donor	METASTASIS	3886	228	1583	0.4073597529593412	35.08771929824561	0.4488016514639581	marker_malig	GSE123902|LX255B	378	163	3.591804027557373	198	3.04707145690918	3.591804027557373	scanvi
GSE123902	LX653	LX653	donor	PRIMARY	392	145	49	0.125	71.72413793103448	1.2524068271342224	marker_malig	GSE123902|LX653	224	139	3.704234123229981	139	3.50811505317688	3.704234123229981	scanvi
GSE123902	LX661	LX661	donor	PRIMARY	4566	117	3726	0.8160315374507228	58.97435897435898	0.8576085684228482	marker_malig	GSE123902|LX661	292	85	3.561028957366944	112	2.913776159286499	3.561028957366944	scanvi
GSE123902	LX666	LX666	donor	METASTASIS	1316	786	177	0.1344984802431611	67.17557251908397	0.9923952117887151	marker_malig	GSE123902|LX666	400	219	2.428826808929444	220	2.380547523498535	2.428826808929444	scanvi
GSE123902	LX675	LX675	donor	PRIMARY	3435	618	1336	0.3889374090247453	31.3915857605178	0.582960587751478	marker_malig	GSE123902|LX675	400	79	3.254997968673706	220	1.5074360370635986	3.254997968673706	scanvi
GSE123902	LX676	LX676	donor	PRIMARY	4014	147	2606	0.6492277030393623	42.17687074829932	0.831390019521496	marker_malig	GSE123902|LX676	325	59	3.988154888153076	145	2.3305234909057617	3.988154888153076	scanvi
GSE123902	LX679	LX679	donor	PRIMARY	2017	497	625	0.3098661378284581	43.25955734406438	0.5643712240448416	marker_malig	GSE123902|LX679	400	186	3.1514885425567627	220	2.699182510375977	3.1514885425567627	scanvi
GSE123902	LX680	LX680	donor	PRIMARY	941	258	344	0.3655685441020191	73.25581395348837	1.85907788462344	marker_malig	GSE123902|LX680	400	212	3.908762216567993	220	3.68832278251648	3.908762216567993	scanvi
GSE123902	LX681	LX681	donor	METASTASIS	1630	1207	86	0.052760736196319	63.29743164871583	1.1775350457817828	marker_malig	GSE123902|LX681	346	216	2.9682116508483887	220	2.911616086959839	2.9682116508483887	scanvi
GSE123902	LX682	LX682	donor	PRIMARY	4092	421	2558	0.6251221896383187	18.76484560570071	0.4613182340255857	marker_malig	GSE123902|LX682	400	54	3.8063340187072754	220	1.4438687562942505	3.8063340187072754	scanvi
GSE123902	LX684	LX684	donor	PRIMARY	378	173	92	0.2433862433862433	72.83236994219652	0.9118972941270772	marker_malig	GSE123902|LX684	291	183	3.139976739883423	166	3.085427045822144	3.139976739883423	scanvi
GSE123902	LX699	LX699	donor	METASTASIS	2671	46	2263	0.8472482216398353	15.217391304347828	0.3141177643147814	marker_malig	GSE123902|LX699	219	24	1.7708417177200315	39	1.2543480396270752	1.7708417177200315	scanvi
GSE123902	LX701	LX701	donor	METASTASIS	788	90	322	0.4086294416243655	11.11111111111111	0.1116109679423314	marker_malig	GSE123902|LX701	263	47	2.8536665439605717	83	1.4972230195999146	2.8536665439605717	scanvi
GSE131907	BRONCHO_11	BRONCHO_11	sample	mLN	3178	203	809	0.2545626179987413	80.78817733990148	1.8059599708830327	author_malig	GSE131907|BRONCHO_11	383	203	3.905700445175171	203	3.905700445175171	3.905700445175171	scanvi
GSE131907	BRONCHO_58	BRONCHO_58	sample	tL/B	2813	460	1546	0.5495911837895485	72.17391304347827	1.426353336223562	author_malig	GSE131907|BRONCHO_58	400	220	3.20941162109375	220	3.20941162109375	3.20941162109375	scanvi
GSE131907	EBUS_06	EBUS_06	sample	tL/B	2303	1186	611	0.2653061224489796	71.16357504215851	1.3552293035869711	author_malig	GSE131907|EBUS_06	400	220	4.295619010925293	220	4.295619010925293	4.295619010925293	scanvi
GSE131907	EBUS_10	EBUS_10	sample	mLN	5144	367	1530	0.2974339035769829	84.46866485013625	1.9049734855942484	author_malig	GSE131907|EBUS_10	400	220	3.597009658813477	220	3.612365245819092	3.597009658813477	scanvi
GSE131907	EBUS_12	EBUS_12	sample	mLN	3115	257	328	0.1052969502407704	88.32684824902724	2.3549040610356684	author_malig	GSE131907|EBUS_12	400	220	3.673341989517212	220	3.673341989517212	3.673341989517212	scanvi
GSE131907	EBUS_13	EBUS_13	sample	mLN	3550	376	1150	0.323943661971831	0.2659574468085106	0.0018434765440424	author_malig	GSE131907|EBUS_13	400	223	0.2337958812713623	220	0.2342434376478195	0.2337958812713623	scanvi
GSE131907	EBUS_15	EBUS_15	sample	mLN	1105	256	479	0.4334841628959276	47.265625	1.1294928392821784	author_malig	GSE131907|EBUS_15	400	222	3.488575935363769	220	3.50188422203064	3.488575935363769	scanvi
GSE131907	EBUS_19	EBUS_19	sample	mLN	2112	217	1427	0.6756628787878788	94.00921658986177	2.4779035334230066	author_malig	GSE131907|EBUS_19	397	217	4.1272292137146	217	4.1272292137146	4.1272292137146	scanvi
GSE131907	EBUS_28	EBUS_28	sample	tL/B	5182	4640	232	0.0447703589347742	96.33620689655172	2.197978326433922	author_malig	GSE131907|EBUS_28	400	221	5.111123561859131	220	5.113966941833496	5.111123561859131	scanvi
GSE131907	EBUS_49	EBUS_49	sample	tL/B	1775	114	1126	0.6343661971830986	49.122807017543856	0.9512107328950752	author_malig	GSE131907|EBUS_49	294	114	3.561063051223755	114	3.561063051223755	3.561063051223755	scanvi
GSE131907	EBUS_51	EBUS_51	sample	mLN	3275	1285	1143	0.3490076335877862	85.36964980544747	1.581328884787959	author_malig	GSE131907|EBUS_51	400	221	2.9725711345672607	220	2.974782705307007	2.9725711345672607	scanvi
GSE131907	NS_02	NS_02	sample	mBrain	2313	181	977	0.4223951578037181	58.5635359116022	1.126727726322637	author_malig	GSE131907|NS_02	361	181	2.9055964946746826	181	2.9055964946746826	2.9055964946746826	scanvi
GSE131907	NS_03	NS_03	sample	mBrain	2990	2713	145	0.0484949832775919	93.14412089937338	2.264933208146411	author_malig	GSE131907|NS_03	400	221	4.654298305511475	220	4.658919811248779	4.654298305511475	scanvi
GSE131907	NS_04	NS_04	sample	mBrain	1904	1229	131	0.0688025210084033	89.34092758340114	1.9523515591538416	author_malig	GSE131907|NS_04	391	221	4.146215438842773	220	4.15214729309082	4.146215438842773	scanvi
GSE131907	NS_06	NS_06	sample	mBrain	1070	83	383	0.3579439252336449	60.24096385542169	1.434511918266367	author_malig	GSE131907|NS_06	263	83	3.905374526977539	83	3.905374526977539	3.905374526977539	scanvi
GSE131907	NS_07	NS_07	sample	mBrain	5730	5108	166	0.0289703315881326	90.407204385278	1.5931307483262624	author_malig	GSE131907|NS_07	400	220	4.247650146484375	220	4.247650146484375	4.247650146484375	scanvi
GSE131907	NS_12	NS_12	sample	mBrain	3182	2811	22	0.0069138906348208	86.33938100320171	1.728830943634575	author_malig	GSE131907|NS_12	282	222	4.491513252258301	220	4.5046586990356445	4.491513252258301	scanvi
GSE131907	NS_13	NS_13	sample	mBrain	4845	1352	1780	0.3673890608875129	72.41124260355029	0.9959480312401604	author_malig	GSE131907|NS_13	400	221	3.2510182857513428	220	3.246735095977783	3.2510182857513428	scanvi
GSE131907	NS_16	NS_16	sample	mBrain	1317	79	385	0.2923310554290053	11.39240506329114	0.1031375586066322	author_malig	GSE131907|NS_16	259	79	1.120922327041626	79	1.120922327041626	1.120922327041626	scanvi
GSE131907	NS_17	NS_17	sample	mBrain	2409	1112	410	0.170195101701951	88.21942446043165	2.300820123330216	author_malig	GSE131907|NS_17	400	220	4.235297203063965	220	4.235297203063965	4.235297203063965	scanvi
GSE131907	NS_19	NS_19	sample	mBrain	3300	755	370	0.1121212121212121	67.1523178807947	1.0082934839931024	author_malig	GSE131907|NS_19	400	221	3.565282106399536	220	3.57818603515625	3.565282106399536	scanvi
GSE205335	P0031	P0031	patient	Lung	6428	319	3824	0.594897324206596	59.2476489028213	1.03210740001313	author_malig	GSE205335|P0031	400	217	3.1472291946411133	220	3.1151976585388184	3.1472291946411133	scanvi
GSE205335	P1006	P1006	patient	Effusion,Lung	6090	1282	2998	0.492282430213465	74.1809672386895	1.45441994167518	author_malig	GSE205335|P1006	400	219	4.209921836853027	220	4.189773082733154	4.209921836853027	scanvi
GSE205335	P1015	P1015	patient	LN	1195	291	473	0.39581589958159	41.5807560137457	1.01379491643033	author_malig	GSE205335|P1015	400	221	3.464338779449463	220	3.4499824047088623	3.464338779449463	scanvi
GSE205335	P1016	P1016	patient	Liver,LN	6924	5336	763	0.110196418255344	82.6461769115442	1.69304935632742	author_malig	GSE205335|P1016	400	229	4.135064125061035	220	4.141336917877197	4.135064125061035	scanvi
GSE205335	P1017	P1017	patient	Liver,LN	6266	2186	2370	0.378231726779445	64.3183897529735	1.55462084717452	author_malig	GSE205335|P1017	400	221	4.139553546905518	220	4.135249614715576	4.139553546905518	scanvi
GSE205335	P1018	P1018	patient	Bronchus	5029	1180	2546	0.506263670709883	67.0338983050847	2.10443933372545	author_malig	GSE205335|P1018	400	220	3.827852487564087	220	3.827852487564087	3.827852487564087	scanvi
GSE205335	P1025	P1025	patient	LN	1222	980	128	0.104746317512275	92.8571428571429	2.31069442860223	author_malig	GSE205335|P1025	388	226	4.377287864685059	220	4.3927106857299805	4.377287864685059	scanvi
GSE205335	P1027	P1027	patient	LN	4600	1318	2619	0.569347826086957	78.0728376327769	2.17399784893951	author_malig	GSE205335|P1027	400	222	4.769729137420654	220	4.773853778839111	4.769729137420654	scanvi
GSE205335	P1030	P1030	patient	LN	861	603	140	0.16260162601626	61.6915422885572	1.48410735953157	author_malig	GSE205335|P1030	400	226	4.647418975830078	220	4.65230655670166	4.647418975830078	scanvi
GSE205335	P1037	P1037	patient	LN	4983	3671	611	0.122616897451335	86.0528466357941	1.19727181814975	author_malig	GSE205335|P1037	400	228	4.4830827713012695	220	4.480233669281006	4.4830827713012695	scanvi
GSE205335	P1056	P1056	patient	Liver,LN	5103	2386	1354	0.265334117185969	49.7066219614417	0.996685692136604	author_malig	GSE205335|P1056	400	223	3.384442090988159	220	3.387401819229126	3.384442090988159	scanvi
GSE205335	P1062	P1062	patient	LN	3057	188	1934	0.63264638534511	45.2127659574468	1.37911187125204	author_malig	GSE205335|P1062	368	185	2.3644161224365234	188	2.333588123321533	2.3644161224365234	scanvi
GSE205335	P1063	P1063	patient	Bronchus,LN	4297	131	3144	0.731673260414243	35.1145038167939	0.692850004756864	author_malig	GSE205335|P1063	311	128	1.977160215377808	131	1.9426575899124143	1.977160215377808	scanvi
GSE205335	P1072	P1072	patient	LN	1273	406	586	0.460329929300864	58.8669950738916	1.47284263818116	author_malig	GSE205335|P1072	400	220	3.7697293758392334	220	3.754155397415161	3.7697293758392334	scanvi
GSE205335	P1076	P1076	patient	LN	6975	849	2089	0.299498207885305	59.3639575971731	1.30621351041308	author_malig	GSE205335|P1076	400	219	3.3492705821990967	220	3.336000919342041	3.3492705821990967	scanvi
GSE205335	P1079	P1079	patient	LN	1277	543	501	0.392325763508222	51.3812154696133	1.17643176882325	author_malig	GSE205335|P1079	400	224	3.47312593460083	220	3.4997308254241943	3.47312593460083	scanvi
GSE205335	P1084	P1084	patient	LN	3534	196	2350	0.664968873797397	86.734693877551	2.98159000218484	author_malig	GSE205335|P1084	376	196	4.75393009185791	196	4.732690334320068	4.75393009185791	scanvi
GSE205335	P1089	P1089	patient	LN	1609	1063	272	0.169049098819142	87.7704609595484	2.27182772593754	author_malig	GSE205335|P1089	400	225	5.079899311065674	220	5.085493564605713	5.079899311065674	scanvi
GSE205335	P1090	P1090	patient	LN	976	566	247	0.253073770491803	38.1625441696113	0.744988766586046	author_malig	GSE205335|P1090	400	224	3.054863691329956	220	3.032209873199463	3.054863691329956	scanvi
GSE205335	P1115	P1115	patient	Liver	4397	3769	271	0.0616329315442347	88.8829928362961	1.36793347316764	author_malig	GSE205335|P1115	400	230	4.389936923980713	220	4.403414249420166	4.389936923980713	scanvi
GSE205335	P1119	P1119	patient	LN	2386	1222	621	0.260268231349539	36.088379705401	0.867936628428789	author_malig	GSE205335|P1119	400	225	2.211906909942627	220	2.228041172027588	2.211906909942627	scanvi
GSE205335	P4001	P4001	patient	Lung	2308	27	1801	0.780329289428076	48.1481481481481	0.806690964854553	author_malig	GSE205335|P4001	207	25	1.9853366613388064	27	1.8225611448287964	1.9853366613388064	scanvi
GSE189357	TD1	TD1	patient	TUMOR	15216	2186	9915	0.6516167192429022	56.1299176578225	0.9674971541301648	marker_malig	GSE189357|TD1	400	181	3.639071702957153	220	3.1002163887023926	3.639071702957153	scanvi
GSE189357	TD2	TD2	patient	TUMOR	18064	1207	11334	0.6274357838795395	35.62551781275891	0.5306434754503818	marker_malig	GSE189357|TD2	400	134	3.1311569213867188	220	2.216322183609009	3.1311569213867188	scanvi
GSE189357	TD3	TD3	patient	TUMOR	12658	664	6525	0.5154842787170169	48.04216867469879	0.6981268538447051	marker_malig	GSE189357|TD3	400	161	2.995338201522827	220	2.316992998123169	2.995338201522827	scanvi
GSE189357	TD4	TD4	patient	TUMOR	11756	491	7096	0.6036066689350119	30.346232179226067	0.5108686257635009	marker_malig	GSE189357|TD4	400	125	2.9737861156463623	220	1.8310980796813965	2.9737861156463623	scanvi
GSE189357	TD5	TD5	patient	TUMOR	19079	1736	11055	0.5794328843230777	36.86635944700461	0.5360227792318812	marker_malig	GSE189357|TD5	400	93	3.209078311920166	220	2.148876428604126	3.209078311920166	scanvi
