leiden	n	label	rule	frac_author_malignant	n_author_labeled	frac_scanvi_malignant	mean_latent_CLDN4
0	7207	malignant	author_malignant_frac>=0.50	0.9882768887234834	5374	0.994866102400444	3.8117661476135254
1	2138	malignant	author_malignant_frac>=0.50	0.9295984134853743	2017	0.9466791393826005	3.468430280685425
2	149	malignant	author_malignant_frac>=0.50	0.9328859060402684	149	0.9395973154362416	2.216315984725952
3	28	malignant	author_malignant_frac>=0.50	1.0	24	1.0	4.774888515472412
4	742	malignant	author_malignant_frac>=0.50	0.7065217391304348	644	0.7479784366576819	4.155473232269287
5	14	malignant	scanvi_malignant_frac>=0.50	1.0	1	1.0	2.684560537338257
6	642	malignant	author_malignant_frac>=0.50	1.0	256	0.9984423676012462	2.9316413402557373
7	191	malignant	scanvi_malignant_frac>=0.50	1.0	6	0.9895287958115183	3.274285316467285
8	3341	T/NK	majority_scanvi	0.013024602026049204	2073	0.009577970667464832	1.2016385793685913
9	3034	T/NK	majority_scanvi	0.010531135531135532	2184	0.006921555702043507	1.1306484937667847
10	341	malignant	author_malignant_frac>=0.50	0.6601941747572816	309	0.624633431085044	0.4299951493740082
11	233	malignant	author_malignant_frac>=0.50	0.6517857142857143	112	0.6351931330472103	3.336343288421631
12	1754	T/NK	majority_scanvi	0.008221225710014948	1338	0.0068415051311288486	1.101134181022644
13	1752	other	majority_scanvi	0.009291521486643438	861	0.007990867579908675	0.5413484573364258
14	679	other	majority_scanvi	0.0	367	0.005891016200294551	0.5591307282447815
15	276	other	majority_scanvi	0.046511627906976744	86	0.025362318840579712	0.6916013956069946
16	34	other	majority_scanvi	0.0	31	0.0	1.0564594268798828
17	908	malignant	author_malignant_frac>=0.50	0.6572327044025157	318	0.4647577092511013	2.2589871883392334
18	22	other	majority_scanvi	0.0	11	0.0	0.13468235731124878
19	396	other	majority_scanvi	0.0	33	0.007575757575757576	0.3731139898300171
20	234	other	majority_scanvi	0.0	33	0.017094017094017096	0.7869686484336853
21	54	malignant	scanvi_malignant_frac>=0.50	1.0	4	1.0	2.6557934284210205
22	49	malignant	author_malignant_frac>=0.50	1.0	49	1.0	4.529729843139648
