score	dataset	n	rho	p	level	I2	ci_lo	ci_hi	k	n_q1	n_q4
mal_CLDN4_pct	GSE123902	13	-0.6593406593406593	0.0142255785114567	cohort						
mal_CLDN4_pct	GSE131907	21	-0.5220779220779221	0.015195754492505785	cohort						
mal_CLDN4_pct	GSE189357	9	-0.6	0.08762282904140249	cohort						
mal_CLDN4_pct	GSE205335	22	-0.43534726143421804	0.042861326301676765	cohort						
mal_CLDN4_pct	DL_meta	65	-0.531167804568999	1.6462232944573955e-05	meta	0.0	-0.6967711225150762	-0.3118052568209761	4.0		
mal_CLDN4_pct	Q4_vs_Q1	35	-0.7236842105263157	0.00028794861470847027	quartile					19.0	16.0
mal_CLDN4_mean_log1p	GSE123902	13	-0.6538461538461539	0.015348516732105473	cohort						
mal_CLDN4_mean_log1p	GSE131907	21	-0.39610389610389607	0.07547637795047248	cohort						
mal_CLDN4_mean_log1p	GSE189357	9	-0.5166666666666667	0.15439012098622507	cohort						
mal_CLDN4_mean_log1p	GSE205335	22	-0.16996047430830044	0.44954166436454235	cohort						
mal_CLDN4_mean_log1p	DL_meta	65	-0.3936479270059006	0.0024510197999868485	meta	0.0	-0.5949776045406042	-0.14583561925356242	4.0		
mal_CLDN4_mean_log1p	Q4_vs_Q1	35	-0.5263157894736843	0.008475701201894085	quartile					19.0	16.0
latent_CLDN4_seed	GSE123902	13	-0.5439560439560439	0.05464653454086549	cohort						
latent_CLDN4_seed	GSE131907	21	-0.6532467532467533	0.0013231161913442719	cohort						
latent_CLDN4_seed	GSE189357	9	-0.3	0.43284532670948234	cohort						
latent_CLDN4_seed	GSE205335	22	-0.409373235460192	0.05850104223477929	cohort						
latent_CLDN4_seed	DL_meta	65	-0.5162446853735598	3.204212368014001e-05	meta	0.0	-0.6860383752687803	-0.2931232231415887	4.0		
latent_CLDN4_seed	Q4_vs_Q1	35	-0.6710526315789473	0.0007766058484453265	quartile					19.0	16.0
latent_CLDN4	GSE123902	13	0.13736263736263735	0.6545168402947127	cohort						
latent_CLDN4	GSE131907	21	-0.6532467532467533	0.0013231161913442719	cohort						
latent_CLDN4	GSE189357	9	-0.13333333333333333	0.7323675052362973	cohort						
latent_CLDN4	GSE205335	22	-0.39920948616600793	0.06568871314886401	cohort						
latent_CLDN4	DL_meta	65	-0.3418833266297858	0.07617937334128819	meta	0.4950489500788467	-0.635120464786133	0.037487531900008586	4.0		
latent_CLDN4	Q4_vs_Q1	35	-0.375	0.061358672089051096	quartile					19.0	16.0
