dataset	unit_id	n_cells_locked	n_cells_new	d_n	frac_tnk_locked	frac_tnk_new	d_frac	mal_CLDN4_pct_locked	mal_CLDN4_pct_new	d_pct	n_malignant_locked	n_malignant_new	n_tnk_locked	n_tnk_new
GSE123902	LX255B	3886	3886	0	0.407359752959341	0.4073597529593412	1.6653345369377348e-16	35.0877192982456	35.08771929824561	7.105427357601002e-15	228	228	1583	1583
GSE123902	LX653	392	392	0	0.125	0.125	0.0	71.7241379310345	71.72413793103448	-2.842170943040401e-14	145	145	49	49
GSE123902	LX661	4566	4566	0	0.816031537450723	0.8160315374507228	-2.220446049250313e-16	58.974358974359	58.97435897435898	-2.1316282072803006e-14	117	117	3726	3726
GSE123902	LX666	1316	1316	0	0.134498480243161	0.1344984802431611	1.1102230246251565e-16	67.175572519084	67.17557251908397	-2.842170943040401e-14	786	786	177	177
GSE123902	LX675	3435	3435	0	0.388937409024745	0.3889374090247453	2.7755575615628914e-16	31.3915857605178	31.3915857605178	0.0	618	618	1336	1336
GSE123902	LX676	4014	4014	0	0.649227703039362	0.6492277030393623	3.3306690738754696e-16	42.1768707482993	42.17687074829932	2.1316282072803006e-14	147	147	2606	2606
GSE123902	LX679	2017	2017	0	0.309866137828458	0.3098661378284581	1.1102230246251565e-16	43.2595573440644	43.25955734406438	-1.4210854715202004e-14	497	497	625	625
GSE123902	LX680	941	941	0	0.365568544102019	0.3655685441020191	1.1102230246251565e-16	73.2558139534884	73.25581395348837	-2.842170943040401e-14	258	258	344	344
GSE123902	LX681	1630	1630	0	0.052760736196319	0.052760736196319	0.0	63.2974316487158	63.29743164871583	2.842170943040401e-14	1207	1207	86	86
GSE123902	LX682	4092	4092	0	0.625122189638319	0.6251221896383187	-3.3306690738754696e-16	18.7648456057007	18.76484560570071	1.0658141036401503e-14	421	421	2558	2558
GSE123902	LX684	378	378	0	0.243386243386243	0.2433862433862433	2.7755575615628914e-16	72.8323699421965	72.83236994219652	2.842170943040401e-14	173	173	92	92
GSE123902	LX699	2671	2671	0	0.847248221639835	0.8472482216398353	2.220446049250313e-16	15.2173913043478	15.217391304347828	2.842170943040401e-14	46	46	2263	2263
GSE123902	LX701	788	788	0	0.408629441624365	0.4086294416243655	4.996003610813204e-16	11.1111111111111	11.11111111111111	1.0658141036401503e-14	90	90	322	322
GSE131907	BRONCHO_11	3178	3178	0	0.254562617998741	0.2545626179987413	2.7755575615628914e-16	80.7881773399015	80.78817733990148	-1.4210854715202004e-14	203	203	809	809
GSE131907	BRONCHO_58	2813	2813	0	0.549591183789549	0.5495911837895485	-4.440892098500626e-16	72.1739130434783	72.17391304347827	-2.842170943040401e-14	460	460	1546	1546
GSE131907	EBUS_06	2303	2303	0	0.26530612244898	0.2653061224489796	-3.885780586188048e-16	71.1635750421585	71.16357504215851	1.4210854715202004e-14	1186	1186	611	611
GSE131907	EBUS_10	5144	5144	0	0.297433903576983	0.2974339035769829	-1.1102230246251565e-16	84.4686648501362	84.46866485013625	5.684341886080802e-14	367	367	1530	1530
GSE131907	EBUS_12	3115	3115	0	0.10529695024077	0.1052969502407704	4.0245584642661925e-16	88.3268482490272	88.32684824902724	4.263256414560601e-14	257	257	328	328
GSE131907	EBUS_13	3550	3550	0	0.323943661971831	0.323943661971831	0.0	0.265957446808511	0.2659574468085106	-4.440892098500626e-16	376	376	1150	1150
GSE131907	EBUS_15	1105	1105	0	0.433484162895928	0.4334841628959276	-3.885780586188048e-16	47.265625	47.265625	0.0	256	256	479	479
GSE131907	EBUS_19	2112	2112	0	0.675662878787879	0.6756628787878788	-2.220446049250313e-16	94.0092165898618	94.00921658986177	-2.842170943040401e-14	217	217	1427	1427
GSE131907	EBUS_28	5182	5182	0	0.0447703589347742	0.0447703589347742	0.0	96.3362068965517	96.33620689655172	1.4210854715202004e-14	4640	4640	232	232
GSE131907	EBUS_49	1775	1775	0	0.634366197183099	0.6343661971830986	-3.3306690738754696e-16	49.1228070175439	49.122807017543856	-4.263256414560601e-14	114	114	1126	1126
GSE131907	EBUS_51	3275	3275	0	0.349007633587786	0.3490076335877862	1.6653345369377348e-16	85.3696498054475	85.36964980544747	-2.842170943040401e-14	1285	1285	1143	1143
GSE131907	NS_02	2313	2313	0	0.422395157803718	0.4223951578037181	1.1102230246251565e-16	58.5635359116022	58.5635359116022	0.0	181	181	977	977
GSE131907	NS_03	2990	2990	0	0.048494983277592	0.0484949832775919	-1.0408340855860843e-16	93.1441208993734	93.14412089937338	-2.842170943040401e-14	2713	2713	145	145
GSE131907	NS_04	1904	1904	0	0.0688025210084034	0.0688025210084033	-9.71445146547012e-17	89.3409275834011	89.34092758340114	4.263256414560601e-14	1229	1229	131	131
GSE131907	NS_06	1070	1070	0	0.357943925233645	0.3579439252336449	-1.1102230246251565e-16	60.2409638554217	60.24096385542169	-7.105427357601002e-15	83	83	383	383
GSE131907	NS_07	5730	5730	0	0.0289703315881326	0.0289703315881326	0.0	90.407204385278	90.407204385278	0.0	5108	5108	166	166
GSE131907	NS_12	3182	3182	0	0.0069138906348208	0.0069138906348208	0.0	86.3393810032017	86.33938100320171	1.4210854715202004e-14	2811	2811	22	22
GSE131907	NS_13	4845	4845	0	0.367389060887513	0.3673890608875129	-1.1102230246251565e-16	72.4112426035503	72.41124260355029	-1.4210854715202004e-14	1352	1352	1780	1780
GSE131907	NS_16	1317	1317	0	0.292331055429005	0.2923310554290053	2.7755575615628914e-16	11.3924050632911	11.39240506329114	3.907985046680551e-14	79	79	385	385
GSE131907	NS_17	2409	2409	0	0.170195101701951	0.170195101701951	0.0	88.2194244604317	88.21942446043165	-4.263256414560601e-14	1112	1112	410	410
GSE131907	NS_19	3300	3300	0	0.112121212121212	0.1121212121212121	9.71445146547012e-17	67.1523178807947	67.1523178807947	0.0	755	755	370	370
GSE205335	P0031	6428	6428	0	0.594897324206596	0.594897324206596	0.0	59.2476489028213	59.2476489028213	0.0	319	319	3824	3824
GSE205335	P1006	6090	6090	0	0.492282430213465	0.492282430213465	0.0	74.1809672386895	74.1809672386895	0.0	1282	1282	2998	2998
GSE205335	P1015	1195	1195	0	0.39581589958159	0.39581589958159	0.0	41.5807560137457	41.5807560137457	0.0	291	291	473	473
GSE205335	P1016	6924	6924	0	0.110196418255344	0.110196418255344	0.0	82.6461769115442	82.6461769115442	0.0	5336	5336	763	763
GSE205335	P1017	6266	6266	0	0.378231726779445	0.378231726779445	0.0	64.3183897529735	64.3183897529735	0.0	2186	2186	2370	2370
GSE205335	P1018	5029	5029	0	0.506263670709883	0.506263670709883	0.0	67.0338983050847	67.0338983050847	0.0	1180	1180	2546	2546
GSE205335	P1025	1222	1222	0	0.104746317512275	0.104746317512275	0.0	92.8571428571429	92.8571428571429	0.0	980	980	128	128
GSE205335	P1027	4600	4600	0	0.569347826086957	0.569347826086957	0.0	78.0728376327769	78.0728376327769	0.0	1318	1318	2619	2619
GSE205335	P1030	861	861	0	0.16260162601626	0.16260162601626	0.0	61.6915422885572	61.6915422885572	0.0	603	603	140	140
GSE205335	P1037	4983	4983	0	0.122616897451335	0.122616897451335	0.0	86.0528466357941	86.0528466357941	0.0	3671	3671	611	611
GSE205335	P1056	5103	5103	0	0.265334117185969	0.265334117185969	0.0	49.7066219614417	49.7066219614417	0.0	2386	2386	1354	1354
GSE205335	P1062	3057	3057	0	0.63264638534511	0.63264638534511	0.0	45.2127659574468	45.2127659574468	0.0	188	188	1934	1934
GSE205335	P1063	4297	4297	0	0.731673260414243	0.731673260414243	0.0	35.1145038167939	35.1145038167939	0.0	131	131	3144	3144
GSE205335	P1072	1273	1273	0	0.460329929300864	0.460329929300864	0.0	58.8669950738916	58.8669950738916	0.0	406	406	586	586
GSE205335	P1076	6975	6975	0	0.299498207885305	0.299498207885305	0.0	59.3639575971731	59.3639575971731	0.0	849	849	2089	2089
GSE205335	P1079	1277	1277	0	0.392325763508222	0.392325763508222	0.0	51.3812154696133	51.3812154696133	0.0	543	543	501	501
GSE205335	P1084	3534	3534	0	0.664968873797397	0.664968873797397	0.0	86.734693877551	86.734693877551	0.0	196	196	2350	2350
GSE205335	P1089	1609	1609	0	0.169049098819142	0.169049098819142	0.0	87.7704609595484	87.7704609595484	0.0	1063	1063	272	272
GSE205335	P1090	976	976	0	0.253073770491803	0.253073770491803	0.0	38.1625441696113	38.1625441696113	0.0	566	566	247	247
GSE205335	P1115	4397	4397	0	0.0616329315442347	0.0616329315442347	0.0	88.8829928362961	88.8829928362961	0.0	3769	3769	271	271
GSE205335	P1119	2386	2386	0	0.260268231349539	0.260268231349539	0.0	36.088379705401	36.088379705401	0.0	1222	1222	621	621
GSE205335	P4001	2308	2308	0	0.780329289428076	0.780329289428076	0.0	48.1481481481481	48.1481481481481	0.0	27	27	1801	1801
GSE189357	TD1	15216	15216	0	0.651616719242902	0.6516167192429022	2.220446049250313e-16	56.1299176578225	56.1299176578225	0.0	2186	2186	9915	9915
GSE189357	TD2	18064	18064	0	0.627435783879539	0.6274357838795395	4.440892098500626e-16	35.6255178127589	35.62551781275891	7.105427357601002e-15	1207	1207	11334	11334
GSE189357	TD3	12658	12658	0	0.515484278717017	0.5154842787170169	-1.1102230246251565e-16	48.0421686746988	48.04216867469879	-7.105427357601002e-15	664	664	6525	6525
GSE189357	TD4	11756	11756	0	0.603606668935012	0.6036066689350119	-1.1102230246251565e-16	30.3462321792261	30.346232179226067	-3.197442310920451e-14	491	491	7096	7096
GSE189357	TD5	19079	19079	0	0.579432884323078	0.5794328843230777	-3.3306690738754696e-16	36.8663594470046	36.86635944700461	1.4210854715202004e-14	1736	1736	11055	11055
GSE189357	TD6	8999	8999	0	0.376930770085565	0.3769307700855651	5.551115123125783e-17	63.5012386457473	63.501238645747314	1.4210854715202004e-14	1211	1211	3392	3392
GSE189357	TD7	3507	3507	0	0.527801539777588	0.5278015397775877	-3.3306690738754696e-16	36.6313309776207	36.63133097762073	2.842170943040401e-14	849	849	1851	1851
GSE189357	TD8	15521	15521	0	0.46756007989176	0.4675600798917596	-4.440892098500626e-16	45.3385672227674	45.338567222767416	1.4210854715202004e-14	1019	1019	7257	7257
GSE189357	TD9	17573	17573	0	0.24725431059011	0.2472543105901098	-1.942890293094024e-16	78.5641235426468	78.56412354264675	-4.263256414560601e-14	4889	4889	4345	4345
