role	split	radius_um	min_hi	min_lo	min_cd8	min_gap	median_delta	fold	p	n_fov	n_pos	n_neg
immune_cold	tertile	40.0	10	10	5	0.5	-0.09538402201794619	0.7048356810180841	0.0078125	184	0	8
barrier	tertile	15.0	40	40	15	0.0	0.04979508347001183	1.7025905554730918	0.0234375	187	7	1
