sample	patient	pair_id	n_tumor_hi_interface	n_tumor_lo_interface	n_cd8_interface	mean_hi	mean_lo	delta_mean	p_hi	p_lo
Lung5_Rep2	Lung5	MIF|CD74_CXCR4	4133	6093	6039	0.39130120395802936	0.34033824010457914	0.05096296385345023	0.0	0.0
Lung5_Rep2	Lung5	TGFB1|TGFBR1_TGFBR2	4133	6093	6039	0.04770043238365933	0.06169563594746262	-0.013995203563803293	1.0	1.0
Lung5_Rep2	Lung5	CXCL12|CXCR4	4133	6093	6039	0.21296838741557977	0.21409654686210805	-0.0011281594465282763	0.0	0.0
Lung5_Rep2	Lung5	CXCL16|CXCR6	4133	6093	6039	0.12451259437579351	0.10194636993407691	0.022566224441716604	0.0	1.0
Lung5_Rep2	Lung5	CXCL9|CXCR3	4133	6093	6039	0.05845558093866818	0.0643548253836703	-0.005899244445002116	0.997	0.4706666666666666
Lung5_Rep2	Lung5	CXCL10|CXCR3	4133	6093	6039	0.05723547009877153	0.06065793826119488	-0.0034224681624233505	0.954	0.5853333333333334
Lung5_Rep2	Lung5	CCL5|CCR5	4133	6093	6039	0.07426114368124657	0.0819567652775474	-0.007695621596300828	1.0	1.0
Lung5_Rep2	Lung5	HLA-A|CD8A	4133	6093	6039	0.6906228898413792	0.6356810931764993	0.05494179666487986	0.0	0.0
Lung5_Rep2	Lung5	HLA-B|CD8A	4133	6093	6039	0.7070084696976122	0.7205259622193685	-0.01351749252175627	0.0	0.0
Lung5_Rep2	Lung5	HLA-C|CD8A	4133	6093	6039	0.7940465716987442	0.7554116862014207	0.03863488549732341	0.0	0.0
Lung5_Rep2	Lung5	HLA-A|CD8B	4133	6093	6039	0.5357689479301088	0.48082715126522896	0.054941796664879805	0.0	1.0
Lung5_Rep2	Lung5	HLA-B|CD8B	4133	6093	6039	0.5521545277863417	0.565672020308098	-0.01351749252175638	1.0	1.0
Lung5_Rep2	Lung5	HLA-C|CD8B	4133	6093	6039	0.6391926297874737	0.6005577442901503	0.03863488549732341	0.0	1.0
Lung5_Rep2	Lung5	APP|CD74	4133	6093	6039	0.7974433104239372	0.7009625713528874	0.09648073907104981	0.0	0.0
Lung5_Rep2	Lung5	FASLG|FAS	4133	6093	6039	0.06638028029410822	0.07566565267732209	-0.009285372383213863	0.995	0.004
Lung5_Rep2	Lung5	SPP1|CD44	4133	6093	6039	0.2045064472941088	0.20996528720793273	-0.005458839913823926	0.0	0.0
Lung5_Rep2	Lung5	IFNG|IFNGR1_IFNGR2	4133	6093	6039	0.0487573547958588	0.03705185913422401	0.011705495661634785	0.0	0.988
Lung5_Rep3	Lung5	CDH1|CDH1	2065	3417	2457	0.1449760900860588	0.07051409385682048	0.07446199622923833	0.0	1.0
Lung5_Rep3	Lung5	CDH1|ITGA2_ITGB1	2065	3417	2457	0.14038162806714238	0.06591963183790407	0.07446199622923831	0.0	1.0
Lung5_Rep3	Lung5	ICAM1|ITGAL_ITGB2	2065	3417	2457	0.10653264359506569	0.06999514578247404	0.03653749781259165	0.0	0.002
Lung5_Rep3	Lung5	ICAM1|ITGAL	2065	3417	2457	0.14310936505601496	0.10657186724342332	0.036537497812591635	0.0	0.0
Lung5_Rep3	Lung5	CD274|PDCD1	2065	3417	2457	0.042629625109867106	0.048860487952035875	-0.006230862842168769	0.5	0.0
Lung5_Rep3	Lung5	PDCD1LG2|PDCD1	2065	3417	2457	0.03807904607475815	0.03902266314109962	-0.0009436170663414678	0.024	0.008
Lung5_Rep3	Lung5	LGALS9|HAVCR2	2065	3417	2457	0.06779685138210902	0.054311640297578526	0.01348521108453049	0.0	0.29333333333333333
Lung5_Rep3	Lung5	LGALS9|PTPRC	2065	3417	2457	0.17265128173499364	0.15916607065046315	0.01348521108453049	0.0	0.0
Lung5_Rep3	Lung5	LGALS9|CD44	2065	3417	2457	0.1627925551258911	0.14930734404136062	0.01348521108453049	0.0	0.0
Lung5_Rep3	Lung5	MIF|CD74_CD44	2065	3417	2457	0.31728549076901635	0.2479683837374772	0.06931710703153915	0.0	0.0
Lung5_Rep3	Lung5	MIF|CD74_CXCR4	2065	3417	2457	0.3808668635458853	0.31154975651434613	0.06931710703153915	0.0	0.0
Lung5_Rep3	Lung5	TGFB1|TGFBR1_TGFBR2	2065	3417	2457	0.03260754972185835	0.046108375214511915	-0.013500825492653565	1.0	1.0
Lung5_Rep3	Lung5	CXCL12|CXCR4	2065	3417	2457	0.22046178998970983	0.22620819591339458	-0.00574640592368475	0.0	0.0
Lung5_Rep3	Lung5	CXCL16|CXCR6	2065	3417	2457	0.11559325631863099	0.0846664072707716	0.03092684904785939	0.0	0.602
Lung5_Rep3	Lung5	CXCL9|CXCR3	2065	3417	2457	0.039901858343486335	0.04046692794161254	-0.0005650695981262027	0.548	0.548
Lung5_Rep3	Lung5	CXCL10|CXCR3	2065	3417	2457	0.039572191284300326	0.0409382377262281	-0.0013660464419277749	0.47733333333333333	0.212
Lung5_Rep3	Lung5	CCL5|CCR5	2065	3417	2457	0.04830969440412737	0.05719455614275018	-0.00888486173862281	1.0	1.0
Lung5_Rep3	Lung5	HLA-A|CD8A	2065	3417	2457	0.6184015230345982	0.6124845642128474	0.005916958821750806	0.0	0.0
Lung5_Rep3	Lung5	HLA-B|CD8A	2065	3417	2457	0.6885423398813839	0.7379000680629304	-0.04935772818154649	0.0	0.0
Lung5_Rep3	Lung5	HLA-C|CD8A	2065	3417	2457	0.7544590982800559	0.7381610617529704	0.016298036527085502	0.0	0.0
Lung5_Rep3	Lung5	HLA-A|CD8B	2065	3417	2457	0.45586173294540566	0.4499447741236549	0.005916958821750751	0.39066666666666666	0.709
Lung5_Rep3	Lung5	HLA-B|CD8B	2065	3417	2457	0.5260025497921914	0.5753602779737379	-0.04935772818154649	1.0	0.22533333333333336
Lung5_Rep3	Lung5	HLA-C|CD8B	2065	3417	2457	0.5919193081908634	0.5756212716637779	0.016298036527085502	0.005333333333333333	0.269
Lung5_Rep3	Lung5	APP|CD74	2065	3417	2457	0.7371555661277125	0.6357866542828923	0.10136891184482022	0.0	0.0
Lung5_Rep3	Lung5	FASLG|FAS	2065	3417	2457	0.04341781890113714	0.04913859891256144	-0.005720780011424301	0.982	0.538
Lung5_Rep3	Lung5	SPP1|CD44	2065	3417	2457	0.14505214817480655	0.1490691460993091	-0.004016997924502552	0.0	0.0
Lung5_Rep3	Lung5	IFNG|IFNGR1_IFNGR2	2065	3417	2457	0.03493381946843957	0.02566449014749373	0.009269329320945839	0.0	0.7133333333333334
Lung6	Lung6	CDH1|CDH1	494	528	217	0.24305033342572818	0.16474072138429408	0.0783096120414341	1.0	1.0
Lung6	Lung6	CDH1|ITGA2_ITGB1	494	528	217	0.22641938034233827	0.14810976830090417	0.0783096120414341	0.0	1.0
Lung6	Lung6	ICAM1|ITGAL_ITGB2	494	528	217	0.09947676722393797	0.0820136270226359	0.017463140201302074	0.0	0.004
Lung6	Lung6	ICAM1|ITGAL	494	528	217	0.1593383678976311	0.14187522769632901	0.017463140201302074	0.0	0.0
Lung6	Lung6	CD274|PDCD1	494	528	217	0.062096144441546416	0.05637889286283923	0.005717251578707186	0.012	0.026
Lung6	Lung6	PDCD1LG2|PDCD1	494	528	217	0.051574348192361404	0.056464970013135315	-0.004890621820773912	0.018	0.004
Lung6	Lung6	LGALS9|HAVCR2	494	528	217	0.06931492531849943	0.0656484233976532	0.003666501920846235	0.06666666666666667	0.119
Lung6	Lung6	LGALS9|PTPRC	494	528	217	0.2101513078350176	0.20648480591417137	0.0036665019208462213	0.0	0.0
Lung6	Lung6	LGALS9|CD44	494	528	217	0.2057446542500451	0.20207815232919887	0.0036665019208462213	0.677	0.677
Lung6	Lung6	MIF|CD74_CD44	494	528	217	0.4578365675608632	0.46082855371471965	-0.0029919861538564296	0.0	0.0
Lung6	Lung6	MIF|CD74_CXCR4	494	528	217	0.5855525088562343	0.5885444950100907	-0.0029919861538563186	0.0	0.0
Lung6	Lung6	TGFB1|TGFBR1_TGFBR2	494	528	217	0.06378358790529369	0.07172366817225738	-0.00794008026696369	0.937	0.8266666666666667
