config	split	radius_um	sdm_l_um	pair_id	ligand	family	endpoint	n_fov	n_slides	median_hi	median_lo	median_delta	fold	n_pos	n_neg	p	n_patients	n_patients_pos	n_patients_neg
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	expr	207.0	8	0.15374578924549087	0.10213461681281427	0.05161117243267662	1.5053249725043392	7	1	0.0234375	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	sdm_prox	207.0	8	0.09953204650483577	0.00813188254370562	0.09181284894807015	12.239729972720435	7	1	0.0546875	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	sdm_geom	207.0	8	0.0512082704094441	-0.01614156631241622	0.11786051680454149		5	3	0.3125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	commot	207.0	8	0.0019957300603457555	0.0009340093750701626	0.0011453136804274325	2.1367345056850597	7	1	0.015625	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	commot_supply	207.0	8	0.013867246666529843	0.008146768985139503	0.003321296566884774	1.702177475736092	5	3	0.3828125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CDH1|ITGA2_ITGB1	CDH1	barrier	commot_frac_pos	207.0	8	0.016732162661189126	0.005045861455190722	0.01248994802995235	3.3160170586880864	8	0	0.0078125	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	expr	207.0	8	0.07836157302088989	0.07235921316475166	0.0011373037021074582	1.082952254365615	4	4	0.84375	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	sdm_prox	207.0	8	0.021971790609609083	0.04241744165984403	-0.0019318496661535562	0.5179895285954847	3	5	0.84375	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	sdm_geom	207.0	8	0.06287585255703346	0.022067009414684417	0.0312666607835056	2.849314620548126	6	2	0.3125	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	commot	207.0	8	0.0023823141538700894	0.0037106276707883756	-0.00025174489258463536	0.642024575147938	3	4	0.46875	5	2	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	commot_supply	207.0	8	0.03381904343778619	0.048460707122334704	-0.009265461367933943	0.697865248899754	2	5	0.15625	5	1	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL10|CXCR3	CXCL10	chemokine	commot_frac_pos	207.0	8	0.015443786638962079	0.011436419962761134	0.0045258305814933186	1.3504039453998358	5	2	0.46875	5	3	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	expr	207.0	8	0.06160797580424688	0.05368790436416983	0.008527767197210972	1.147520592093789	6	2	0.7421875	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	sdm_prox	207.0	8	0.04440827621818366	0.053504954142428174	-0.017279660448274742	0.8299843805112047	3	5	0.546875	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	sdm_geom	207.0	8	-0.004192821116765149	0.07735807269239231	-0.04242790217544487	-0.05420017550640823	3	5	0.3828125	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	commot	207.0	8	0.010884358026972147	0.007590120031915018	0.002508569009846107	1.4340165875118551	6	2	0.25	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	commot_supply	207.0	8	0.18916661429429768	0.1769193277330941	0.011548610804268354	1.0692252605644095	6	2	0.1953125	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL12|CXCR4	CXCL12	chemokine	commot_frac_pos	207.0	8	0.03313866591304507	0.026281479878212246	0.00782992267498005	1.2609132387753224	6	2	0.4609375	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	expr	207.0	8	0.16094935586185177	0.11340729492159392	0.04455785050974261	1.4192151922248641	7	1	0.015625	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	sdm_prox	207.0	8	0.03717859515068224	-0.008157587570029186	0.044276406264564624		6	2	0.3125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	sdm_geom	207.0	8	-0.02417282952445346	-0.0478148110361791	0.004077816097518049		4	4	0.9453125	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	commot	207.0	8	0.005094264266024625	0.003410384394664699	-1.1779901929671096e-05	1.4937507554849931	4	4	0.640625	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	commot_supply	207.0	8	0.044233653584765914	0.03163792546525189	0.002156110891338733	1.3981211768561748	4	4	0.640625	5	3	2
