split	radius_um	min_hi	min_lo	min_cd8	min_gap	endpoint	ligand	n_fov	n_slides	median_delta	median_hi	median_lo	fold	n_pos	n_neg	p	n_patients	n_patients_pos	n_patients_neg
decile	15.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.04219059123972976	0.046240047956555605	0.09022518794055054	0.512496000418677	0	8	0.0078125	5	0	5
decile	15.0	10	10	5	0.0	immune_frac	immune	225	8	-0.17138897348059573	0.19729293915853024	0.3615473367872807	0.5456904783525184	0	8	0.0078125	5	0	5
decile	15.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	20.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.05232162698321234	0.09360633959679118	0.15107562909548677	0.6195992044330834	0	8	0.0078125	5	0	5
decile	20.0	10	10	5	0.0	immune_frac	immune	225	8	-0.18531550329299887	0.32608333895618224	0.500529344837132	0.6514769659754654	0	8	0.0078125	5	0	5
decile	20.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	25.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.05470779804653808	0.1491802680053339	0.22480925277711244	0.6635859786128953	0	8	0.0078125	5	0	5
decile	25.0	10	10	5	0.0	immune_frac	immune	225	8	-0.17964661231446416	0.4401236718873609	0.6156177481784173	0.7149301221247523	0	8	0.0078125	5	0	5
decile	25.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	40.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.06461136952322816	0.3417152267345649	0.43147851615481364	0.7919634789231502	1	7	0.015625	5	1	4
decile	40.0	10	10	5	0.0	immune_frac	immune	225	8	-0.13198130105506845	0.6508299359921799	0.7951827492803989	0.818465864081117	0	8	0.0078125	5	0	5
decile	40.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	50.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.057968707404783604	0.4710305277112087	0.5495413900367243	0.857133850609016	1	7	0.015625	5	1	4
decile	50.0	10	10	5	0.0	immune_frac	immune	225	8	-0.09642747587299139	0.7572066332277461	0.8555122710979057	0.8850914929086862	0	8	0.0078125	5	0	5
decile	50.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	80.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.04533018320056581	0.7132201554278721	0.7872227085918924	0.9059954033892279	2	6	0.078125	5	2	3
decile	80.0	10	10	5	0.0	immune_frac	immune	225	8	-0.027634067487720793	0.9165127701429066	0.9483084067162684	0.9664712066789944	1	7	0.0234375	5	1	4
decile	80.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
decile	100.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.024777084775565617	0.8244132998529119	0.8606216801853978	0.9579276456006944	3	5	0.1953125	5	2	3
decile	100.0	10	10	5	0.0	immune_frac	immune	225	8	-0.009189243483126885	0.9600943235761428	0.9774256067541114	0.9822684375586156	1	7	0.109375	5	1	4
decile	100.0	10	10	5	0.0	nn_um	CD8	225	8	4.616698404032686	65.45128909284963	56.78935341848091	1.152527457224929	5	3	0.3828125	5	3	2
quartile	15.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.04258574843273945	0.05176108284346068	0.09434683127620014	0.5486255568237393	0	8	0.0078125	5	0	5
quartile	15.0	10	10	5	0.0	immune_frac	immune	225	8	-0.19578907086142486	0.1841397891444699	0.37992886000589476	0.48466912764040326	0	8	0.0078125	5	0	5
quartile	15.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	20.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.05931876983377356	0.1005232665432787	0.15984203637705224	0.6288913030747044	0	8	0.0078125	5	0	5
quartile	20.0	10	10	5	0.0	immune_frac	immune	225	8	-0.22018568086637827	0.31691570323200785	0.5146136867028366	0.6158322474136034	0	8	0.0078125	5	0	5
quartile	20.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	25.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.07393562379767278	0.15879123374312015	0.23542337283666442	0.6744922215233435	0	8	0.0078125	5	0	5
quartile	25.0	10	10	5	0.0	immune_frac	immune	225	8	-0.21620163744051002	0.42447163666436316	0.6276469713242063	0.6762904244862603	0	8	0.0078125	5	0	5
quartile	25.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	40.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.09084906260112319	0.35667377028366104	0.44968612728093116	0.7931616046070223	0	8	0.0078125	5	0	5
quartile	40.0	10	10	5	0.0	immune_frac	immune	225	8	-0.1432818529312473	0.6378418035972291	0.8034741356664026	0.7938548053798922	0	8	0.0078125	5	0	5
quartile	40.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	50.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.08652369082741043	0.47624239502440846	0.5711043110035712	0.8338973911570253	1	7	0.015625	5	1	4
quartile	50.0	10	10	5	0.0	immune_frac	immune	225	8	-0.103867114431198	0.7418310144473732	0.8648242155242997	0.8577824269150907	0	8	0.0078125	5	0	5
quartile	50.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	80.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.050215314066691	0.7232999050620569	0.8053821273401747	0.8980828857610741	2	6	0.0390625	5	2	3
quartile	80.0	10	10	5	0.0	immune_frac	immune	225	8	-0.03579342879183206	0.9107975098138184	0.9477763085860982	0.960983621939817	1	7	0.0234375	5	1	4
quartile	80.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quartile	100.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.030263305143754138	0.8358891971858629	0.8760048041411878	0.9542061792747207	2	6	0.078125	5	2	3
quartile	100.0	10	10	5	0.0	immune_frac	immune	225	8	-0.01256628086656969	0.9611117106480865	0.9784923180552483	0.982237359367618	1	7	0.0546875	5	1	4
quartile	100.0	10	10	5	0.0	nn_um	CD8	225	8	6.10151066590894	64.39910183046709	55.509049869057876	1.1601550014345454	6	2	0.1484375	5	3	2
quintile	15.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.041779742192166736	0.0502307698933835	0.09201051208555024	0.5459242509886213	1	7	0.015625	5	1	4
quintile	15.0	10	10	5	0.0	immune_frac	immune	225	8	-0.19228807084420235	0.18585104842992617	0.3781391192741285	0.4914885526434919	0	8	0.0078125	5	0	5
quintile	15.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
quintile	20.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.05577774871632465	0.10072241160950915	0.1565001603258338	0.643593025079366	0	8	0.0078125	5	0	5
quintile	20.0	10	10	5	0.0	immune_frac	immune	225	8	-0.21591109906923683	0.3171638308690309	0.5135005138908342	0.6176504643897147	0	8	0.0078125	5	0	5
quintile	20.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
quintile	25.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.07356962943435004	0.15726906372566357	0.23266738934684056	0.6759394351187753	0	8	0.0078125	5	0	5
quintile	25.0	10	10	5	0.0	immune_frac	immune	225	8	-0.20791506891792608	0.4267105659720185	0.6292129470419059	0.6781655844465632	0	8	0.0078125	5	0	5
quintile	25.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
quintile	40.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.08786010890818571	0.35217161308743355	0.44817825910764403	0.7857846870765959	1	7	0.015625	5	1	4
quintile	40.0	10	10	5	0.0	immune_frac	immune	225	8	-0.14114521967181054	0.6395564136573353	0.8005385002763129	0.7989077520151583	0	8	0.0078125	5	0	5
quintile	40.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
quintile	50.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.08491664103770513	0.4735424019962814	0.5700452613012543	0.8307101806535786	1	7	0.015625	5	1	4
quintile	50.0	10	10	5	0.0	immune_frac	immune	225	8	-0.10308183957260503	0.7446228503948579	0.8620105526158905	0.8638210380780103	0	8	0.0078125	5	0	5
quintile	50.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
quintile	80.0	10	10	5	0.0	cd8_frac	CD8	225	8	-0.05344056597155572	0.7207164033830753	0.8058232758846058	0.8943851895961891	2	6	0.0390625	5	2	3
quintile	80.0	10	10	5	0.0	immune_frac	immune	225	8	-0.03699759949115583	0.9117170432156001	0.9467396958724532	0.9630070939144698	1	7	0.0234375	5	1	4
quintile	80.0	10	10	5	0.0	nn_um	CD8	225	8	7.011166155950487	64.72781201714788	55.35226881258711	1.1693795648432168	6	2	0.25	5	3	2
