gsm,Sample_title,Sample_source_name_ch1,Sample_description,tissue,cell line,cell type,genotype,treatment
GSM7976290,1. CD4+ CM T-cell contol,CD4+ central memory T-cells,3x150 ng pool,CD4+ central memory T-cells,none,CD4+ central memory T-cells,wt,none
GSM7976291,2. CD4+ CM T-cell stable COPD,CD4+ central memory T-cells,3x100 ng pool,CD4+ central memory T-cells,none,CD4+ central memory T-cells,wt,none
GSM7976292,3. CD4+ CM T-cell COPD with exacerbation,CD4+ central memory T-cells,4x200 ng pool,CD4+ central memory T-cells,none,CD4+ central memory T-cells,wt,none
GSM7976293,4. CD4+ CM T-cell NSCLC,CD4+ central memory T-cells,5x200 ng pool,CD4+ central memory T-cells,none,CD4+ central memory T-cells,wt,none
GSM7976294,5. CD4+ EM T-cell contol,CD4+ effector memory T-cells,3x60 ng pool,CD4+ effector memory T-cells,none,CD4+ effector memory T-cells,wt,none
GSM7976295,6. CD4+ EM T-cell stable COPD,CD4+ effector memory T-cells,3x40 ng pool,CD4+ effector memory T-cells,none,CD4+ effector memory T-cells,wt,none
GSM7976296,7. CD4+ EM T-cell COPD with exacerbation,CD4+ effector memory T-cells,4x100 ng pool,CD4+ effector memory T-cells,none,CD4+ effector memory T-cells,wt,none
GSM7976297,8. CD4+ EM T-cell NSCLC,CD4+ effector memory T-cells,5x200 ng pool,CD4+ effector memory T-cells,none,CD4+ effector memory T-cells,wt,none
