gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line
GSM5772210,responder_rep1,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid
GSM5772211,non_responder_rep1,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid
GSM5772212,non_responder_rep2,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid
GSM5772213,responder_rep2,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid
GSM5772214,non_responder_rep3,BALF derived from non-responders,BALF derived from non-responders,bronchoalveolar lavage fluid
GSM5772215,responder_rep3,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid
GSM5772216,responder_rep4,BALF derived from responders,BALF derived from responders,bronchoalveolar lavage fluid
