gsm,Sample_title,Sample_source_name_ch1,patient,region,cell type
GSM5608032,MSK1263_A1_RNA,adrenal tumor,MSK 1263,A1,CD3+ lymphocytes
GSM5608033,MSK1263_A3_RNA,adrenal tumor,MSK 1263,A3,CD3+ lymphocytes
GSM5608034,MSK1263_A4_RNA,adrenal tumor,MSK 1263,A4,CD3+ lymphocytes
GSM5608035,MSK1263_LN_RNA,lymph node,MSK 1263,LN,CD3+ lymphocytes
GSM5608036,MSK1263_Normal_RNA,adjacent normal tissue,MSK 1263,Normal,CD3+ lymphocytes
GSM5608037,MSK1263_R1_RNA,tumor,MSK 1263,R1,CD3+ lymphocytes
GSM5608038,MSK1263_R2_RNA,tumor,MSK 1263,R2,CD3+ lymphocytes
GSM5608039,MSK1263_R3_RNA,tumor,MSK 1263,R3,CD3+ lymphocytes
GSM5608040,MSK1263_R4_RNA,tumor,MSK 1263,R4,CD3+ lymphocytes
GSM5608041,MSK1263_R5_RNA,tumor,MSK 1263,R5,CD3+ lymphocytes
GSM5608042,MSK1263_R6_RNA,tumor,MSK 1263,R6,CD3+ lymphocytes
GSM5608043,MSK1263_R7_RNA,tumor,MSK 1263,R7,CD3+ lymphocytes
GSM5608044,MSK1263_R8_RNA,tumor,MSK 1263,R8,CD3+ lymphocytes
GSM5608045,MSK1302_LN_RNA,lymph node,MSK 1302,LN,CD3+ lymphocytes
GSM5608046,MSK1302_Normal_RNA,adjacent normal tissue,MSK 1302,Normal,CD3+ lymphocytes
GSM5608047,MSK1302_R1_RNA,tumor,MSK 1302,R1,CD3+ lymphocytes
GSM5608048,MSK1302_R2_RNA,tumor,MSK 1302,R2,CD3+ lymphocytes
GSM5608049,MSK1302_R3_RNA,tumor,MSK 1302,R3,CD3+ lymphocytes
GSM5608050,MSK1302_R4_RNA,tumor,MSK 1302,R4,CD3+ lymphocytes
GSM5608051,MSK1302_R5_RNA,tumor,MSK 1302,R5,CD3+ lymphocytes
GSM5608052,MSK1302_R6_RNA,tumor,MSK 1302,R6,CD3+ lymphocytes
GSM5608053,MSK1302_R7_RNA,tumor,MSK 1302,R7,CD3+ lymphocytes
GSM5608054,MSK1302_R8_RNA,tumor,MSK 1302,R8,CD3+ lymphocytes
GSM5608055,MSK1344_Normal_RNA,adjacent normal tissue,MSK 1344,Normal,CD3+ lymphocytes
GSM5608056,MSK1344_R1_RNA,tumor,MSK 1344,R1,CD3+ lymphocytes
GSM5608057,MSK1344_R2_RNA,tumor,MSK 1344,R2,CD3+ lymphocytes
GSM5608058,MSK1344_R3_RNA,tumor,MSK 1344,R3,CD3+ lymphocytes
GSM5608059,MSK1344_R4_RNA,tumor,MSK 1344,R4,CD3+ lymphocytes
GSM5608060,MSK1344_R5_RNA,tumor,MSK 1344,R5,CD3+ lymphocytes
GSM5608061,MSK1344_R6_RNA,tumor,MSK 1344,R6,CD3+ lymphocytes
GSM5608062,MSK1344_R7_RNA,tumor,MSK 1344,R7,CD3+ lymphocytes
GSM5608063,MSK1344_R8_RNA,tumor,MSK 1344,R8,CD3+ lymphocytes
GSM6619618,multimer_MSK1263_A1-A4_RNA,adrenal tumor,MSK 1263,A1-A4,CD3+CD8+multimer+ lymphocytes
GSM6619619,multimer_MSK1263_LN7-9-10-12_RNA,lymph node,MSK 1263,LN7-9-10-12,CD3+CD8+multimer+ lymphocytes
GSM6619620,multimer_MSK1263_R1-R6_RNA,tumor,MSK 1263,R1-R6,CD3+CD8+multimer+ lymphocytes
GSM6619621,multimer_MSK1263_R7-R8_RNA,tumor,MSK 1263,R7-R8,CD3+CD8+multimer+ lymphocytes
GSM6619622,multimer_MSK1263_A1-A4_FB,adrenal tumor,MSK 1263,A1-A4,CD3+CD8+multimer+ lymphocytes
GSM6619623,multimer_MSK1263_LN7-9-10-12_FB,lymph node,MSK 1263,LN7-9-10-12,CD3+CD8+multimer+ lymphocytes
GSM6619624,multimer_MSK1263_R1-R6_FB,tumor,MSK 1263,R1-R6,CD3+CD8+multimer+ lymphocytes
GSM6619625,multimer_MSK1263_R7-R8_FB,tumor,MSK 1263,R7-R8,CD3+CD8+multimer+ lymphocytes
