gsm,Sample_title,Sample_source_name_ch1,Sample_description,tissue,cell type,treatment,cell type (sorted)
GSM5752838,"CD8+PD-L1+, rep1",T cells,IL27_1PDLIplus,blood,CD8 T cells,IL-27,CD8+PD-L1+ T cells
GSM5752839,"CD8+PD-L1+, rep2",T cells,IL27_2PDLIplus,blood,CD8 T cells,IL-27,CD8+PD-L1+ T cells
GSM5752840,"CD8+PD-L1+, rep3",T cells,IL27_3PDLIplus,blood,CD8 T cells,IL-27,CD8+PD-L1+ T cells
GSM5752841,"CD8+PD-L1-, rep1",T cells,IL27_1PDLIminus,blood,CD8 T cells,IL-27,CD8+PD-L1- T cells
GSM5752842,"CD8+PD-L1-, rep2",T cells,IL27_2PDLIminus,blood,CD8 T cells,IL-27,CD8+PD-L1- T cells
GSM5752843,"CD8+PD-L1-, rep3",T cells,IL27_3PDLIminus,blood,CD8 T cells,IL-27,CD8+PD-L1- T cells
