gsm,Sample_title,Sample_source_name_ch1,cell type,growth,strain
GSM5834001,A549_sgLacZ_cell_line_1,A549 cell line,lung,in vitro,NA
GSM5834002,A549_sgLacZ_cell_line_2,A549 cell line,lung,in vitro,NA
GSM5834003,A549_sgMEN1_cell_line_1,A549 cell line,lung,in vitro,NA
GSM5834004,A549_sgMEN1_cell_line_2,A549 cell line,lung,in vitro,NA
GSM5834005,A549_sgLacZ_xeno_1,A549 xenograft,lung,in vivo,NOD/SCID
GSM5834006,A549_sgLacZ_xeno_2,A549 xenograft,lung,in vivo,NOD/SCID
GSM5834007,A549_sgMEN1_xeno_1,A549 xenograft,lung,in vivo,NOD/SCID
GSM5834008,A549_sgMEN1_xeno_2,A549 xenograft,lung,in vivo,NOD/SCID
