gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line,cell type,treatment,time
GSM6718873,Control rep 1,H1650,Nist_1_Ctrl,H1650,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool,Day 3
GSM6718874,Control rep 2,H1650,Nist_4_Ctrl,H1650,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool,Day 3
GSM6718875,Control rep 3,H1650,Nist_7_Ctrl,H1650,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool,Day 3
GSM6718876,SiMENA rep 1,H1650,Nist_2_siMe,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool,Day 3
GSM6718877,SiMENA rep 2,H1650,Nist_5_siMe,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool,Day 3
GSM6718878,SiMENA rep 3,H1650,Nist_8_siMe,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool,Day 3
GSM6718879,SiMENA11a rep 1,H1650,Nist_3_siMe11a,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool,Day 3
GSM6718880,SiMENA11a rep 2,H1650,Nist_6_siMe11a,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool,Day 3
GSM6718881,SiMENA11a rep 3,H1650,Nist_9_siMe11a,H1650,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool,Day 3
