gsm,Sample_title,Sample_source_name_ch1,cell line,cell type,treatment
GSM7018221,H1650 untreated replicate 1,H1650,H1650,Human Non-Small Cell Lung Cancer,Untreated
GSM7018222,H1650 untreated replicate 2,H1650,H1650,Human Non-Small Cell Lung Cancer,Untreated
GSM7018223,H1650 siControl replicate 1,H1650,H1650,Human Non-Small Cell Lung Cancer,Control siRNA
GSM7018224,H1650 siControl replicate 2,H1650,H1650,Human Non-Small Cell Lung Cancer,Control siRNA
GSM7018225,H1650 siMena11a replicate 1,H1650,H1650,Human Non-Small Cell Lung Cancer,hMena11a siRNA
GSM7018226,H1650 siMena11a replicate 2,H1650,H1650,Human Non-Small Cell Lung Cancer,hMena11a siRNA
GSM7018227,H1650 siMena replicate 1,H1650,H1650,Human Non-Small Cell Lung Cancer,hMena siRNA
GSM7018228,H1650 siMena replicate 2,H1650,H1650,Human Non-Small Cell Lung Cancer,hMena siRNA
