gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line
GSM5911394,lung cancer cell line A549_ctrl_rep1,A549_ctrl,Gene expression of parent cell line,A549_ctrl
GSM5911395,lung cancer cell line A549_ctrl_rep2,A549_ctrl,Gene expression of parent cell line,A549_ctrl
GSM5911396,lung cancer cell line A549_ctrl_rep3,A549_ctrl,Gene expression of parent cell line,A549_ctrl
GSM5911397,lung cancer radioresistance cell line A549-RR_rep1,radioresistance cell line A549-RR,Gene expression after obtain radiation resistance characteristics,radioresistance cell line A549-RR
GSM5911398,lung cancer radioresistance cell line A549-RR_rep2,radioresistance cell line A549-RR,Gene expression after obtain radiation resistance characteristics,radioresistance cell line A549-RR
GSM5911399,lung cancer radioresistance cell line A549-RR_rep3,radioresistance cell line A549-RR,Gene expression after obtain radiation resistance characteristics,radioresistance cell line A549-RR
