gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell type
GSM4998197,P1_gex,Treg and CD4 T cell,,Treg and CD4 T
GSM4998198,P1_vdj,Treg and CD4 T cell,,Treg and CD4 T
GSM4998199,P1_cite,Treg and CD4 T cell,cite-seq data result is included in scRNA-seq result. Tag information: 1_Treg_library.csv,Treg and CD4 T
GSM4998200,P2_gex,Treg and CD4 T cell,,Treg and CD4 T
GSM4998201,P2_vdj,Treg and CD4 T cell,,Treg and CD4 T
GSM4998202,P2_cite,Treg and CD4 T cell,cite-seq data result is included in scRNA-seq result. Tag information: 1_Treg_library.csv,Treg and CD4 T
GSM4998203,P3_gex,Treg and CD4 T cell,,Treg and CD4 T
GSM4998204,P3_vdj,Treg and CD4 T cell,,Treg and CD4 T
GSM4998205,P3_cite,Treg and CD4 T cell,cite-seq data result is included in scRNA-seq result. Tag information: 1_Treg_library.csv,Treg and CD4 T
GSM4998206,P4_gex,Treg and CD4 T cell,,Treg and CD4 T
GSM4998207,P4_vdj,Treg and CD4 T cell,,Treg and CD4 T
GSM4998208,P4_cite,Treg and CD4 T cell,cite-seq data result is included in scRNA-seq result. Tag information: 1_Treg_library.csv,Treg and CD4 T
