gsm,Sample_title,Sample_source_name_ch1,Sample_description,strain,infection status,infection time,tissue
GSM6541719,NI d10 1,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),10 dpi,Lung
GSM6541720,NI d10 2,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),10 dpi,Lung
GSM6541721,NI d10 3,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),10 dpi,Lung
GSM6541722,NI d21 1,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),21 dpi,Lung
GSM6541723,NI d21 2,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),21 dpi,Lung
GSM6541724,NI d21 3,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Not infected (NI),21 dpi,Lung
GSM6541725,Inf d10 1,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),10 dpi,Lung
GSM6541726,Inf d10 2,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),10 dpi,Lung
GSM6541727,Inf d10 3,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),10 dpi,Lung
GSM6541728,Inf d21 1,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),21 dpi,Lung
GSM6541729,Inf d21 2,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),21 dpi,Lung
GSM6541730,Inf d21 3,lung tissue,Mouse Host Respons Panel,C57BL/6JRj,Infected (Inf),21 dpi,Lung
