gsm,Sample_title,Sample_source_name_ch1,Sample_description,tissue,cell type,tumor stage
GSM7120421,naïve_A,naive (CCR7+CD45RA+CD58-CD95-) CD8 T cells,,PBMCs,CD8 T lymphocytes,None (healthy subject)
GSM7120423,naïve_C,naive (CCR7+CD45RA+CD58-CD95-) CD8 T cells,,PBMCs,CD8 T lymphocytes,None (healthy subject)
GSM7120427,TIL_B_CD28Pos,Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120429,TIL_B_Tim3Pos,Exhausted (Tim-3+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120430,TIL_C_CD28Pos,Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120432,TIL_C_Tim3Pos,Exhausted (Tim-3+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120433,TIL_D_CD28Pos,Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120435,TIL_D_Tim3Pos,Exhausted (Tim-3+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120436,TIL_E_CD28Pos,Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM7120438,TIL_E_Tim3Pos,Exhausted (Tim-3+ PD-1+) CD8 TILs,,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM8113816,672_cd28pos,Primary and metastatic tumors in lung tissues (NSCLC Tumor),Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM8113817,672_tim3_pos,Primary and metastatic tumors in lung tissues (NSCLC Tumor),Exhausted (Tim-3+ PD-1+) CD8 TILs,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM8113818,770_cd28pos,Primary and metastatic tumors in lung tissues (NSCLC Tumor),Stem-like (Tim-3-CD28+ PD-1+) CD8 TILs,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
GSM8113819,770_tim3_pos,Primary and metastatic tumors in lung tissues (NSCLC Tumor),Exhausted (Tim-3+ PD-1+) CD8 TILs,Primary and metastatic tumors in lung tissues (NSCLC Tumor),CD8 Tumor-infiltrating lymphocytes (TILs),stage I-IV disease
