gsm,Sample_title,Sample_source_name_ch1,source,htll-280 status,pd-l1 status
GSM5849919,PDL1.Donor_rep1,"Primary isolated cells, Lung Epithelial cells",Donor,low,high
GSM5849920,ATP2.Donor_rep1,"Primary isolated cells, Lung Epithelial cells",Donor,high,low
GSM5849921,PDL1.Donor_rep2,"Primary isolated cells, Lung Epithelial cells",Donor,low,high
GSM5849922,ATP2.Donor_rep2,"Primary isolated cells, Lung Epithelial cells",Donor,high,low
GSM5849923,PDL1.IPF_rep1,"Primary isolated cells, Lung Epithelial cells",IPF,low,high
GSM5849924,ATP2.IPF_rep1,"Primary isolated cells, Lung Epithelial cells",IPF,high,low
GSM5849925,PDL1.IPF_rep2,"Primary isolated cells, Lung Epithelial cells",IPF,low,high
GSM5849926,ATP2.IPF_rep2,"Primary isolated cells, Lung Epithelial cells",IPF,high,low
