gsm,Sample_title,Sample_source_name_ch1,genotype,cell line,treatment
GSM5393322,"NCI-H460 cells, GFPkd1",Human lung adenocarcinoma cell line,control,NCI-H460,lentivirus infection NCI-H460 for shRNA against GFP
GSM5393323,"NCI-H460 cells, GFPkd2",Human lung adenocarcinoma cell line,control,NCI-H460,lentivirus infection NCI-H460 for shRNA against GFP
GSM5393324,"NCI-H460 cells, GFPkd3",Human lung adenocarcinoma cell line,control,NCI-H460,lentivirus infection NCI-H460 for shRNA against GFP
GSM5393325,"NCI-H460 cells, PRMT5kd1",Human lung adenocarcinoma cell line,PRMT5 knockdown,NCI-H460,lentivirus infection NCI-H460 for shRNA against PRMT5
GSM5393326,"NCI-H460 cells, PRMT5kd2",Human lung adenocarcinoma cell line,PRMT5 knockdown,NCI-H460,lentivirus infection NCI-H460 for shRNA against PRMT5
GSM5393327,"NCI-H460 cells, PRMT5kd3",Human lung adenocarcinoma cell line,PRMT5 knockdown,NCI-H460,lentivirus infection NCI-H460 for shRNA against PRMT5
